danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity,year,release_date,Genre
0.423,0.27,0.365,74.037,-9.9,1,7,0.721,0,0.219,0.0263,0,136360,39,1957,1/1/57,Vocal
0.321,0.0656,0.147,107.454,-21.398,1,1,0.95,0.0954,0.098,0.0385,0,207707,2,1930,1930,Vocal
0.383,0.112,0.339,86.914,-16.587,1,3,0.971,0,0.202,0.074,0,182053,3,1930,1930,Vocal
0.391,0.137,0.177,95.776,-16.185,0,5,0.968,0.00000126,0.304,0.0472,0,177040,2,1930,1930,Vocal
0.489,0.0265,0.259,102.9,-21.093,1,7,0.995,0.0393,0.163,0.0401,0,202747,3,1930,1930,Vocal
0.652,0.0782,0.483,105.555,-19.673,1,8,0.993,0.0000825,0.187,0.0912,0,183840,3,1930,1930,Vocal
0.337,0.0723,0.196,173.895,-16.871,1,2,0.97,0.000937,0.0866,0.0561,0,179240,16,1930,1930,Vocal
0.419,0.0378,0.349,175.216,-22.449,1,1,0.991,0.341,0.141,0.0973,0,195067,11,1930,1930,Vocal
0.582,0.0317,0.244,81.228,-21.242,1,0,0.988,0.000261,0.0595,0.0462,0,203067,8,1930,1930,Vocal
0.46,0.0197,0.182,76.695,-20.795,1,7,0.987,0.000283,0.0625,0.0456,0,165840,4,1930,1930,Vocal
0.314,0.0567,0.144,95.833,-18.894,1,7,0.976,0.00000398,0.101,0.0387,0,196387,4,1930,1930,Vocal
0.435,0.0351,0.166,68.243,-22.593,0,7,0.991,0.269,0.0912,0.0505,0,190413,5,1930,1930,Vocal
0.621,0.0281,0.389,105.501,-21.273,1,7,0.994,0.00000295,0.324,0.072,0,176613,3,1930,1930,Vocal
0.419,0.054,0.216,166.791,-18.57,1,10,0.973,0.000166,0.116,0.0468,0,188853,3,1930,1930,Vocal
0.593,0.121,0.4,110.544,-17.624,1,8,0.93,0,0.0737,0.0609,0,175680,4,1930,1930,Vocal
0.609,0.0524,0.447,117.875,-21.244,0,9,0.994,0.000271,0.0711,0.0615,0,183587,3,1930,1930,Vocal
0.674,0.0245,0.464,136.808,-24.649,1,0,0.993,0.0165,0.156,0.137,0,206840,3,1930,1930,Vocal
0.336,0.0555,0.19,73.498,-20.57,1,5,0.994,0.000862,0.159,0.0714,0,191947,3,1930,1930,Vocal
0.509,0.0721,0.419,169.277,-21.884,1,4,0.98,0.0000239,0.108,0.0896,0,181133,3,1930,1930,Vocal
0.375,0.0323,0.358,94.579,-22.453,0,5,0.992,0.866,0.124,0.0366,0,213867,45,1990,1990,Vocal
0.372,0.309,0.444,100.856,-10.339,0,3,0.981,0.154,0.0686,0.037,0,195992,44,1984,7/1/84,Vocal
0.411,0.0729,0.461,103.685,-20.567,1,1,0.954,0.000144,0.0771,0.0352,0,195280,2,1930,1930,Vocal
0.477,0.0751,0.31,77.032,-16.127,1,10,0.99,0.00000915,0.175,0.0698,0,190680,3,1930,1930,Vocal
0.648,0.122,0.57,80.533,-18.483,1,0,0.994,0.289,0.193,0.113,0,179187,3,1930,1930,Vocal
0.481,0.0636,0.257,64.943,-16.684,1,3,0.96,0.00000777,0.0798,0.0549,0,191693,3,1930,1930,Vocal
0.62,0.162,0.241,99.571,-17.826,1,3,0.979,0.000736,0.128,0.0685,0,188827,2,1930,1930,Vocal
0.187,0.0802,0.0785,81.955,-23.018,1,5,0.941,0.548,0.071,0.0408,0,195080,3,1930,1930,Vocal
0.378,0.257,0.522,136.934,-13.361,0,2,0.958,0.223,0.264,0.0337,0,206333,40,1998,1998,Vocal
0.615,0.317,0.631,82.125,-19.399,1,10,0.518,0.000016,0.043,0.0365,0,260899,33,1983,1983,Vocal
0.569,0.842,0.459,122.889,-5.74,0,11,0.0658,0.00000318,0.115,0.11,0,396400,35,1980,6/15/80,Vocal
0.708,0.54,0.757,92.583,-12.586,1,2,0.162,0,0.213,0.0274,0,228809,33,1983,1983,Vocal
0.519,0.258,0.189,136.836,-15.764,0,9,0.395,0,0.12,0.0327,0,232933,32,1981,1981,Vocal
0.683,0.493,0.718,113.978,-14.793,1,5,0.377,0.00128,0.0912,0.0336,0,236707,32,1981,1981,Vocal
0.602,0.484,0.82,90.022,-16.661,1,6,0.237,0.0000191,0.0347,0.0337,0,241107,31,1986,1986,Vocal
0.63,0.539,0.563,158.724,-7.673,1,5,0.582,0.0000918,0.639,0.039,0,225187,53,2008,1/29/08,Vocal
0.742,0.582,0.702,93.044,-11.635,0,2,0.629,0.03,0.182,0.0991,0,237360,35,1976,6/15/76,Vocal
0.68,0.567,0.841,102.1,-16.952,1,7,0.249,0.000511,0.0996,0.0453,0,186533,33,1976,6/15/76,Vocal
0.644,0.485,0.674,102.92,-20.062,1,2,0.842,0.0344,0.737,0.0843,0,451667,31,1977,1977,Vocal
0.705,0.361,0.819,172.935,-15.787,1,0,0.24,0.00353,0.0656,0.0592,0,353307,29,1980,6/15/80,Vocal
0.606,0.847,0.696,102.42,-6.791,1,2,0.166,0.00695,0.0696,0.0415,0,239307,32,1980,6/15/80,Vocal
0.674,0.599,0.787,113.445,-12.901,1,0,0.235,0.00000919,0.37,0.0362,0,325267,30,1981,1981,Vocal
0.726,0.539,0.769,110.766,-12.296,1,6,0.2,0.000102,0.128,0.0289,0,225048,33,1983,1983,Vocal
0.571,0.366,0.607,82.988,-16.044,1,9,0.453,0.000357,0.216,0.036,0,268093,28,1981,1981,Vocal
0.623,0.52,0.832,174.653,-11.815,1,5,0.135,0.00000645,0.0328,0.0635,0,291782,30,1983,1983,Vocal
0.913,0.59,0.83,118.181,-11.069,0,10,0.312,0.0035,0.369,0.0573,0,283333,31,1984,1984,Vocal
0.761,0.59,0.822,110.862,-13.154,1,2,0.121,0.000157,0.0703,0.0388,0,267912,30,1983,1983,Vocal
0.789,0.452,0.961,148.258,-17.515,0,7,0.532,0,0.112,0.141,0,193827,23,1975,1975,Vocal
