,influencer_id,influencer_name,influencer_main_genre,influencer_active_start,follower_id,follower_name,follower_main_genre,follower_active_start
22335,849672,Philip Glass,Classical,1960,475362,Arthur Russell,Avant-Garde,1970
94,1528006,Olivier Messiaen,Classical,1930,1589,GyÃ¶rgy KurtÃ¡g,Classical,1960
22329,183867,John Cage,Classical,1930,475362,Arthur Russell,Avant-Garde,1970
36545,37658,Steve Reich,Classical,1960,840402,The Velvet Underground,Pop/Rock,1960
36662,37658,Steve Reich,Classical,1960,843607,Peter Hammill,Pop/Rock,1960
34320,1950198,Bidu SayÃ£o,Classical,1930,797205,Elizeth Cardoso,Latin,1950
26781,151666,Julian Bream,Classical,1950,600228,Al Di Meola,Jazz,1970
34198,1528006,Olivier Messiaen,Classical,1930,795288,Pierre Boulez,Classical,1940
8926,183867,John Cage,Classical,1930,138699,Frank Zappa,Pop/Rock,1950
36665,183867,John Cage,Classical,1930,843607,Peter Hammill,Pop/Rock,1960
17283,51740,JosÃ© Carreras,Classical,1970,293490,Sarah Brightman,Vocal,1970
39867,183867,John Cage,Classical,1930,943649,Morton Feldman,Avant-Garde,1940
21668,183867,John Cage,Classical,1930,420539,The Residents,Pop/Rock,1970
17632,803752,Glenn Gould,Classical,1940,300245,Rick Wakeman,Pop/Rock,1960
37993,183867,John Cage,Classical,1930,890559,The Olivia Tremor Control,Pop/Rock,1990
31073,851639,PlÃ¡cido Domingo,Classical,1960,751613,Andrea Bocelli,Classical,1990
31071,579458,Luciano Pavarotti,Classical,1960,751613,Andrea Bocelli,Classical,1990
31067,51740,JosÃ© Carreras,Classical,1970,751613,Andrea Bocelli,Classical,1990
8814,239859,Leonard Bernstein,Classical,1940,137474,Laura Nyro,Pop/Rock,1960
9401,183867,John Cage,Classical,1930,147638,Edgar Froese,Electronic,1960
150,239859,Leonard Bernstein,Classical,1940,3595,Andrew Lloyd Webber,Stage & Screen,1960
37920,183867,John Cage,Classical,1930,887513,Michael Nyman,Stage & Screen,1970
4877,37658,Steve Reich,Classical,1960,74853,The KLF,Electronic,1980
35000,929776,Arvo PÃ¤rt,Classical,1950,807294,JÃ³hann JÃ³hannsson,Electronic,1990
15991,37658,Steve Reich,Classical,1960,257544,Van der Graaf Generator,Pop/Rock,1960
17627,183867,John Cage,Classical,1930,300245,Rick Wakeman,Pop/Rock,1960
112,183867,John Cage,Classical,1930,2411,Tangerine Dream,Electronic,1960
31629,849672,Philip Glass,Classical,1960,757335,John Adams,Classical,1960
2614,183867,John Cage,Classical,1930,37658,Steve Reich,Classical,1960
17292,579458,Luciano Pavarotti,Classical,1960,293490,Sarah Brightman,Vocal,1970
24373,183867,John Cage,Classical,1930,521704,Yoko Ono,Pop/Rock,1960
14923,849672,Philip Glass,Classical,1960,238440,Robert Fripp,Pop/Rock,1960
31626,37658,Steve Reich,Classical,1960,757335,John Adams,Classical,1960
8242,183867,John Cage,Classical,1930,129430,Cluster,Electronic,1970
33522,849672,Philip Glass,Classical,1960,785773,Laurie Anderson,Avant-Garde,1970
33512,183867,John Cage,Classical,1930,785773,Laurie Anderson,Avant-Garde,1970
27367,37658,Steve Reich,Classical,1960,617196,Brian Eno,Pop/Rock,1970
33511,37658,Steve Reich,Classical,1960,785773,Laurie Anderson,Avant-Garde,1970
33089,37658,Steve Reich,Classical,1960,778960,Battles,Pop/Rock,2000
6931,37658,Steve Reich,Classical,1960,104714,Kraftwerk,Electronic,1970
21555,183867,John Cage,Classical,1930,417607,The Red Krayola,Pop/Rock,1960
22454,849672,Philip Glass,Classical,1960,477116,Moby,Electronic,1980
23455,183867,John Cage,Classical,1930,493848,Aphex Twin,Electronic,1990
29973,239859,Leonard Bernstein,Classical,1940,691807,Stephen Sondheim,Stage & Screen,1950
33277,1528006,Olivier Messiaen,Classical,1930,781932,Lalo Schifrin,Jazz,1950
39369,183867,John Cage,Classical,1930,932858,Tom ZÃ©,International,1960
23108,37658,Steve Reich,Classical,1960,489520,Mike Oldfield,New Age,1960
292,239859,Leonard Bernstein,Classical,1940,5953,Alice Cooper,Pop/Rock,1960
23465,849672,Philip Glass,Classical,1960,493848,Aphex Twin,Electronic,1990
11495,849672,Philip Glass,Classical,1960,177588,Jon Hassell,New Age,1970
8260,239859,Leonard Bernstein,Classical,1940,129761,Jimmy Webb,Pop/Rock,1960
25572,849672,Philip Glass,Classical,1960,569119,Danny Elfman,Stage & Screen,1970
9400,37658,Steve Reich,Classical,1960,147638,Edgar Froese,Electronic,1960
9388,751613,Andrea Bocelli,Classical,1990,147468,Clay Aiken,Pop/Rock,2000
23019,183867,John Cage,Classical,1930,488378,Os Mutantes,International,1960
4702,751613,Andrea Bocelli,Classical,1990,71636,Il Divo,Vocal,2000
34999,849672,Philip Glass,Classical,1960,807294,JÃ³hann JÃ³hannsson,Electronic,1990
39163,37658,Steve Reich,Classical,1960,926604,Throbbing Gristle,Pop/Rock,1970
