,influencer_id,influencer_name,influencer_main_genre,influencer_active_start,follower_id,follower_name,follower_main_genre,follower_active_start
41947,717419,Flying Lotus,Electronic,2000,2649123,Mndsgn,Electronic,2000
28638,493848,Aphex Twin,Electronic,1990,660155,Girl Talk,Electronic,2000
41842,611007,Todd Edwards,Electronic,1990,2528416,Disclosure,Electronic,2010
3104,104714,Kraftwerk,Electronic,1970,44764,Blondie,Pop/Rock,1970
7867,104714,Kraftwerk,Electronic,1970,124492,Beck,Pop/Rock,1990
11899,104714,Kraftwerk,Electronic,1970,183858,Gary Numan,Pop/Rock,1970
8741,1608941,M/A/R/R/S,Electronic,1980,136124,The Crystal Method,Electronic,1990
30834,782191,Larry Heard,Electronic,1980,749222,Paul Oakenfold,Electronic,1980
39825,477116,Moby,Electronic,1980,942335,Groove Armada,Electronic,1990
5303,840000,Vangelis,Electronic,1960,81017,Kitaro,New Age,1970
39829,683750,Yellow Magic Orchestra,Electronic,1970,942335,Groove Armada,Electronic,1990
42075,572508,Steve Angello,Electronic,2000,2802487,3LAU,Electronic,2010
39826,492162,The Prodigy,Electronic,1990,942335,Groove Armada,Electronic,1990
41945,879144,Deadmau5,Electronic,2000,2640328,Feed Me,Electronic,2000
16142,104714,Kraftwerk,Electronic,1970,260212,Pet Shop Boys,Pop/Rock,1980
26402,2411,Tangerine Dream,Electronic,1960,587608,Ryuichi Sakamoto,Electronic,1970
42076,854866,Kaskade,Electronic,2000,2802487,3LAU,Electronic,2010
41998,2450537,Lorn,Electronic,2000,2729330,Pham,Electronic,2010
11901,387815,Neu!,Electronic,1970,183858,Gary Numan,Pop/Rock,1970
28637,133719,Fatboy Slim,Electronic,1980,660155,Girl Talk,Electronic,2000
27209,104714,Kraftwerk,Electronic,1970,611929,Tom Tom Club,Pop/Rock,1980
5321,891575,The Orb,Electronic,1980,81248,Biosphere,Electronic,1990
41633,811395,M̼m,Electronic,1990,2133637,Hot Chelle Rae,Pop/Rock,2000
42565,1714462,Swedish House Mafia,Electronic,2000,3391646,Cheat Codes,Electronic,2010
42564,1035160,Cash Cash,Electronic,2000,3391646,Cheat Codes,Electronic,2010
39823,133719,Fatboy Slim,Electronic,1980,942335,Groove Armada,Electronic,1990
13871,177454,M People,Electronic,1990,217344,Dido,Pop/Rock,1990
25346,918569,The Streets,Electronic,1990,562850,Lily Allen,Pop/Rock,2000
3573,387815,Neu!,Electronic,1970,49374,Simple Minds,Pop/Rock,1970
25171,812802,Death in Vegas,Electronic,1990,557191,Hot Chip,Pop/Rock,2000
39822,67631,The Chemical Brothers,Electronic,1990,942335,Groove Armada,Electronic,1990
4876,2411,Tangerine Dream,Electronic,1960,74853,The KLF,Electronic,1980
18148,586798,Thievery Corporation,Electronic,1990,314923,Quantic,Electronic,2000
31687,584257,William Orbit,Electronic,1980,758208,Beth Orton,Pop/Rock,1990
28639,949820,DJ Shadow,Electronic,1990,660155,Girl Talk,Electronic,2000
26541,104714,Kraftwerk,Electronic,1970,590441,Young Marble Giants,Pop/Rock,1980
20692,104714,Kraftwerk,Electronic,1970,387815,Neu!,Electronic,1970
8231,104714,Kraftwerk,Electronic,1970,129308,The Durutti Column,Pop/Rock,1970
