,influencer_id,influencer_name,influencer_main_genre,influencer_active_start,follower_id,follower_name,follower_main_genre,follower_active_start
8282,259270,Arrow,International,1970,129817,Shabba Ranks,Reggae,1980
36858,556242,Hamza el Din,International,1960,849672,Philip Glass,Classical,1960
18007,804706,Gabby Pahinui,International,1940,311074,Martin Denny,Easy Listening,1950
40796,313128,Mary Black,International,1980,988471,Enya,New Age,1980
27262,488378,Os Mutantes,International,1960,614455,The Brian Jonestown Massacre,Pop/Rock,1990
36855,404463,Ravi Shankar,International,1930,849672,Philip Glass,Classical,1960
10667,652255,Gilberto Gil,International,1960,167220,Djavan,Latin,1970
12959,936946,Tommy Makem,International,1950,199194,Dougie MacLean,Folk,1970
36637,61273,Baaba Maal,International,1980,842802,Peter Gabriel,Pop/Rock,1970
39674,95613,Chico Buarque,International,1960,937242,Toninho Horta,Jazz,1970
17874,67406,The Chieftains,International,1960,307461,Van Morrison,Pop/Rock,1950
15405,105618,Ladysmith Black Mambazo,International,1970,246127,Les Nubians,R&B;,1990
23146,781094,The Clancy Brothers,International,1950,489876,The Pogues,Pop/Rock,1980
29976,159406,Franco,International,1950,692100,Youssou N'Dour,International,1970
22333,742673,Ali Akbar Khan,International,1960,475362,Arthur Russell,Avant-Garde,1970
13123,785283,JoÃ£o Gilberto,International,1950,202084,Nouvelle Vague,Pop/Rock,2000
12190,556242,Hamza el Din,International,1960,186927,Harold Budd,Avant-Garde,1960
40794,236287,Maddy Prior,International,1970,988471,Enya,New Age,1980
36853,1266,Alla Rakha,International,1940,849672,Philip Glass,Classical,1960
15774,477523,Mighty Sparrow,International,1950,254083,Wayne Wonder,Reggae,1980
38107,828768,Lord Kitchener,International,1940,893111,The Paragons,Reggae,1960
6439,67406,The Chieftains,International,1960,97182,Christy Moore,International,1960
8467,138833,Fela Kuti,International,1960,131650,Talking Heads,Pop/Rock,1970
39677,785283,JoÃ£o Gilberto,International,1950,937242,Toninho Horta,Jazz,1970
15104,887719,Nusrat Fateh Ali Khan,International,1970,240665,Jeff Buckley,Pop/Rock,1990
27297,132940,Lata Mangeshkar,International,1950,615026,Asha Bhosle,International,1940
12451,797056,Elis Regina,International,1960,191699,Gal Costa,Latin,1960
21904,488378,Os Mutantes,International,1960,450883,CSS,Pop/Rock,2000
2217,138833,Fela Kuti,International,1960,31685,Paul Simon,Pop/Rock,1950
2215,105618,Ladysmith Black Mambazo,International,1970,31685,Paul Simon,Pop/Rock,1950
32785,236287,Maddy Prior,International,1970,773666,The Wailin' Jennys,Pop/Rock,2000
26395,785283,JoÃ£o Gilberto,International,1950,586798,Thievery Corporation,Electronic,1990
30792,771297,King Sunny Ade,International,1960,748421,Trey Anastasio,Pop/Rock,1980
28692,138833,Fela Kuti,International,1960,662416,Vampire Weekend,Pop/Rock,2000
12198,67406,The Chieftains,International,1960,187172,Flogging Molly,Pop/Rock,1990
12200,143494,The Dubliners,International,1960,187172,Flogging Molly,Pop/Rock,1990
40791,67406,The Chieftains,International,1960,988471,Enya,New Age,1980
13887,166383,Djivan Gasparyan,International,1940,217622,Japan,Pop/Rock,1970
11752,259270,Arrow,International,1970,181329,David Johansen,Pop/Rock,1970
36962,781094,The Clancy Brothers,International,1950,852842,Planxty,International,1970
33245,97182,Christy Moore,International,1960,781732,Clannad,International,1970
33417,236287,Maddy Prior,International,1970,784811,Joanna Newsom,Pop/Rock,2000
29438,69761,The Irish Rovers,International,1960,677089,Daniel O'Donnell,Vocal,1980
32821,556242,Hamza el Din,International,1960,775212,Kronos Quartet,Classical,1970
29437,67406,The Chieftains,International,1960,677089,Daniel O'Donnell,Vocal,1980
20121,236287,Maddy Prior,International,1970,369955,Kathryn Williams,Pop/Rock,2000
36960,310789,SeÃ¡n Ã“ Riada,International,1950,852842,Planxty,International,1970
19029,932858,Tom ZÃ©,International,1960,338593,CÃ©u,Latin,2000
33250,753104,Andy Irvine,International,1960,781732,Clannad,International,1970
33251,852842,Planxty,International,1970,781732,Clannad,International,1970
8481,771297,King Sunny Ade,International,1960,131650,Talking Heads,Pop/Rock,1970
41537,477523,Mighty Sparrow,International,1950,2034242,Kevin Lyttle,R&B;,2000
26881,493412,Oumou Sangare,International,1980,603621,Tinariwen,International,1980
4592,781094,The Clancy Brothers,International,1950,69761,The Irish Rovers,International,1960
29281,496097,Miriam Makeba,International,1960,674011,Manu Dibango,Jazz,1960
6442,781094,The Clancy Brothers,International,1950,97182,Christy Moore,International,1960
28517,138833,Fela Kuti,International,1960,655273,Ginger Baker,Pop/Rock,1950
37940,556242,Hamza el Din,International,1960,887719,Nusrat Fateh Ali Khan,International,1970
33247,143494,The Dubliners,International,1960,781732,Clannad,International,1970
31352,404463,Ravi Shankar,International,1930,754032,The Beatles,Pop/Rock,1960
18993,143494,The Dubliners,International,1960,337631,Rory Gallagher,Blues,1960
27506,143494,The Dubliners,International,1960,620126,The Bothy Band,Unknown,1970
33436,313128,Mary Black,International,1980,784814,The Cranberries,Pop/Rock,1990
17884,143494,The Dubliners,International,1960,307461,Van Morrison,Pop/Rock,1950
31201,936946,Tommy Makem,International,1950,753104,Andy Irvine,International,1960
15406,138833,Fela Kuti,International,1960,246127,Les Nubians,R&B;,1990
11694,932858,Tom ZÃ©,International,1960,180023,Tortoise,Pop/Rock,1990
27505,67406,The Chieftains,International,1960,620126,The Bothy Band,Unknown,1970
20068,132940,Lata Mangeshkar,International,1950,367272,Kavita Krishnamurthy,International,1980
36636,56913,Babatunde Olatunji,International,1950,842802,Peter Gabriel,Pop/Rock,1970
23148,852842,Planxty,International,1970,489876,The Pogues,Pop/Rock,1980
11680,488378,Os Mutantes,International,1960,180023,Tortoise,Pop/Rock,1990
36958,67406,The Chieftains,International,1960,852842,Planxty,International,1970
27212,138833,Fela Kuti,International,1960,611929,Tom Tom Club,Pop/Rock,1980
28102,68898,The Balfa Brothers,International,1940,636106,Buckwheat Zydeco,International,1970
23129,67406,The Chieftains,International,1960,489876,The Pogues,Pop/Rock,1980
32820,695019,Zakir Hussain,International,1960,774983,Krishna Das,New Age,1990
37015,556242,Hamza el Din,International,1960,853926,Popol Vuh,Electronic,1970
9945,259270,Arrow,International,1970,156938,Shaggy,Reggae,1990
6443,936946,Tommy Makem,International,1950,97182,Christy Moore,International,1960
41535,259270,Arrow,International,1970,2034242,Kevin Lyttle,R&B;,2000
33244,67406,The Chieftains,International,1960,781732,Clannad,International,1970
20101,16448,AmÃ¡lia Rodrigues,International,1940,368451,Nana Mouskouri,Vocal,1950
23140,310789,SeÃ¡n Ã“ Riada,International,1950,489876,The Pogues,Pop/Rock,1980
17729,615026,Asha Bhosle,International,1940,303422,Lucky Ali,International,1990
4172,891907,Orchestra Baobab,International,1980,61273,Baaba Maal,International,1980
18747,692100,Youssou N'Dour,International,1970,332257,Neneh Cherry,Pop/Rock,1980
15408,496097,Miriam Makeba,International,1960,246127,Les Nubians,R&B;,1990
11485,404463,Ravi Shankar,International,1930,177588,Jon Hassell,New Age,1970
41485,138833,Fela Kuti,International,1960,1960811,Rationale,Pop/Rock,2010
8378,887719,Nusrat Fateh Ali Khan,International,1970,130922,Jai Uttal,New Age,1990
2242,652255,Gilberto Gil,International,1960,31823,Smoke City,Electronic,1990
20172,785283,JoÃ£o Gilberto,International,1950,371530,Nara LeÃ£o,Latin,1960
4956,781094,The Clancy Brothers,International,1950,75591,The Corrs,Pop/Rock,1990
38147,404463,Ravi Shankar,International,1930,894465,The Rolling Stones,Pop/Rock,1960
316,404463,Ravi Shankar,International,1930,6143,Alice Coltrane,Jazz,1960
23448,159406,Franco,International,1950,493412,Oumou Sangare,International,1980
23449,496097,Miriam Makeba,International,1960,493412,Oumou Sangare,International,1980
21203,56913,Babatunde Olatunji,International,1950,402872,The Meters,R&B;,1960
3080,496097,Miriam Makeba,International,1960,44703,Sweet Honey in the Rock,Religious,1970
8375,695019,Zakir Hussain,International,1960,130922,Jai Uttal,New Age,1990
31199,97182,Christy Moore,International,1960,753104,Andy Irvine,International,1960
7034,138833,Fela Kuti,International,1960,105618,Ladysmith Black Mambazo,International,1970
6286,797056,Elis Regina,International,1960,95613,Chico Buarque,International,1960
23447,6613,Ali Farka TourÃ©,International,1970,493412,Oumou Sangare,International,1980
4170,771297,King Sunny Ade,International,1960,61273,Baaba Maal,International,1980
20604,104314,Lafayette Afro Rock Band,International,1970,387097,El Michels Affair,R&B;,2000
36651,692100,Youssou N'Dour,International,1970,842802,Peter Gabriel,Pop/Rock,1970
8372,404463,Ravi Shankar,International,1930,130922,Jai Uttal,New Age,1990
16264,828768,Lord Kitchener,International,1940,264350,Sean Paul,Reggae,1990
5940,1266,Alla Rakha,International,1940,89828,Collin Walcott,Jazz,1970
28112,404463,Ravi Shankar,International,1930,636382,Bud Shank,Jazz,1940
27368,138833,Fela Kuti,International,1960,617196,Brian Eno,Pop/Rock,1970
11493,785283,JoÃ£o Gilberto,International,1950,177588,Jon Hassell,New Age,1970
8373,556242,Hamza el Din,International,1960,130922,Jai Uttal,New Age,1990
2230,692100,Youssou N'Dour,International,1970,31685,Paul Simon,Pop/Rock,1950
40803,781732,Clannad,International,1970,988471,Enya,New Age,1980
23135,143494,The Dubliners,International,1960,489876,The Pogues,Pop/Rock,1980
31200,781094,The Clancy Brothers,International,1950,753104,Andy Irvine,International,1960
10393,95613,Chico Buarque,International,1960,163435,Bebel Gilberto,Latin,1980
23450,692100,Youssou N'Dour,International,1970,493412,Oumou Sangare,International,1980
4168,496097,Miriam Makeba,International,1960,61273,Baaba Maal,International,1980
10398,488378,Os Mutantes,International,1960,163435,Bebel Gilberto,Latin,1980
5942,404463,Ravi Shankar,International,1930,89828,Collin Walcott,Jazz,1970
19636,636106,Buckwheat Zydeco,International,1970,354733,Los Lobos,Pop/Rock,1970
14133,138833,Fela Kuti,International,1960,221844,Rusted Root,Pop/Rock,1990
20069,615026,Asha Bhosle,International,1940,367272,Kavita Krishnamurthy,International,1980
36344,6613,Ali Farka TourÃ©,International,1970,837328,Rokia TraorÃ©,International,2000
36346,496097,Miriam Makeba,International,1960,837328,Rokia TraorÃ©,International,2000
12450,785283,JoÃ£o Gilberto,International,1950,191699,Gal Costa,Latin,1960
6651,404463,Ravi Shankar,International,1930,99561,The Incredible String Band,Folk,1960
2225,496097,Miriam Makeba,International,1960,31685,Paul Simon,Pop/Rock,1950
10210,785283,JoÃ£o Gilberto,International,1950,161830,Tamba Trio,Latin,1960
15767,636106,Buckwheat Zydeco,International,1970,253914,Wayne Toups,International,1980
33242,615026,Asha Bhosle,International,1940,781680,Jagjit Singh,International,1970
