,influencer_id,influencer_name,influencer_main_genre,influencer_active_start,follower_id,follower_name,follower_main_genre,follower_active_start
11763,160848,Gregory Isaacs,Reggae,1970,181376,UB40,Pop/Rock,1970
31871,178014,U-Roy,Reggae,1960,759668,Beres Hammond,Reggae,1970
31870,160848,Gregory Isaacs,Reggae,1970,759668,Beres Hammond,Reggae,1970
5396,836312,Junior Murvin,Reggae,1960,81683,Black Uhuru,Reggae,1970
31872,178889,Alton Ellis,Reggae,1950,759668,Beres Hammond,Reggae,1970
31506,16944,Alpha Blondy,Reggae,1980,756180,Sin̩ad O'Connor,Pop/Rock,1980
17717,328014,Peter Tosh,Reggae,1960,302765,Prince Far I,Reggae,1970
11765,190021,John Holt,Reggae,1960,181376,UB40,Pop/Rock,1970
31875,242861,Dennis Brown,Reggae,1970,759668,Beres Hammond,Reggae,1970
31882,1292549,The Uniques,Reggae,1960,759668,Beres Hammond,Reggae,1970
31878,603590,Aswad,Reggae,1970,759668,Beres Hammond,Reggae,1970
11014,328014,Peter Tosh,Reggae,1960,171854,Easy Star All-Stars,Reggae,2000
31879,745584,Steel Pulse,Reggae,1970,759668,Beres Hammond,Reggae,1970
11686,751592,Sly & Robbie,Reggae,1970,180023,Tortoise,Pop/Rock,1990
31880,762652,Big Youth,Reggae,1970,759668,Beres Hammond,Reggae,1970
11591,425105,The Skatalites,Reggae,1960,178889,Alton Ellis,Reggae,1950
28726,242861,Dennis Brown,Reggae,1970,663455,Half Pint,Reggae,1980
5397,923432,The Wailers,Reggae,1960,81683,Black Uhuru,Reggae,1970
7706,790988,Toots & the Maytals,Reggae,1960,120010,Jack Johnson,Pop/Rock,1990
5395,790988,Toots & the Maytals,Reggae,1960,81683,Black Uhuru,Reggae,1970
31876,328014,Peter Tosh,Reggae,1960,759668,Beres Hammond,Reggae,1970
15220,819344,Desmond Dekker,Reggae,1960,242861,Dennis Brown,Reggae,1970
11766,230784,Lord Creator,Reggae,1960,181376,UB40,Pop/Rock,1970
