,influencer_id,influencer_name,influencer_main_genre,influencer_active_start,follower_id,follower_name,follower_main_genre,follower_active_start
34589,510885,TobyMac,Religious,1980,802382,Casting Crowns,Religious,1990
34591,946560,dc Talk,Religious,1980,802382,Casting Crowns,Religious,1990
17026,987922,CeCe Winans,Religious,1980,287407,Jessica Simpson,Pop/Rock,1990
8988,24944,Amy Grant,Religious,1970,139212,BarlowGirl,Pop/Rock,2000
34586,325443,Petra,Religious,1970,802382,Casting Crowns,Religious,1990
8995,590483,Third Day,Religious,1990,139212,BarlowGirl,Pop/Rock,2000
8993,239655,Sandi Patty,Religious,1970,139212,BarlowGirl,Pop/Rock,2000
8994,325443,Petra,Religious,1970,139212,BarlowGirl,Pop/Rock,2000
17011,24944,Amy Grant,Religious,1970,287407,Jessica Simpson,Pop/Rock,1990
33319,325443,Petra,Religious,1970,782768,Creed,Pop/Rock,1990
10271,24944,Amy Grant,Religious,1970,162269,Faith Hill,Country,1990
17013,83095,Kirk Franklin,Religious,1990,287407,Jessica Simpson,Pop/Rock,1990
34685,31263,Andra̩ Crouch,Religious,1960,803533,Twila Paris,Religious,1980
8111,31263,Andra̩ Crouch,Religious,1960,127889,BeBe Winans,Religious,1980
8521,24944,Amy Grant,Religious,1970,132849,Crystal Lewis,Religious,1980
8485,31263,Andra̩ Crouch,Religious,1960,131681,Pat Boone,Vocal,1950
27023,668448,James Cleveland,Religious,1950,607448,Al Green,R&B;,1960
27003,13511,Sister Rosetta Tharpe,Religious,1930,607448,Al Green,R&B;,1960
17406,13511,Sister Rosetta Tharpe,Religious,1930,295545,Richie Havens,Folk,1960
8140,609966,The Highway Q.C.'s,Religious,1940,128099,James Brown,R&B;,1950
8997,946560,dc Talk,Religious,1980,139212,BarlowGirl,Pop/Rock,2000
34305,466759,Michael W. Smith,Religious,1980,796914,Carman,Religious,1970
33334,32071,Shirley Caesar,Religious,1950,784056,Leela James,R&B;,2000
3078,32071,Shirley Caesar,Religious,1950,44703,Sweet Honey in the Rock,Religious,1970
9275,668448,James Cleveland,Religious,1950,144458,Curtis Mayfield,R&B;,1950
34304,31263,Andra̩ Crouch,Religious,1960,796914,Carman,Religious,1970
8572,13511,Sister Rosetta Tharpe,Religious,1930,133969,Joan Armatrading,Pop/Rock,1970
13808,148305,Fred Hammond,Religious,1980,215058,Jars of Clay,Pop/Rock,1990
29373,668448,James Cleveland,Religious,1950,674937,Daryl Coley,Religious,1970
14631,668448,James Cleveland,Religious,1950,230963,John P. Kee,Religious,1980
10505,32071,Shirley Caesar,Religious,1950,165077,Stacie Orrico,Religious,1990
10495,668448,James Cleveland,Religious,1950,165011,Dionne Warwick,R&B;,1960
9883,942624,Caedmon's Call,Religious,1990,155170,Passion,Religious,1990
32986,31263,Andra̩ Crouch,Religious,1960,776576,Israel Houghton,Religious,2000
32987,127889,BeBe Winans,Religious,1980,776576,Israel Houghton,Religious,2000
32988,178135,The Edwin Hawkins Singers,Religious,1960,776576,Israel Houghton,Religious,2000
32989,576839,The Winans,Religious,1980,776576,Israel Houghton,Religious,2000
14905,13511,Sister Rosetta Tharpe,Religious,1930,238115,Sam Cooke,R&B;,1950
29425,31263,Andra̩ Crouch,Religious,1960,675728,Hezekiah Walker,Religious,1990
29426,576839,The Winans,Religious,1980,675728,Hezekiah Walker,Religious,1990
29945,83095,Kirk Franklin,Religious,1990,690718,Yolanda Adams,Religious,1980
29947,152973,BeBe & CeCe Winans,Religious,1980,690718,Yolanda Adams,Religious,1980
29948,201667,Vickie Winans,Religious,1980,690718,Yolanda Adams,Religious,1980
29428,668448,James Cleveland,Religious,1950,675728,Hezekiah Walker,Religious,1990
29951,576839,The Winans,Religious,1980,690718,Yolanda Adams,Religious,1980
13991,132579,Larry Norman,Religious,1960,219203,U2,Pop/Rock,1970
13814,466759,Michael W. Smith,Religious,1980,215058,Jars of Clay,Pop/Rock,1990
30167,24944,Amy Grant,Religious,1970,729857,Jordin Sparks,R&B;,2000
30168,466759,Michael W. Smith,Religious,1980,729857,Jordin Sparks,R&B;,2000
32991,987922,CeCe Winans,Religious,1980,776576,Israel Houghton,Religious,2000
13810,325443,Petra,Religious,1970,215058,Jars of Clay,Pop/Rock,1990
13807,79392,Keith Green,Religious,1960,215058,Jars of Clay,Pop/Rock,1990
13804,44068,Steven Curtis Chapman,Religious,1980,215058,Jars of Clay,Pop/Rock,1990
30184,239655,Sandi Patty,Religious,1970,732652,Kellie Pickler,Country,2000
14306,132579,Larry Norman,Religious,1960,224186,John Mellencamp,Pop/Rock,1970
30350,31263,Andra̩ Crouch,Religious,1960,741380,Donnie McClurkin,Religious,1990
30352,83095,Kirk Franklin,Religious,1990,741380,Donnie McClurkin,Religious,1990
14519,31263,Andra̩ Crouch,Religious,1960,227708,Walter Hawkins,Religious,1960
29953,668448,James Cleveland,Religious,1950,690718,Yolanda Adams,Religious,1980
9882,466759,Michael W. Smith,Religious,1980,155170,Passion,Religious,1990
24107,466759,Michael W. Smith,Religious,1980,510885,TobyMac,Religious,1980
9880,159312,Bebo Norman,Religious,1990,155170,Passion,Religious,1990
20892,44068,Steven Curtis Chapman,Religious,1980,393257,Newsboys,Religious,1980
39765,26952,Smokie Norful,Religious,2000,939871,Mandisa,Religious,2000
40061,466759,Michael W. Smith,Religious,1980,946560,dc Talk,Religious,1980
