,influencer_id,influencer_name,influencer_main_genre,influencer_active_start,follower_id,follower_name,follower_main_genre,follower_active_start
3712,579458,Luciano Pavarotti,Classical,1960,51603,Charlotte Church,Classical,1990
41265,183867,John Cage,Classical,1930,1352264,Louis and Bebe Barron,Classical,1950
21287,183867,John Cage,Classical,1930,405522,The Mothers of Invention,Pop/Rock,1960
41981,751613,Andrea Bocelli,Classical,1990,2690165,Tyler Farr,Country,2010
27369,183867,John Cage,Classical,1930,617196,Brian Eno,Pop/Rock,1970
13178,37658,Steve Reich,Classical,1960,203592,Max Richter,Classical,1990
26062,731975,Giuseppe di Stefano,Classical,1940,579458,Luciano Pavarotti,Classical,1960
3713,641626,Cecilia Bartoli,Classical,1980,51603,Charlotte Church,Classical,1990
21353,740576,Maria Callas,Classical,1940,406733,Meredith Monk,Avant-Garde,1960
28034,751613,Andrea Bocelli,Classical,1990,633313,Katharine McPhee,Pop/Rock,2000
37014,183867,John Cage,Classical,1930,853926,Popol Vuh,Electronic,1970
3715,751613,Andrea Bocelli,Classical,1990,51603,Charlotte Church,Classical,1990
1863,849672,Philip Glass,Classical,1960,26520,Stereolab,Pop/Rock,1990
37037,239859,Leonard Bernstein,Classical,1940,854854,Rufus Wainwright,Pop/Rock,1990
16539,51740,JosÃ© Carreras,Classical,1970,275335,Josh Groban,Vocal,2000
39163,37658,Steve Reich,Classical,1960,926604,Throbbing Gristle,Pop/Rock,1970
30653,183867,John Cage,Classical,1930,746731,Spiritualized,Pop/Rock,1990
42020,929776,Arvo PÃ¤rt,Classical,1950,2754189,A Winged Victory for the Sullen,Pop/Rock,2010
1834,37658,Steve Reich,Classical,1960,26520,Stereolab,Pop/Rock,1990
19095,579458,Luciano Pavarotti,Classical,1960,340527,Raul Malo,Country,1990
30645,37658,Steve Reich,Classical,1960,746731,Spiritualized,Pop/Rock,1990
40866,37658,Steve Reich,Classical,1960,990368,Foals,Pop/Rock,2000
21963,579458,Luciano Pavarotti,Classical,1960,456896,Michael Crawford,Stage & Screen,1950
39265,183867,John Cage,Classical,1930,930204,The Art of Noise,Pop/Rock,1980
11164,183867,John Cage,Classical,1930,174132,Tuxedomoon,Pop/Rock,1970
16555,851639,PlÃ¡cido Domingo,Classical,1960,275335,Josh Groban,Vocal,2000
13180,929776,Arvo PÃ¤rt,Classical,1950,203592,Max Richter,Classical,1990
11168,849672,Philip Glass,Classical,1960,174132,Tuxedomoon,Pop/Rock,1970
13179,849672,Philip Glass,Classical,1960,203592,Max Richter,Classical,1990
16548,579458,Luciano Pavarotti,Classical,1960,275335,Josh Groban,Vocal,2000
11673,37658,Steve Reich,Classical,1960,180023,Tortoise,Pop/Rock,1990
13691,239859,Leonard Bernstein,Classical,1940,213212,Janis Ian,Pop/Rock,1960
39166,183867,John Cage,Classical,1930,926604,Throbbing Gristle,Pop/Rock,1970
1841,183867,John Cage,Classical,1930,26520,Stereolab,Pop/Rock,1990
38657,37658,Steve Reich,Classical,1960,920101,The United States of America,Pop/Rock,1960
14348,183867,John Cage,Classical,1930,224638,John Cale,Pop/Rock,1960
14341,37658,Steve Reich,Classical,1960,224638,John Cale,Pop/Rock,1960
30936,183867,John Cage,Classical,1930,750519,Terry Riley,Avant-Garde,1960
12188,183867,John Cage,Classical,1930,186927,Harold Budd,Avant-Garde,1960
9528,849672,Philip Glass,Classical,1960,150048,Enigma,Electronic,1990
31405,37658,Steve Reich,Classical,1960,755156,Sonic Youth,Pop/Rock,1980
37891,751613,Andrea Bocelli,Classical,1990,885569,Michael BublÃ©,Vocal,1990
37889,579458,Luciano Pavarotti,Classical,1960,885569,Michael BublÃ©,Vocal,1990
31412,183867,John Cage,Classical,1930,755156,Sonic Youth,Pop/Rock,1980
31442,183867,John Cage,Classical,1930,755494,Silver Apples,Pop/Rock,1960
29753,1950198,Bidu SayÃ£o,Classical,1930,685751,Yma Sumac,Easy Listening,1950
29159,579458,Luciano Pavarotti,Classical,1960,672269,Mandy Patinkin,Vocal,1970
23587,183867,John Cage,Classical,1930,496525,Moondog,Avant-Garde,1950
23586,26350,Wolfgang Amadeus Mozart,Classical,2010,496525,Moondog,Avant-Garde,1950
38048,37658,Steve Reich,Classical,1960,891575,The Orb,Electronic,1980
17953,37658,Steve Reich,Classical,1960,308762,Penguin Cafe Orchestra,New Age,1970
36854,183867,John Cage,Classical,1930,849672,Philip Glass,Classical,1960
17955,757335,John Adams,Classical,1960,308762,Penguin Cafe Orchestra,New Age,1970
14920,37658,Steve Reich,Classical,1960,238440,Robert Fripp,Pop/Rock,1960
34994,37658,Steve Reich,Classical,1960,807294,JÃ³hann JÃ³hannsson,Electronic,1990
34998,757335,John Adams,Classical,1960,807294,JÃ³hann JÃ³hannsson,Electronic,1990
17295,851639,PlÃ¡cido Domingo,Classical,1960,293490,Sarah Brightman,Vocal,1970
34999,849672,Philip Glass,Classical,1960,807294,JÃ³hann JÃ³hannsson,Electronic,1990
17292,579458,Luciano Pavarotti,Classical,1960,293490,Sarah Brightman,Vocal,1970
35000,929776,Arvo PÃ¤rt,Classical,1950,807294,JÃ³hann JÃ³hannsson,Electronic,1990
15991,37658,Steve Reich,Classical,1960,257544,Van der Graaf Generator,Pop/Rock,1960
37920,183867,John Cage,Classical,1930,887513,Michael Nyman,Stage & Screen,1970
150,239859,Leonard Bernstein,Classical,1940,3595,Andrew Lloyd Webber,Stage & Screen,1960
