,influencer_id,influencer_name,influencer_main_genre,influencer_active_start,follower_id,follower_name,follower_main_genre,follower_active_start
40014,106298,Cheech & Chong,Comedy/Spoken,1970,945687,George Lopez,Comedy/Spoken,1990
26833,120487,Jack Kerouac,Comedy/Spoken,1950,601430,Morphine,Pop/Rock,1990
16986,245292,Rodney Dangerfield,Comedy/Spoken,1960,287092,Sam Kinison,Comedy/Spoken,1980
9108,12654,Spinal Tap,Comedy/Spoken,1980,141683,The Darkness,Pop/Rock,2000
3416,67561,Bob Newhart,Comedy/Spoken,1950,47246,Steven Wright,Comedy/Spoken,1980
40015,295415,Richard Pryor,Comedy/Spoken,1960,945687,George Lopez,Comedy/Spoken,1990
16987,639005,George Carlin,Comedy/Spoken,1960,287092,Sam Kinison,Comedy/Spoken,1980
3415,43444,Steve Martin,Comedy/Spoken,1960,47246,Steven Wright,Comedy/Spoken,1980
4620,342833,Mel Brooks,Comedy/Spoken,1950,70534,Bill Cosby,Comedy/Spoken,1960
9197,70534,Bill Cosby,Comedy/Spoken,1960,142208,Eddie Murphy,Comedy/Spoken,1980
98,203804,Victor Borge,Comedy/Spoken,1950,2273,Allan Sherman,Comedy/Spoken,1960
100,744548,Spike Jones,Comedy/Spoken,1930,2273,Allan Sherman,Comedy/Spoken,1960
9196,43444,Steve Martin,Comedy/Spoken,1960,142208,Eddie Murphy,Comedy/Spoken,1980
30470,744548,Spike Jones,Comedy/Spoken,1930,744969,Alvin & the Chipmunks,Children's,1950
38408,611877,Tom Lehrer,Comedy/Spoken,1940,899198,The Smothers Brothers,Comedy/Spoken,1960
3025,278559,Jerry Lewis,Comedy/Spoken,1930,43444,Steve Martin,Comedy/Spoken,1960
9199,287860,Robin Williams,Comedy/Spoken,1970,142208,Eddie Murphy,Comedy/Spoken,1980
3026,295415,Richard Pryor,Comedy/Spoken,1960,43444,Steve Martin,Comedy/Spoken,1960
3027,492670,Monty Python,Comedy/Spoken,1960,43444,Steve Martin,Comedy/Spoken,1960
35774,70534,Bill Cosby,Comedy/Spoken,1960,820780,Whoopi Goldberg,Comedy/Spoken,1990
27344,43444,Steve Martin,Comedy/Spoken,1960,615937,Brian Regan,Comedy/Spoken,1980
27345,67561,Bob Newhart,Comedy/Spoken,1950,615937,Brian Regan,Comedy/Spoken,1980
29312,238245,Denis Leary,Comedy/Spoken,1990,674417,Dane Cook,Comedy/Spoken,1990
