,influencer_id,influencer_name,influencer_main_genre,influencer_active_start,follower_id,follower_name,follower_main_genre,follower_active_start
19317,678009,Henry Mancini,Easy Listening,1940,345708,Pink Martini,Pop/Rock,1990
15710,781399,Jackie Gleason,Easy Listening,1950,252495,Wayne Newton,Vocal,1960
28450,322027,Nelson Riddle,Easy Listening,1940,649950,George Martin,Pop/Rock,1950
16661,678009,Henry Mancini,Easy Listening,1940,278644,Howard Shore,Stage & Screen,1960
37215,822777,Liberace,Easy Listening,1940,858827,Queen,Pop/Rock,1970
26957,822777,Liberace,Easy Listening,1940,607028,Arthur Lyman,Easy Listening,1940
34287,822777,Liberace,Easy Listening,1940,796734,Elton John,Pop/Rock,1960
35799,748088,Bert Kaempfert,Easy Listening,1930,822777,Liberace,Easy Listening,1940
28506,678009,Henry Mancini,Easy Listening,1940,652255,Gilberto Gil,International,1960
29309,869487,Ray Conniff,Easy Listening,1930,674332,Herb Alpert,Easy Listening,1950
26956,685751,Yma Sumac,Easy Listening,1950,607028,Arthur Lyman,Easy Listening,1940
9545,678009,Henry Mancini,Easy Listening,1940,150530,James Horner,Stage & Screen,1970
26954,305541,Percy Faith,Easy Listening,1950,607028,Arthur Lyman,Easy Listening,1940
26953,249175,Les Baxter,Easy Listening,1940,607028,Arthur Lyman,Easy Listening,1940
25567,678009,Henry Mancini,Easy Listening,1940,569119,Danny Elfman,Stage & Screen,1970
35800,754767,AndrÃ© Kostelanetz,Easy Listening,1930,822777,Liberace,Easy Listening,1940
7190,674332,Herb Alpert,Easy Listening,1950,109274,Chris Montez,Pop/Rock,1960
8442,674332,Herb Alpert,Easy Listening,1950,131603,Squirrel Nut Zippers,Pop/Rock,1990
14666,678009,Henry Mancini,Easy Listening,1940,232480,John Williams,Stage & Screen,1950
35797,577261,Mitch Miller,Easy Listening,1940,822777,Liberace,Easy Listening,1940
29308,822777,Liberace,Easy Listening,1940,674332,Herb Alpert,Easy Listening,1950
28289,305541,Percy Faith,Easy Listening,1950,642542,Burt Bacharach,Pop/Rock,1950
8300,822777,Liberace,Easy Listening,1940,130028,Freddie Mercury,Pop/Rock,1970
5136,2330,Sergio Mendes,Easy Listening,1960,79044,The Lightning Seeds,Pop/Rock,1980
18004,249175,Les Baxter,Easy Listening,1940,311074,Martin Denny,Easy Listening,1950
29735,678009,Henry Mancini,Easy Listening,1940,684920,Dave Grusin,Jazz,1960
12304,674332,Herb Alpert,Easy Listening,1950,188432,David Sanborn,Jazz,1960
18005,607028,Arthur Lyman,Easy Listening,1940,311074,Martin Denny,Easy Listening,1950
13986,678009,Henry Mancini,Easy Listening,1940,219021,Luiz BonfÃ¡,Latin,1950
28290,322027,Nelson Riddle,Easy Listening,1940,642542,Burt Bacharach,Pop/Rock,1950
7574,678009,Henry Mancini,Easy Listening,1940,118493,JoÃ£o Donato,Latin,1940
11005,678009,Henry Mancini,Easy Listening,1940,171637,Duane Eddy,Pop/Rock,1950
29995,311074,Martin Denny,Easy Listening,1950,694325,Gheorghe Zamfir,Easy Listening,1970
6986,674332,Herb Alpert,Easy Listening,1950,105329,Chris Botti,Jazz,1990
29304,311074,Martin Denny,Easy Listening,1950,674332,Herb Alpert,Easy Listening,1950
31658,678009,Henry Mancini,Easy Listening,1940,757665,The Lounge Lizards,Jazz,1980
18610,678009,Henry Mancini,Easy Listening,1940,327765,John Barry,Stage & Screen,1950
28294,678009,Henry Mancini,Easy Listening,1940,642542,Burt Bacharach,Pop/Rock,1950
33274,678009,Henry Mancini,Easy Listening,1940,781932,Lalo Schifrin,Jazz,1950
18863,577261,Mitch Miller,Easy Listening,1940,334243,Phil Ramone,Pop/Rock,1960
11483,249175,Les Baxter,Easy Listening,1940,177588,Jon Hassell,New Age,1970
11489,685751,Yma Sumac,Easy Listening,1950,177588,Jon Hassell,New Age,1970
26671,685751,Yma Sumac,Easy Listening,1950,595101,Tim Buckley,Pop/Rock,1960
16469,249175,Les Baxter,Easy Listening,1940,271113,JosÃ© Feliciano,Vocal,1960
12812,2330,Sergio Mendes,Easy Listening,1960,197364,David Byrne,Pop/Rock,1970
10870,822777,Liberace,Easy Listening,1940,170214,Ferrante & Teicher,Easy Listening,1950
19310,249175,Les Baxter,Easy Listening,1940,345708,Pink Martini,Pop/Rock,1990
15842,678009,Henry Mancini,Easy Listening,1940,254972,Julee Cruise,Pop/Rock,1980
19314,607028,Arthur Lyman,Easy Listening,1940,345708,Pink Martini,Pop/Rock,1990
29395,955647,Mason Williams,Easy Listening,1950,675495,Mannheim Steamroller,New Age,1970
3814,311074,Martin Denny,Easy Listening,1950,53441,Eden Ahbez,Easy Listening,1940
21352,685751,Yma Sumac,Easy Listening,1950,406733,Meredith Monk,Avant-Garde,1960
40208,678009,Henry Mancini,Easy Listening,1940,949259,"Harry Connick, Jr.",Vocal,1970
20751,199917,Chantal Kreviazuk,Easy Listening,1990,390185,Aly & AJ,Pop/Rock,2000
23589,678009,Henry Mancini,Easy Listening,1940,497132,Milton Nascimento,Latin,1960
2903,311074,Martin Denny,Easy Listening,1950,40501,Steve Roach,New Age,1970
24375,685751,Yma Sumac,Easy Listening,1950,521704,Yoko Ono,Pop/Rock,1960
1258,822777,Liberace,Easy Listening,1940,18977,Barry Manilow,Pop/Rock,1970
1833,2330,Sergio Mendes,Easy Listening,1960,26520,Stereolab,Pop/Rock,1990
41083,311074,Martin Denny,Easy Listening,1950,1013037,El Guincho,Pop/Rock,2000
2038,322027,Nelson Riddle,Easy Listening,1940,29867,Shirley Bassey,Vocal,1950
1581,2330,Sergio Mendes,Easy Listening,1960,21747,Chuck Mangione,Jazz,1960
24271,322027,Nelson Riddle,Easy Listening,1940,519637,Brian Setzer,Pop/Rock,1980
3739,674332,Herb Alpert,Easy Listening,1950,51909,Carpenters,Pop/Rock,1960
1642,305541,Percy Faith,Easy Listening,1950,22574,Paul Mauriat,Easy Listening,1960
3721,2330,Sergio Mendes,Easy Listening,1960,51909,Carpenters,Pop/Rock,1960
1588,674332,Herb Alpert,Easy Listening,1950,21747,Chuck Mangione,Jazz,1960
2989,311074,Martin Denny,Easy Listening,1950,42234,Steven Halpern,New Age,1970
40399,249175,Les Baxter,Easy Listening,1940,955773,Herb Alpert & the Tijuana Brass,Easy Listening,1960
1845,311074,Martin Denny,Easy Listening,1950,26520,Stereolab,Pop/Rock,1990
20956,678009,Henry Mancini,Easy Listening,1940,394806,Randy Newman,Pop/Rock,1960
20358,322027,Nelson Riddle,Easy Listening,1940,378624,Quincy Jones,Jazz,1950
1849,607028,Arthur Lyman,Easy Listening,1940,26520,Stereolab,Pop/Rock,1990
1844,249175,Les Baxter,Easy Listening,1940,26520,Stereolab,Pop/Rock,1990
103,249175,Les Baxter,Easy Listening,1940,2330,Sergio Mendes,Easy Listening,1960
1854,678009,Henry Mancini,Easy Listening,1940,26520,Stereolab,Pop/Rock,1990
