,influencer_id,influencer_name,influencer_main_genre,influencer_active_start,follower_id,follower_name,follower_main_genre,follower_active_start
19179,287604,Louis Jordan,Jazz,1930,343396,Roy Brown,R&B;,1940
14143,378624,Quincy Jones,Jazz,1950,221894,MFSB,R&B;,1970
14142,149946,Donald Byrd,Jazz,1950,221894,MFSB,R&B;,1970
19180,317093,Nat King Cole,Jazz,1930,343396,Roy Brown,R&B;,1940
19181,532957,Cab Calloway,Jazz,1930,343396,Roy Brown,R&B;,1940
36856,484396,Ornette Coleman,Jazz,1950,849672,Philip Glass,Classical,1960
29850,151290,B̩la Fleck,Jazz,1970,687561,Dave Matthews,Pop/Rock,1990
14130,957296,Herbie Hancock,Jazz,1960,221803,UNKLE,Electronic,1990
29194,640675,Bud Powell,Jazz,1940,673082,Marcus Roberts,Jazz,1980
29193,490416,Thelonious Monk,Jazz,1940,673082,Marcus Roberts,Jazz,1980
29192,206967,Erroll Garner,Jazz,1940,673082,Marcus Roberts,Jazz,1980
29195,824866,Marian McPartland,Jazz,1940,673082,Marcus Roberts,Jazz,1980
29196,957296,Herbie Hancock,Jazz,1960,673082,Marcus Roberts,Jazz,1980
36859,873886,Raymond Scott,Jazz,1930,849672,Philip Glass,Classical,1960
29838,924232,Sun Ra,Jazz,1940,687487,Yo La Tengo,Pop/Rock,1980
29198,107247,Chuck Rainey,Jazz,1960,673114,Marcus Miller,Jazz,1970
36873,864257,Rahsaan Roland Kirk,Jazz,1950,850692,Jethro Tull,Pop/Rock,1960
29594,789775,Clifford Brown,Jazz,1950,680003,Woody Shaw,Jazz,1960
35872,243527,Weather Report,Jazz,1970,825087,Living Colour,Pop/Rock,1980
6802,209773,Joe Pass,Jazz,1950,102399,Larry Carlton,Jazz,1970
14120,800100,Eric Dolphy,Jazz,1950,221660,John Handy,Jazz,1950
13584,256575,Percy Heath,Jazz,1950,211483,Charlie Haden,Jazz,1950
13583,255770,Wilbur Ware,Jazz,1950,211483,Charlie Haden,Jazz,1950
13582,119629,Joe Lovano,Jazz,1970,211483,Charlie Haden,Jazz,1950
35882,745316,Stanley Clarke,Jazz,1960,825087,Living Colour,Pop/Rock,1980
5319,490416,Thelonious Monk,Jazz,1940,81231,Bobby Hutcherson,Jazz,1960
18402,68780,Kenny Burrell,Jazz,1950,320845,Peter Frampton,Pop/Rock,1960
5318,489845,Milt Jackson,Jazz,1940,81231,Bobby Hutcherson,Jazz,1960
5317,484396,Ornette Coleman,Jazz,1950,81231,Bobby Hutcherson,Jazz,1960
5316,423829,Miles Davis,Jazz,1940,81231,Bobby Hutcherson,Jazz,1960
5315,208404,Dexter Gordon,Jazz,1940,81231,Bobby Hutcherson,Jazz,1960
3894,742899,Stan Getz,Jazz,1940,57209,The Free Design,Pop/Rock,1960
5314,175553,John Coltrane,Jazz,1940,81231,Bobby Hutcherson,Jazz,1960
7272,423829,Miles Davis,Jazz,1940,110161,Chicago,Pop/Rock,1960
7274,743929,Stan Kenton,Jazz,1930,110161,Chicago,Pop/Rock,1960
3889,864257,Rahsaan Roland Kirk,Jazz,1950,57205,Bob Moses,Jazz,1980
13591,745617,Paul Bley,Jazz,1950,211483,Charlie Haden,Jazz,1950
29593,768027,Kenny Dorham,Jazz,1940,680003,Woody Shaw,Jazz,1960
14119,548338,Cannonball Adderley,Jazz,1950,221660,John Handy,Jazz,1950
18886,206967,Erroll Garner,Jazz,1940,334770,Ramsey Lewis,Jazz,1950
36839,781172,Jimmy Smith,Jazz,1950,848952,"Richard ""Groove"" Holmes",Jazz,1950
4533,944206,"Grover Washington, Jr.",Jazz,1960,68934,Kenny G,Jazz,1970
6116,287604,Louis Jordan,Jazz,1930,93322,King Tubby,Reggae,1960
36913,830319,Hugh Masekela,Jazz,1950,852665,Poncho Sanchez,Jazz,1960
36912,798326,Freddie Hubbard,Jazz,1950,852665,Poncho Sanchez,Jazz,1960
19863,745316,Stanley Clarke,Jazz,1960,359326,Primus,Pop/Rock,1990
4527,314050,Narada Michael Walden,Jazz,1970,68934,Kenny G,Jazz,1970
14851,211758,Charlie Parker,Jazz,1930,235881,Wardell Gray,Jazz,1940
29202,275832,Ron Carter,Jazz,1960,673114,Marcus Miller,Jazz,1970
6197,790227,Tal Farlow,Jazz,1940,94205,Chet Atkins,Country,1940
18890,640675,Bud Powell,Jazz,1940,334770,Ramsey Lewis,Jazz,1950
18889,489316,Oscar Peterson,Jazz,1940,334770,Ramsey Lewis,Jazz,1950
18888,424292,John Lewis,Jazz,1940,334770,Ramsey Lewis,Jazz,1950
19218,640675,Bud Powell,Jazz,1940,343940,Ray Brown,Jazz,1940
18887,245760,Les McCann,Jazz,1960,334770,Ramsey Lewis,Jazz,1950
19219,749504,St̩phane Grappelli,Jazz,1930,343940,Ray Brown,Jazz,1940
13585,258090,Scott LaFaro,Jazz,1950,211483,Charlie Haden,Jazz,1950
18885,127369,Ahmad Jamal,Jazz,1950,334770,Ramsey Lewis,Jazz,1950
14935,781172,Jimmy Smith,Jazz,1950,238495,John Mayall,Blues,1950
4532,934350,Tom Scott,Jazz,1960,68934,Kenny G,Jazz,1970
4531,742899,Stan Getz,Jazz,1940,68934,Kenny G,Jazz,1970
4530,666763,Hank Crawford,Jazz,1950,68934,Kenny G,Jazz,1970
36838,275832,Ron Carter,Jazz,1960,848952,"Richard ""Groove"" Holmes",Jazz,1950
14125,423829,Miles Davis,Jazz,1940,221803,UNKLE,Electronic,1990
14852,259529,Lester Young,Jazz,1930,235881,Wardell Gray,Jazz,1940
36904,86750,The Jazz Crusaders,Jazz,1960,852665,Poncho Sanchez,Jazz,1960
29191,127369,Ahmad Jamal,Jazz,1950,673082,Marcus Roberts,Jazz,1980
4374,206967,Erroll Garner,Jazz,1940,65882,Bob James,Jazz,1960
4373,201678,Vince Guaraldi,Jazz,1950,65882,Bob James,Jazz,1960
4372,127369,Ahmad Jamal,Jazz,1950,65882,Bob James,Jazz,1960
29199,113480,Jaco Pastorius,Jazz,1960,673114,Marcus Miller,Jazz,1970
36944,677991,John Scofield,Jazz,1970,852718,Kaki King,Pop/Rock,2000
19921,39656,Sonny Rollins,Jazz,1940,360956,Jimmy Giuffre,Jazz,1940
36936,11910,Stanley Jordan,Jazz,1980,852718,Kaki King,Pop/Rock,2000
4523,190888,Jeff Lorber,Jazz,1970,68934,Kenny G,Jazz,1970
4524,192260,John Klemmer,Jazz,1960,68934,Kenny G,Jazz,1970
4525,201760,George Benson,Jazz,1960,68934,Kenny G,Jazz,1970
36910,643549,Cal Tjader,Jazz,1940,852665,Poncho Sanchez,Jazz,1960
4526,228444,Lee Ritenour,Jazz,1960,68934,Kenny G,Jazz,1970
4529,536122,George Duke,Jazz,1960,68934,Kenny G,Jazz,1970
36940,74397,Bill Frisell,Jazz,1970,852718,Kaki King,Pop/Rock,2000
18406,201760,George Benson,Jazz,1960,320845,Peter Frampton,Pop/Rock,1960
13613,490416,Thelonious Monk,Jazz,1940,211578,Jamie Cullum,Pop/Rock,2000
13587,343940,Ray Brown,Jazz,1940,211483,Charlie Haden,Jazz,1950
4711,770629,Illinois Jacquet,Jazz,1940,71970,The J.B.'s,R&B;,1960
37622,558339,Hank Jones,Jazz,1950,868092,McCoy Tyner,Jazz,1960
13624,961133,Dave Koz,Jazz,1990,211578,Jamie Cullum,Pop/Rock,2000
13625,170690,Erskine Hawkins,Jazz,1940,211758,Charlie Parker,Jazz,1930
38938,170690,Erskine Hawkins,Jazz,1940,924232,Sun Ra,Jazz,1940
37618,424292,John Lewis,Jazz,1940,868092,McCoy Tyner,Jazz,1960
38939,542549,Gerry Mulligan,Jazz,1940,924232,Sun Ra,Jazz,1940
28926,287604,Louis Jordan,Jazz,1930,666763,Hank Crawford,Jazz,1950
24283,640675,Bud Powell,Jazz,1940,519715,Tommy Flanagan,Jazz,1940
24282,206967,Erroll Garner,Jazz,1940,519715,Tommy Flanagan,Jazz,1940
28925,211758,Charlie Parker,Jazz,1930,666763,Hank Crawford,Jazz,1950
28924,44290,Sonny Stitt,Jazz,1940,666763,Hank Crawford,Jazz,1950
37619,489316,Oscar Peterson,Jazz,1940,868092,McCoy Tyner,Jazz,1960
7177,162677,Dizzy Gillespie,Jazz,1930,108826,Jackie Wilson,R&B;,1950
7180,287604,Louis Jordan,Jazz,1930,108826,Jackie Wilson,R&B;,1950
24272,511773,Les Brown,Jazz,1930,519637,Brian Setzer,Pop/Rock,1980
24270,287604,Louis Jordan,Jazz,1930,519637,Brian Setzer,Pop/Rock,1980
15230,944206,"Grover Washington, Jr.",Jazz,1960,242949,Wayman Tisdale,Jazz,1990
37620,490416,Thelonious Monk,Jazz,1940,868092,McCoy Tyner,Jazz,1960
22051,243527,Weather Report,Jazz,1970,463527,Return to Forever,Jazz,1970
15228,745316,Stanley Clarke,Jazz,1960,242949,Wayman Tisdale,Jazz,1990
4697,743929,Stan Kenton,Jazz,1930,71336,The Four Freshmen,Vocal,1940
4705,162677,Dizzy Gillespie,Jazz,1930,71970,The J.B.'s,R&B;,1960
4295,317093,Nat King Cole,Jazz,1930,64145,The Five Keys,R&B;,1950
4706,267354,Horace Silver,Jazz,1950,71970,The J.B.'s,R&B;,1960
37624,684253,Wynton Kelly,Jazz,1950,868092,McCoy Tyner,Jazz,1960
13612,489316,Oscar Peterson,Jazz,1940,211578,Jamie Cullum,Pop/Rock,2000
4707,287604,Louis Jordan,Jazz,1930,71970,The J.B.'s,R&B;,1960
4709,423829,Miles Davis,Jazz,1940,71970,The J.B.'s,R&B;,1960
4710,548338,Cannonball Adderley,Jazz,1950,71970,The J.B.'s,R&B;,1960
14769,317093,Nat King Cole,Jazz,1930,233228,Lou Rawls,R&B;,1950
15223,113480,Jaco Pastorius,Jazz,1960,242949,Wayman Tisdale,Jazz,1990
13606,317093,Nat King Cole,Jazz,1930,211578,Jamie Cullum,Pop/Rock,2000
4713,928942,Art Blakey,Jazz,1940,71970,The J.B.'s,R&B;,1960
13604,255210,Diana Krall,Jazz,1980,211578,Jamie Cullum,Pop/Rock,2000
15226,673114,Marcus Miller,Jazz,1970,242949,Wayman Tisdale,Jazz,1990
15227,741525,Fourplay,Jazz,1990,242949,Wayman Tisdale,Jazz,1990
24263,166767,Charlie Barnet,Jazz,1930,519637,Brian Setzer,Pop/Rock,1980
15229,855780,Najee,Jazz,1980,242949,Wayman Tisdale,Jazz,1990
24268,272567,Louis Prima,Jazz,1930,519637,Brian Setzer,Pop/Rock,1980
37621,551815,Gil Evans,Jazz,1930,868092,McCoy Tyner,Jazz,1960
13632,793227,Ben Webster,Jazz,1930,211758,Charlie Parker,Jazz,1930
7298,868092,McCoy Tyner,Jazz,1960,110541,Chick Corea,Jazz,1960
7299,924232,Sun Ra,Jazz,1940,110541,Chick Corea,Jazz,1960
35854,127369,Ahmad Jamal,Jazz,1950,824879,Horace Parlan,Jazz,1950
35852,764702,Bill Evans,Jazz,1950,824866,Marian McPartland,Jazz,1940
35851,489316,Oscar Peterson,Jazz,1940,824866,Marian McPartland,Jazz,1940
3885,396372,Max Roach,Jazz,1940,57205,Bob Moses,Jazz,1980
3884,290464,Roy Haynes,Jazz,1940,57205,Bob Moses,Jazz,1980
3883,34617,Andrew Hill,Jazz,1950,57205,Bob Moses,Jazz,1980
3882,9680,Charles Mingus,Jazz,1940,57205,Bob Moses,Jazz,1980
5311,343940,Ray Brown,Jazz,1940,81194,"Bobby ""Blue"" Bland",Blues,1950
7297,764702,Bill Evans,Jazz,1950,110541,Chick Corea,Jazz,1960
3886,423829,Miles Davis,Jazz,1940,57205,Bob Moses,Jazz,1980
3887,490416,Thelonious Monk,Jazz,1940,57205,Bob Moses,Jazz,1980
3888,551815,Gil Evans,Jazz,1930,57205,Bob Moses,Jazz,1980
35894,924232,Sun Ra,Jazz,1940,825209,Lightning Bolt,Pop/Rock,1990
13589,505047,Art Pepper,Jazz,1940,211483,Charlie Haden,Jazz,1950
13588,484396,Ornette Coleman,Jazz,1950,211483,Charlie Haden,Jazz,1950
7296,742899,Stan Getz,Jazz,1940,110541,Chick Corea,Jazz,1960
35859,640675,Bud Powell,Jazz,1940,824879,Horace Parlan,Jazz,1950
7295,640675,Bud Powell,Jazz,1940,110541,Chick Corea,Jazz,1960
7293,490416,Thelonious Monk,Jazz,1940,110541,Chick Corea,Jazz,1960
13631,784527,Barney Kessel,Jazz,1940,211758,Charlie Parker,Jazz,1930
13630,770629,Illinois Jacquet,Jazz,1940,211758,Charlie Parker,Jazz,1930
13629,346637,Roy Eldridge,Jazz,1930,211758,Charlie Parker,Jazz,1930
13628,259529,Lester Young,Jazz,1930,211758,Charlie Parker,Jazz,1930
13627,225389,Jay McShann,Jazz,1930,211758,Charlie Parker,Jazz,1930
13626,172350,Don Byas,Jazz,1930,211758,Charlie Parker,Jazz,1930
15231,346637,Roy Eldridge,Jazz,1930,242966,Lennie Tristano,Jazz,1940
6803,248392,Wes Montgomery,Jazz,1940,102399,Larry Carlton,Jazz,1970
18408,248392,Wes Montgomery,Jazz,1940,320845,Peter Frampton,Pop/Rock,1960
15232,640675,Bud Powell,Jazz,1940,242966,Lennie Tristano,Jazz,1940
35858,424292,John Lewis,Jazz,1940,824879,Horace Parlan,Jazz,1950
35857,267354,Horace Silver,Jazz,1950,824879,Horace Parlan,Jazz,1950
35856,206967,Erroll Garner,Jazz,1940,824879,Horace Parlan,Jazz,1950
35855,147245,Duke Jordan,Jazz,1940,824879,Horace Parlan,Jazz,1950
7289,127369,Ahmad Jamal,Jazz,1950,110541,Chick Corea,Jazz,1960
7290,245760,Les McCann,Jazz,1960,110541,Chick Corea,Jazz,1960
7291,267354,Horace Silver,Jazz,1950,110541,Chick Corea,Jazz,1960
7292,423829,Miles Davis,Jazz,1940,110541,Chick Corea,Jazz,1960
13590,558596,Hampton Hawes,Jazz,1950,211483,Charlie Haden,Jazz,1950
36713,928942,Art Blakey,Jazz,1940,845443,Philly Joe Jones,Jazz,1940
38455,287604,Louis Jordan,Jazz,1930,903009,Joe Cuba,Latin,1950
36712,396372,Max Roach,Jazz,1940,845443,Philly Joe Jones,Jazz,1940
29719,640675,Bud Powell,Jazz,1940,684253,Wynton Kelly,Jazz,1950
29718,489316,Oscar Peterson,Jazz,1940,684253,Wynton Kelly,Jazz,1950
4518,21747,Chuck Mangione,Jazz,1960,68934,Kenny G,Jazz,1970
4519,65882,Bob James,Jazz,1960,68934,Kenny G,Jazz,1970
29717,127369,Ahmad Jamal,Jazz,1950,684253,Wynton Kelly,Jazz,1950
4521,156886,Spyro Gyra,Jazz,1970,68934,Kenny G,Jazz,1970
4379,489316,Oscar Peterson,Jazz,1940,65882,Bob James,Jazz,1960
4522,188432,David Sanborn,Jazz,1960,68934,Kenny G,Jazz,1970
4378,378624,Quincy Jones,Jazz,1950,65882,Bob James,Jazz,1960
4515,805930,Charlie Christian,Jazz,1930,68780,Kenny Burrell,Jazz,1950
42547,378624,Quincy Jones,Jazz,1950,3379291,HONNE,Pop/Rock,2000
14909,317093,Nat King Cole,Jazz,1930,238115,Sam Cooke,R&B;,1950
19011,136075,The Crusaders,Jazz,1950,338287,Pieces of a Dream,Jazz,1970
29725,346637,Roy Eldridge,Jazz,1930,684830,Willie Mitchell,R&B;,1960
29723,243527,Weather Report,Jazz,1970,684612,Yellowjackets,Jazz,1980
29722,110541,Chick Corea,Jazz,1960,684612,Yellowjackets,Jazz,1980
29721,882950,Red Garland,Jazz,1950,684253,Wynton Kelly,Jazz,1950
19876,287604,Louis Jordan,Jazz,1930,359494,Prince Buster,Reggae,1960
5992,175553,John Coltrane,Jazz,1940,90188,Ian Dury,Pop/Rock,1970
4380,642664,George Shearing,Jazz,1930,65882,Bob James,Jazz,1960
4381,684253,Wynton Kelly,Jazz,1950,65882,Bob James,Jazz,1960
29736,678408,Herbie Mann,Jazz,1950,684920,Dave Grusin,Jazz,1960
25299,330601,Pharoah Sanders,Jazz,1960,562304,The Stooges,Pop/Rock,1960
181,805930,Charlie Christian,Jazz,1930,3829,T-Bone Walker,Blues,1930
5934,317093,Nat King Cole,Jazz,1930,89710,Billy Paul,R&B;,1950
180,532957,Cab Calloway,Jazz,1930,3829,T-Bone Walker,Blues,1930
25457,211758,Charlie Parker,Jazz,1930,567325,The Modern Jazz Quartet,Jazz,1950
4405,34617,Andrew Hill,Jazz,1950,66570,Keith Jarrett,Jazz,1960
