,influencer_id,influencer_name,influencer_main_genre,influencer_active_start,follower_id,follower_name,follower_main_genre,follower_active_start
5602,887638,Michael Hedges,New Age,1980,84777,Keller Williams,Pop/Rock,1980
37357,333539,Jim Brickman,New Age,1990,862343,Mat Kearney,Pop/Rock,2000
3673,489520,Mike Oldfield,New Age,1960,51066,Craig Armstrong,Pop/Rock,1980
40600,675495,Mannheim Steamroller,New Age,1970,961427,Hans Zimmer,Stage & Screen,1970
1367,675495,Mannheim Steamroller,New Age,1970,20028,Sky,Pop/Rock,1970
37884,333539,Jim Brickman,New Age,1990,885569,Michael Bubl̩,Vocal,1990
4886,190012,John Tesh,New Age,1980,74952,Ken Elkinson,New Age,2000
40567,81017,Kitaro,New Age,1970,961133,Dave Koz,Jazz,1990
13217,887638,Michael Hedges,New Age,1980,203711,Tuck & Patti,Jazz,1980
20207,945269,George Winston,New Age,1970,375101,Philip Wesley,New Age,2000
18785,46345,Suzanne Ciani,New Age,1980,333539,Jim Brickman,New Age,1990
18796,1431398,Will Ackerman,New Age,1970,333539,Jim Brickman,New Age,1990
18795,988471,Enya,New Age,1980,333539,Jim Brickman,New Age,1990
811,81017,Kitaro,New Age,1970,13101,Patrick O'Hearn,New Age,1980
18794,945269,George Winston,New Age,1970,333539,Jim Brickman,New Age,1990
18793,826364,Liz Story,New Age,1980,333539,Jim Brickman,New Age,1990
19885,1431398,Will Ackerman,New Age,1970,359555,Karunesh,New Age,1980
41303,489520,Mike Oldfield,New Age,1960,1431398,Will Ackerman,New Age,1970
2900,42234,Steven Halpern,New Age,1970,40501,Steve Roach,New Age,1970
16451,687933,Yanni,New Age,1980,270770,Celtic Woman,International,2000
40566,31441,Paul Winter,New Age,1960,961133,Dave Koz,Jazz,1990
9963,887638,Michael Hedges,New Age,1980,157377,Ottmar Liebert,New Age,1980
29391,308762,Penguin Cafe Orchestra,New Age,1970,675495,Mannheim Steamroller,New Age,1970
24875,333539,Jim Brickman,New Age,1990,544965,Daniel Powter,Pop/Rock,2000
37922,945269,George Winston,New Age,1970,887513,Michael Nyman,Stage & Screen,1970
9236,40501,Steve Roach,New Age,1970,143490,Cusco,New Age,2000
42167,675495,Mannheim Steamroller,New Age,1970,2895189,The Piano Guys,Easy Listening,2010
22449,489520,Mike Oldfield,New Age,1960,477116,Moby,Electronic,1980
23458,245489,Deuter,New Age,1970,493848,Aphex Twin,Electronic,1990
41305,887638,Michael Hedges,New Age,1980,1431398,Will Ackerman,New Age,1970
31819,489520,Mike Oldfield,New Age,1960,758999,Boards of Canada,Electronic,1990
16396,245489,Deuter,New Age,1970,268990,Luna,Pop/Rock,1990
23459,489520,Mike Oldfield,New Age,1960,493848,Aphex Twin,Electronic,1990
18788,185440,David Lanz,New Age,1960,333539,Jim Brickman,New Age,1990
19882,42234,Steven Halpern,New Age,1970,359555,Karunesh,New Age,1980
35670,359555,Karunesh,New Age,1980,818576,Deva Premal,New Age,2000
26406,177588,Jon Hassell,New Age,1970,587608,Ryuichi Sakamoto,Electronic,1970
36034,988471,Enya,New Age,1980,829267,Loreena McKennitt,Folk,1980
12349,81017,Kitaro,New Age,1970,190012,John Tesh,New Age,1980
17298,988471,Enya,New Age,1980,293490,Sarah Brightman,Vocal,1970
12347,46345,Suzanne Ciani,New Age,1980,190012,John Tesh,New Age,1980
12346,42234,Steven Halpern,New Age,1970,190012,John Tesh,New Age,1980
3718,988471,Enya,New Age,1980,51603,Charlotte Church,Classical,1990
12345,31441,Paul Winter,New Age,1960,190012,John Tesh,New Age,1980
39138,489520,Mike Oldfield,New Age,1960,926428,Thomas Dolby,Pop/Rock,1980
14226,489520,Mike Oldfield,New Age,1960,222959,MC 900 Ft. Jesus,Pop/Rock,1980
40387,177588,Jon Hassell,New Age,1970,955544,Daniel Lanois,Pop/Rock,1970
20206,333539,Jim Brickman,New Age,1990,375101,Philip Wesley,New Age,2000
5302,489520,Mike Oldfield,New Age,1960,81017,Kitaro,New Age,1970
14482,945269,George Winston,New Age,1970,227487,John Gorka,Folk,1980
11868,177588,Jon Hassell,New Age,1970,183139,David Sylvian,Pop/Rock,1970
29868,81017,Kitaro,New Age,1970,687933,Yanni,New Age,1980
40797,489520,Mike Oldfield,New Age,1960,988471,Enya,New Age,1980
12820,177588,Jon Hassell,New Age,1970,197364,David Byrne,Pop/Rock,1970
16892,945269,George Winston,New Age,1970,286092,Philip Aaberg,New Age,1970
16544,333539,Jim Brickman,New Age,1990,275335,Josh Groban,Vocal,2000
29870,675495,Mannheim Steamroller,New Age,1970,687933,Yanni,New Age,1980
