,influencer_id,influencer_name,influencer_main_genre,influencer_active_start,follower_id,follower_name,follower_main_genre,follower_active_start
1966,754032,The Beatles,Pop/Rock,1960,29067,The Action,Pop/Rock,1960
1967,894465,The Rolling Stones,Pop/Rock,1960,29067,The Action,Pop/Rock,1960
1972,69534,Bon Jovi,Pop/Rock,1980,29365,Trixter,Pop/Rock,1980
1973,604852,Aerosmith,Pop/Rock,1970,29365,Trixter,Pop/Rock,1980
1974,58549,Elvis Costello,Pop/Rock,1970,29600,Smash Mouth,Pop/Rock,1990
1975,70800,Billy Idol,Pop/Rock,1970,29600,Smash Mouth,Pop/Rock,1990
1976,154544,Green Day,Pop/Rock,1980,29600,Smash Mouth,Pop/Rock,1990
1977,195874,Madness,Pop/Rock,1970,29600,Smash Mouth,Pop/Rock,1990
1978,197921,The English Beat,Pop/Rock,1970,29600,Smash Mouth,Pop/Rock,1990
1877,796734,Elton John,Pop/Rock,1960,26825,Paula Cole,Pop/Rock,1990
1980,768321,INXS,Pop/Rock,1970,29600,Smash Mouth,Pop/Rock,1990
1940,481057,Orchestral Manoeuvres in the Dark,Pop/Rock,1970,28432,Sneaker Pimps,Pop/Rock,1990
1938,358820,Primal Scream,Pop/Rock,1980,28432,Sneaker Pimps,Pop/Rock,1990
1937,301619,Portishead,Pop/Rock,1990,28432,Sneaker Pimps,Pop/Rock,1990
1936,239921,Depeche Mode,Pop/Rock,1980,28432,Sneaker Pimps,Pop/Rock,1990
1874,754251,Suzanne Vega,Pop/Rock,1980,26825,Paula Cole,Pop/Rock,1990
1875,756180,Sin̩ad O'Connor,Pop/Rock,1980,26825,Paula Cole,Pop/Rock,1990
1876,792530,Tori Amos,Pop/Rock,1980,26825,Paula Cole,Pop/Rock,1990
1878,842802,Peter Gabriel,Pop/Rock,1970,26825,Paula Cole,Pop/Rock,1990
1979,482334,The Specials,Pop/Rock,1970,29600,Smash Mouth,Pop/Rock,1990
1958,100160,The Kinks,Pop/Rock,1960,28863,The 88,Pop/Rock,2000
1946,41874,The Beach Boys,Pop/Rock,1960,28772,The 5th Dimension,Pop/Rock,1960
1957,29978,Sloan,Pop/Rock,1990,28863,The 88,Pop/Rock,2000
1816,835585,Loverboy,Pop/Rock,1980,26367,Skid Row,Pop/Rock,1980
1879,855423,Kate Bush,Pop/Rock,1970,26825,Paula Cole,Pop/Rock,1990
1817,859868,Quiet Riot,Pop/Rock,1970,26367,Skid Row,Pop/Rock,1980
1818,948171,Hanoi Rocks,Pop/Rock,1980,26367,Skid Row,Pop/Rock,1980
1870,123915,Christine McVie,Pop/Rock,1960,26825,Paula Cole,Pop/Rock,1990
1871,137474,Laura Nyro,Pop/Rock,1960,26825,Paula Cole,Pop/Rock,1990
1872,182900,Fleetwood Mac,Pop/Rock,1960,26825,Paula Cole,Pop/Rock,1990
1956,754032,The Beatles,Pop/Rock,1960,28772,The 5th Dimension,Pop/Rock,1960
1941,769444,Bj̦rk,Pop/Rock,1970,28432,Sneaker Pimps,Pop/Rock,1990
1942,831215,Saint Etienne,Pop/Rock,1990,28432,Sneaker Pimps,Pop/Rock,1990
1943,852855,Roxy Music,Pop/Rock,1970,28432,Sneaker Pimps,Pop/Rock,1990
1944,895443,The Human League,Pop/Rock,1970,28432,Sneaker Pimps,Pop/Rock,1990
1947,43714,Bee Gees,Pop/Rock,1960,28772,The 5th Dimension,Pop/Rock,1960
1948,129761,Jimmy Webb,Pop/Rock,1960,28772,The 5th Dimension,Pop/Rock,1960
1949,203639,Johnny Rivers,Pop/Rock,1960,28772,The 5th Dimension,Pop/Rock,1960
1951,330575,Neil Sedaka,Pop/Rock,1950,28772,The 5th Dimension,Pop/Rock,1960
1952,418955,The Shangri-Las,Pop/Rock,1960,28772,The 5th Dimension,Pop/Rock,1960
1954,491220,The Ronettes,Pop/Rock,1950,28772,The 5th Dimension,Pop/Rock,1960
1955,642542,Burt Bacharach,Pop/Rock,1950,28772,The 5th Dimension,Pop/Rock,1960
1873,208303,Jane Siberry,Pop/Rock,1980,26825,Paula Cole,Pop/Rock,1990
1888,180228,Elvis Presley,Pop/Rock,1950,27102,Terry Stafford,Pop/Rock,1960
1661,228323,Death,Pop/Rock,1980,22981,Terrorizer,Pop/Rock,1980
1894,664817,Gloria Estefan,Pop/Rock,1970,27136,Paulina Rubio,Latin,1980
1669,610706,Bread,Pop/Rock,1960,23925,Stephen Bishop,Pop/Rock,1970
1670,754032,The Beatles,Pop/Rock,1960,23925,Stephen Bishop,Pop/Rock,1970
1676,502163,10cc,Pop/Rock,1970,24152,Sherbet,Pop/Rock,1960
1693,66915,Bob Dylan,Pop/Rock,1960,24568,Shirley Collins,Folk,1950
1695,110161,Chicago,Pop/Rock,1960,24944,Amy Grant,Religious,1970
1697,147635,Carly Simon,Pop/Rock,1970,24944,Amy Grant,Religious,1970
1698,174557,Carole King,Pop/Rock,1950,24944,Amy Grant,Religious,1970
1700,213212,Janis Ian,Pop/Rock,1960,24944,Amy Grant,Religious,1970
2293,100160,The Kinks,Pop/Rock,1960,32971,The Beautiful South,Pop/Rock,1980
1702,407986,Melissa Manchester,Pop/Rock,1970,24944,Amy Grant,Religious,1970
1717,105422,Corrosion of Conformity,Pop/Rock,1980,25236,Skindred,Pop/Rock,1990
1703,502163,10cc,Pop/Rock,1970,24944,Amy Grant,Religious,1970
1704,686897,Linda Ronstadt,Pop/Rock,1960,24944,Amy Grant,Religious,1970
1705,696015,Phoebe Snow,Pop/Rock,1970,24944,Amy Grant,Religious,1970
1707,161351,Gov't Mule,Pop/Rock,1990,25142,Tea Leaf Green,Pop/Rock,1990
1708,268871,Hot Tuna,Pop/Rock,1970,25142,Tea Leaf Green,Pop/Rock,1990
1709,333464,Phish,Pop/Rock,1980,25142,Tea Leaf Green,Pop/Rock,1990
1710,758453,Blues Traveler,Pop/Rock,1980,25142,Tea Leaf Green,Pop/Rock,1990
1711,961234,Dave Matthews Band,Pop/Rock,1990,25142,Tea Leaf Green,Pop/Rock,1990
1668,204386,James Taylor,Pop/Rock,1960,23925,Stephen Bishop,Pop/Rock,1970
1667,31685,Paul Simon,Pop/Rock,1950,23925,Stephen Bishop,Pop/Rock,1970
1815,749970,Ted Nugent,Pop/Rock,1950,26367,Skid Row,Pop/Rock,1980
1659,925181,Them,Pop/Rock,1960,22928,Steppenwolf,Pop/Rock,1960
1896,36521,Smashing Pumpkins,Pop/Rock,1980,27221,Sleeping at Last,Pop/Rock,1990
1897,219203,U2,Pop/Rock,1970,27221,Sleeping at Last,Pop/Rock,1990
1898,326249,Radiohead,Pop/Rock,1990,27221,Sleeping at Last,Pop/Rock,1990
1899,583618,Sunny Day Real Estate,Pop/Rock,1990,27221,Sleeping at Last,Pop/Rock,1990
