,influencer_name,follower_name
0,The Beatles,The Action
1,The Rolling Stones,The Action
2,Bon Jovi,Trixter
3,Aerosmith,Trixter
4,Elvis Costello,Smash Mouth
5,Billy Idol,Smash Mouth
6,Green Day,Smash Mouth
7,Madness,Smash Mouth
8,The English Beat,Smash Mouth
9,Elton John,Paula Cole
10,INXS,Smash Mouth
11,Orchestral Manoeuvres in the Dark,Sneaker Pimps
12,Primal Scream,Sneaker Pimps
13,Portishead,Sneaker Pimps
14,Depeche Mode,Sneaker Pimps
15,Suzanne Vega,Paula Cole
16,SinÃ©ad O'Connor,Paula Cole
17,Tori Amos,Paula Cole
18,Peter Gabriel,Paula Cole
19,The Specials,Smash Mouth
20,The Kinks,The 88
21,The Beach Boys,The 5th Dimension
22,Sloan,The 88
23,Loverboy,Skid Row
24,Kate Bush,Paula Cole
25,Quiet Riot,Skid Row
26,Hanoi Rocks,Skid Row
27,Christine McVie,Paula Cole
28,Laura Nyro,Paula Cole
29,Fleetwood Mac,Paula Cole
30,The Beatles,The 5th Dimension
31,BjÃ¶rk,Sneaker Pimps
32,Saint Etienne,Sneaker Pimps
33,Roxy Music,Sneaker Pimps
34,The Human League,Sneaker Pimps
35,Bee Gees,The 5th Dimension
36,Jimmy Webb,The 5th Dimension
37,Johnny Rivers,The 5th Dimension
38,Neil Sedaka,The 5th Dimension
39,The Shangri-Las,The 5th Dimension
40,The Ronettes,The 5th Dimension
41,Burt Bacharach,The 5th Dimension
42,Jane Siberry,Paula Cole
43,Elvis Presley,Terry Stafford
44,Death,Terrorizer
45,Gloria Estefan,Paulina Rubio
46,Bread,Stephen Bishop
47,The Beatles,Stephen Bishop
48,10cc,Sherbet
49,Bob Dylan,Shirley Collins
50,Chicago,Amy Grant
51,Carly Simon,Amy Grant
52,Carole King,Amy Grant
53,Janis Ian,Amy Grant
54,The Kinks,The Beautiful South
55,Melissa Manchester,Amy Grant
56,Corrosion of Conformity,Skindred
57,10cc,Amy Grant
58,Linda Ronstadt,Amy Grant
59,Phoebe Snow,Amy Grant
60,Gov't Mule,Tea Leaf Green
61,Hot Tuna,Tea Leaf Green
62,Phish,Tea Leaf Green
63,Blues Traveler,Tea Leaf Green
64,Dave Matthews Band,Tea Leaf Green
65,James Taylor,Stephen Bishop
66,Paul Simon,Stephen Bishop
67,Ted Nugent,Skid Row
68,Them,Steppenwolf
69,Smashing Pumpkins,Sleeping at Last
70,U2,Sleeping at Last
71,Radiohead,Sleeping at Last
72,Sunny Day Real Estate,Sleeping at Last
73,BjÃ¶rk,Sleeping at Last
74,Bob Dylan,Terry Callier
75,Soundgarden,Shinedown
76,Alice in Chains,Shinedown
77,Lynyrd Skynyrd,Shinedown
78,Madonna,Paulina Rubio
79,Saliva,Shinedown
80,Aerosmith,Shinedown
81,Stone Temple Pilots,Shinedown
82,Creed,Shinedown
83,Everything But the Girl,Sneaker Pimps
84,Gary Numan,Sneaker Pimps
85,John Cale,Andrew Bird
86,Eels,Andrew Bird
87,Elliott Smith,Andrew Bird
88,Joni Mitchell,Amy Grant
89,Jerry Cantrell,Shinedown
90,The Kinks,Cast
91,Van Halen,Skid Row
92,AC/DC,Skid Row
93,Foo Fighters,Audioslave
94,Screaming Trees,Audioslave
95,Pink Floyd,Audioslave
96,Nirvana,Audioslave
97,Sex Pistols,Audioslave
98,Ramones,Audioslave
99,Mudhoney,Audioslave
100,AC/DC,Audioslave
101,The Who,Audioslave
102,Aerosmith,Audioslave
103,Black Sabbath,Audioslave
104,Green River,Audioslave
105,The Stooges,The Sound
106,The Pogues,Steve Earle
107,Neil Young,Steve Earle
108,NRBQ,Steve Earle
109,Cabaret Voltaire,Stereolab
110,John Prine,Terry Allen
111,Gram Parsons,Terry Allen
112,Led Zeppelin,Audioslave
113,The Clash,Audioslave
114,Alice in Chains,Audioslave
115,Morbid Angel,The Black Dahlia Murder
116,Foreigner,Andrew W.K.
117,Madonna,Pebbles
118,The Everly Brothers,The Beach Boys
119,Chuck Berry,The Beach Boys
120,Duane Eddy,The Beach Boys
121,Dion,The Beach Boys
122,The Ronettes,The Beach Boys
123,Buddy Holly,The Beach Boys
124,Slayer,Andrew W.K.
125,Captain Beefheart,Terry Allen
126,Sparks,Andrew W.K.
127,Patti Smith,The Sound
128,Slayer,The Black Dahlia Murder
129,Iron Maiden,The Black Dahlia Murder
130,Megadeth,The Black Dahlia Murder
131,Metallica,The Black Dahlia Murder
132,Anthrax,The Black Dahlia Murder
133,Hatebreed,The Black Dahlia Murder
134,At the Gates,The Black Dahlia Murder
135,Entombed,The Black Dahlia Murder
136,The Velvet Underground,The Sound
137,The Beach Boys,Stereolab
138,The Free Design,Stereolab
139,Chrome,Stereolab
140,David Bowie,Andrew Bird
141,Morphine,Andrew Bird
142,Tom Waits,Andrew Bird
143,Bon Jovi,Skid Row
144,Kiss,Skid Row
145,Cheap Trick,Skid Row
146,Twisted Sister,Skid Row
147,Def Leppard,Skid Row
148,Gene Simmons,Skid Row
149,Grateful Dead,Tea Leaf Green
150,David Lee Roth,Skid Row
151,Saxon,Skid Row
152,Sammy Hagar,Skid Row
153,Bob Dylan,Terry Allen
154,Scorpions,Skid Row
155,Sex Pistols,Skid Row
156,Ozzy Osbourne,Skid Row
157,Ramones,Skid Row
158,MÃ¶tley CrÃ¼e,Skid Row
159,Guns N' Roses,Skid Row
160,Whitesnake,Skid Row
161,Aerosmith,Skid Row
162,The Flying Burrito Brothers,Steve Earle
163,Buddy Holly,Terry Allen
164,Cocteau Twins,Stereolab
165,Serge Gainsbourg,Stereolab
166,FranÃ§oise Hardy,Stereolab
167,The Rockets,Stereolab
168,Yoko Ono,Stereolab
169,Brian Eno,Stereolab
170,Burt Bacharach,Stereolab
171,Doug Sahm,Terry Allen
172,Can,Stereolab
173,Chuck Berry,Terry Allen
174,The Association,Stereolab
175,Silver Apples,Stereolab
176,China Crisis,Stereolab
177,France Gall,Stereolab
178,The Velvet Underground,Stereolab
179,Brigitte Fontaine,Stereolab
180,Swans,Skin Yard
181,Sonic Youth,Skin Yard
182,Black Sabbath,Skin Yard
183,Bob Seger,Paula Cole
184,Sonic Youth,Stereolab
185,Pantera,Skindred
186,Bad Religion,Ten Foot Pole
187,The Clash,Skindred
188,Silver Apples,Simian
189,Mercury Rev,Simian
190,Ride,Simian
191,Rod Stewart,Supergrass
192,Nirvana,Supergrass
193,The Replacements,Supergrass
194,Small Faces,Supergrass
195,The Monkees,Supergrass
196,David Bowie,Supergrass
197,Guided by Voices,Supergrass
198,The Stone Roses,Supergrass
199,The Who,Supergrass
200,The Beatles,Supergrass
201,Blur,Supergrass
202,Mick Jagger,Supergrass
203,The Rolling Stones,Supergrass
204,Bob Dylan,Smog
205,Leonard Cohen,Smog
206,Lou Reed,Smog
207,The United States of America,Simian
208,Ry Cooder,Texas
209,Bob Dylan,Texas
210,Blondie,Texas
211,Dion,Paul Simon
212,The Righteous Brothers,Paul Simon
213,The Beatles,Paul Simon
214,Bee Gees,Andy Gibb
215,The Partridge Family,Andy Gibb
216,Mr. Bungle,Snot
217,Rage Against the Machine,Snot
218,Santana,Smoke City
219,Portishead,Smoke City
220,Joy Division,Smog
221,Joni Mitchell,The Be Good Tanyas
222,Linda Ronstadt,The Be Good Tanyas
223,Gram Parsons,The Be Good Tanyas
224,Robyn,Sophie Ellis-Bextor
225,John Prine,Steve Goodman
226,Boston,Triumph
227,Cream,Triumph
228,The Yardbirds,Triumph
229,Grand Funk Railroad,Triumph
230,Wishbone Ash,Triumph
231,David Bowie,Texas
232,Elvis Presley,Paul Simon
233,R.E.M.,Smog
234,R. Stevie Moore,Smog
235,Frank Black,Superchunk
236,Let's Active,Superchunk
237,Neil Young,Superchunk
238,The Replacements,Superchunk
239,Mission of Burma,Superchunk
240,The Wedding Present,Superchunk
241,HÃ¼sker DÃ¼,Superchunk
242,The Undertones,Superchunk
243,X,Superchunk
244,Bob Dylan,Steve Earle
245,Crazy Horse,Steve Earle
246,The Moody Blues,Supertramp
247,Pink Floyd,Supertramp
248,Procol Harum,Supertramp
249,Genesis,Supertramp
250,Elvis Costello,The Beautiful South
251,Bob Dylan,The Beautiful South
252,The Clash,The Beautiful South
253,Queen,Andrew W.K.
254,Black Flag,Superchunk
255,Gram Parsons,Texas
256,The Clean,Superchunk
257,The Standells,The Archies
258,Daniel Johnston,Smog
259,The Velvet Underground,Smog
260,Sebadoh,Smog
261,Stereolab,Simian
262,The Beach Boys,Simian
263,Orange Juice,Texas
264,Aztec Camera,Texas
265,Cheap Trick,Supergrass
266,The Chills,Superchunk
267,Nick Drake,Smog
268,The Ronettes,Supertramp
269,Manfred Mann,Supertramp
270,Yes,Supertramp
271,The Beatles,Supertramp
272,Todd Rundgren,Supertramp
273,Andy Kim,The Archies
274,The Monkees,The Archies
275,The Ronettes,The Archies
276,Herman's Hermits,The Archies
277,The Beatles,The Archies
278,The Zombies,Supertramp
279,Bad Brains,Skindred
280,Bob Dylan,Paul Simon
281,Uncle Tupelo,The Be Good Tanyas
282,The Pretty Things,Steppenwolf
283,? & the Mysterians,Steppenwolf
284,The Troggs,Steppenwolf
285,The Who,Steppenwolf
286,Kid Rock,Skindred
287,Korn,Skindred
288,Throwing Muses,Sleater-Kinney
289,Sex Pistols,Sleater-Kinney
290,My Bloody Valentine,The Apples in Stereo
291,Dr. John,Terrance Simien
292,PJ Harvey,Sleater-Kinney
293,Blondie,Sleater-Kinney
294,The Fall,Sleater-Kinney
295,Babes in Toyland,Sleater-Kinney
296,The Clash,Sleater-Kinney
297,L7,Sleater-Kinney
298,Courtney Love,Sleater-Kinney
299,Chrissie Hynde,Sleater-Kinney
300,Delta 5,Sleater-Kinney
301,The Yardbirds,Steppenwolf
302,Chuck Berry,Steppenwolf
303,The Kinks,Steppenwolf
304,Crazy Horse,Temple of the Dog
305,The Standells,Steppenwolf
306,The Rolling Stones,Steppenwolf
307,The Beatles,Steppenwolf
308,The Animals,Steppenwolf
309,Linda Ronstadt,Patty Smyth
310,Elton John,Patty Smyth
311,Graham Nash,Patty Griffin
312,Dan Fogelberg,Patty Griffin
313,Don McLean,Patty Griffin
314,Nirvana,Sleater-Kinney
315,Rickie Lee Jones,Patty Griffin
316,Tom Petty,Patty Griffin
317,Bruce Cockburn,Patty Griffin
318,Linda Ronstadt,Patty Griffin
319,The Beatles,Patty Griffin
320,Daniel Lanois,Patty Griffin
321,Dave Matthews Band,Patty Griffin
322,Kreator,Amon Amarth
323,Bathory,Amon Amarth
324,Bolt Thrower,Amon Amarth
325,Bruce Springsteen,Patty Griffin
326,The Everly Brothers,Paul Simon
327,The Raincoats,Sleater-Kinney
328,Ramones,Sleater-Kinney
329,Nirvana,Tricky
330,The Specials,Tricky
331,Tom Waits,Tricky
332,Siouxsie and the Banshees,Tricky
333,Kate Bush,Tricky
334,Falco,Technotronic
335,The Beach Boys,The Apples in Stereo
336,Badfinger,The Apples in Stereo
337,The Kinks,The Apples in Stereo
338,John Lennon,The Apples in Stereo
339,Kaleidoscope,The Apples in Stereo
340,Guided by Voices,The Apples in Stereo
341,The Turtles,The Apples in Stereo
342,The Zombies,The Apples in Stereo
343,XTC,The Apples in Stereo
