,Name,Genre
0,The Beatles,Pop/Rock
1,The Rolling Stones,Pop/Rock
2,Bon Jovi,Pop/Rock
3,Aerosmith,Pop/Rock
4,Elvis Costello,Pop/Rock
5,Billy Idol,Pop/Rock
6,Green Day,Pop/Rock
7,Madness,Pop/Rock
8,The English Beat,Pop/Rock
9,Elton John,Pop/Rock
10,INXS,Pop/Rock
11,Orchestral Manoeuvres in the Dark,Pop/Rock
12,Primal Scream,Pop/Rock
13,Portishead,Pop/Rock
14,Depeche Mode,Pop/Rock
15,Suzanne Vega,Pop/Rock
16,SinÃ©ad O'Connor,Pop/Rock
17,Tori Amos,Pop/Rock
18,Peter Gabriel,Pop/Rock
19,The Specials,Pop/Rock
20,The Kinks,Pop/Rock
21,The Beach Boys,Pop/Rock
22,Sloan,Pop/Rock
23,Loverboy,Pop/Rock
24,Kate Bush,Pop/Rock
25,Quiet Riot,Pop/Rock
26,Hanoi Rocks,Pop/Rock
27,Christine McVie,Pop/Rock
28,Laura Nyro,Pop/Rock
29,Fleetwood Mac,Pop/Rock
30,BjÃ¶rk,Pop/Rock
31,Saint Etienne,Pop/Rock
32,Roxy Music,Pop/Rock
33,The Human League,Pop/Rock
34,Bee Gees,Pop/Rock
35,Jimmy Webb,Pop/Rock
36,Johnny Rivers,Pop/Rock
37,Neil Sedaka,Pop/Rock
38,The Shangri-Las,Pop/Rock
39,The Ronettes,Pop/Rock
40,Burt Bacharach,Pop/Rock
41,Jane Siberry,Pop/Rock
42,Elvis Presley,Pop/Rock
43,Death,Pop/Rock
44,Gloria Estefan,Pop/Rock
45,Bread,Pop/Rock
46,10cc,Pop/Rock
47,Bob Dylan,Pop/Rock
48,Chicago,Pop/Rock
49,Carly Simon,Pop/Rock
50,Carole King,Pop/Rock
51,Janis Ian,Pop/Rock
52,Melissa Manchester,Pop/Rock
53,Corrosion of Conformity,Pop/Rock
54,Linda Ronstadt,Pop/Rock
55,Phoebe Snow,Pop/Rock
56,Gov't Mule,Pop/Rock
57,Hot Tuna,Pop/Rock
58,Phish,Pop/Rock
59,Blues Traveler,Pop/Rock
60,Dave Matthews Band,Pop/Rock
61,James Taylor,Pop/Rock
62,Paul Simon,Pop/Rock
63,Ted Nugent,Pop/Rock
64,Them,Pop/Rock
65,Smashing Pumpkins,Pop/Rock
66,U2,Pop/Rock
67,Radiohead,Pop/Rock
68,Sunny Day Real Estate,Pop/Rock
69,Soundgarden,Pop/Rock
70,Alice in Chains,Pop/Rock
71,Lynyrd Skynyrd,Pop/Rock
72,Madonna,Pop/Rock
73,Saliva,Pop/Rock
74,Stone Temple Pilots,Pop/Rock
75,Creed,Pop/Rock
76,Everything But the Girl,Pop/Rock
77,Gary Numan,Pop/Rock
78,John Cale,Pop/Rock
79,Eels,Pop/Rock
80,Elliott Smith,Pop/Rock
81,Joni Mitchell,Pop/Rock
82,Jerry Cantrell,Pop/Rock
83,Van Halen,Pop/Rock
84,AC/DC,Pop/Rock
85,Foo Fighters,Pop/Rock
86,Screaming Trees,Pop/Rock
87,Pink Floyd,Pop/Rock
88,Nirvana,Pop/Rock
89,Sex Pistols,Pop/Rock
90,Ramones,Pop/Rock
91,Mudhoney,Pop/Rock
92,The Who,Pop/Rock
93,Black Sabbath,Pop/Rock
94,Green River,Pop/Rock
95,The Stooges,Pop/Rock
96,The Pogues,Pop/Rock
97,Neil Young,Pop/Rock
98,NRBQ,Pop/Rock
99,Cabaret Voltaire,Pop/Rock
100,John Prine,Pop/Rock
101,Gram Parsons,Pop/Rock
102,Led Zeppelin,Pop/Rock
103,The Clash,Pop/Rock
104,Morbid Angel,Pop/Rock
105,Foreigner,Pop/Rock
106,The Everly Brothers,Pop/Rock
107,Chuck Berry,Pop/Rock
108,Duane Eddy,Pop/Rock
109,Dion,Pop/Rock
110,Buddy Holly,Pop/Rock
111,Slayer,Pop/Rock
112,Captain Beefheart,Pop/Rock
113,Sparks,Pop/Rock
114,Patti Smith,Pop/Rock
115,Iron Maiden,Pop/Rock
116,Megadeth,Pop/Rock
117,Metallica,Pop/Rock
118,Anthrax,Pop/Rock
119,Hatebreed,Pop/Rock
120,At the Gates,Pop/Rock
121,Entombed,Pop/Rock
122,The Velvet Underground,Pop/Rock
123,The Free Design,Pop/Rock
124,Chrome,Pop/Rock
125,David Bowie,Pop/Rock
126,Morphine,Pop/Rock
127,Tom Waits,Pop/Rock
128,Kiss,Pop/Rock
129,Cheap Trick,Pop/Rock
130,Twisted Sister,Pop/Rock
131,Def Leppard,Pop/Rock
132,Gene Simmons,Pop/Rock
133,Grateful Dead,Pop/Rock
134,David Lee Roth,Pop/Rock
135,Saxon,Pop/Rock
136,Sammy Hagar,Pop/Rock
137,Scorpions,Pop/Rock
138,Ozzy Osbourne,Pop/Rock
139,MÃ¶tley CrÃ¼e,Pop/Rock
140,Guns N' Roses,Pop/Rock
141,Whitesnake,Pop/Rock
142,The Flying Burrito Brothers,Pop/Rock
143,Cocteau Twins,Pop/Rock
144,Serge Gainsbourg,Pop/Rock
145,FranÃ§oise Hardy,Pop/Rock
146,The Rockets,Pop/Rock
147,Yoko Ono,Pop/Rock
148,Brian Eno,Pop/Rock
149,Doug Sahm,Pop/Rock
150,Can,Pop/Rock
151,The Association,Pop/Rock
152,Silver Apples,Pop/Rock
153,China Crisis,Pop/Rock
154,France Gall,Pop/Rock
155,Brigitte Fontaine,Pop/Rock
156,Swans,Pop/Rock
157,Sonic Youth,Pop/Rock
158,Bob Seger,Pop/Rock
159,Pantera,Pop/Rock
160,Bad Religion,Pop/Rock
161,Mercury Rev,Pop/Rock
162,Ride,Pop/Rock
163,Rod Stewart,Pop/Rock
164,The Replacements,Pop/Rock
165,Small Faces,Pop/Rock
166,The Monkees,Pop/Rock
167,Guided by Voices,Pop/Rock
168,The Stone Roses,Pop/Rock
169,Blur,Pop/Rock
170,Mick Jagger,Pop/Rock
171,Leonard Cohen,Pop/Rock
172,Lou Reed,Pop/Rock
173,The United States of America,Pop/Rock
174,Ry Cooder,Pop/Rock
175,Blondie,Pop/Rock
176,The Righteous Brothers,Pop/Rock
177,The Partridge Family,Pop/Rock
178,Mr. Bungle,Pop/Rock
179,Rage Against the Machine,Pop/Rock
180,Santana,Pop/Rock
181,Joy Division,Pop/Rock
182,Robyn,Pop/Rock
183,Boston,Pop/Rock
184,Cream,Pop/Rock
185,The Yardbirds,Pop/Rock
186,Grand Funk Railroad,Pop/Rock
187,Wishbone Ash,Pop/Rock
188,R.E.M.,Pop/Rock
189,R. Stevie Moore,Pop/Rock
190,Frank Black,Pop/Rock
191,Let's Active,Pop/Rock
192,Mission of Burma,Pop/Rock
193,The Wedding Present,Pop/Rock
194,HÃ¼sker DÃ¼,Pop/Rock
195,The Undertones,Pop/Rock
196,X,Pop/Rock
197,Crazy Horse,Pop/Rock
198,The Moody Blues,Pop/Rock
199,Procol Harum,Pop/Rock
