,influencer_id,influencer_name,influencer_main_genre,influencer_active_start,follower_id,follower_name,follower_main_genre,follower_active_start
40598,330634,Jerry Goldsmith,Stage & Screen,1950,961427,Hans Zimmer,Stage & Screen,1970
40595,175087,Elmer Bernstein,Stage & Screen,1950,961427,Hans Zimmer,Stage & Screen,1970
18710,760240,Bernard Herrmann,Stage & Screen,1930,330634,Jerry Goldsmith,Stage & Screen,1950
40596,232480,John Williams,Stage & Screen,1950,961427,Hans Zimmer,Stage & Screen,1970
40597,327765,John Barry,Stage & Screen,1950,961427,Hans Zimmer,Stage & Screen,1970
16536,3595,Andrew Lloyd Webber,Stage & Screen,1960,275335,Josh Groban,Vocal,2000
28651,798662,Ennio Morricone,Stage & Screen,1950,660507,Giorgio Moroder,Pop/Rock,1960
40323,327765,John Barry,Stage & Screen,1950,952786,Goldfrapp,Pop/Rock,1990
18712,818366,Leonard Rosenman,Stage & Screen,1970,330634,Jerry Goldsmith,Stage & Screen,1950
26820,798662,Ennio Morricone,Stage & Screen,1950,600640,Tindersticks,Pop/Rock,1990
9543,333643,Maurice Jarre,Stage & Screen,1950,150530,James Horner,Stage & Screen,1970
23993,798662,Ennio Morricone,Stage & Screen,1950,506513,Mr. Bungle,Pop/Rock,1980
24014,3595,Andrew Lloyd Webber,Stage & Screen,1960,508443,Air Supply,Pop/Rock,1970
16496,314113,Julie Andrews,Stage & Screen,1940,273531,Liza Minnelli,Vocal,1940
19728,3595,Andrew Lloyd Webber,Stage & Screen,1960,356422,Karen Akers,Vocal,1980
295,327765,John Barry,Stage & Screen,1950,5953,Alice Cooper,Pop/Rock,1960
2960,798662,Ennio Morricone,Stage & Screen,1950,41431,Angelo Badalamenti,Stage & Screen,1970
2959,760240,Bernard Herrmann,Stage & Screen,1930,41431,Angelo Badalamenti,Stage & Screen,1970
40599,333643,Maurice Jarre,Stage & Screen,1950,961427,Hans Zimmer,Stage & Screen,1970
14618,798662,Ennio Morricone,Stage & Screen,1950,230667,Zucchero,Pop/Rock,1970
18707,170330,Franz Waxman,Stage & Screen,1930,330634,Jerry Goldsmith,Stage & Screen,1950
9544,416785,Nino Rota,Stage & Screen,1950,150530,James Horner,Stage & Screen,1970
151,304458,Jule Styne,Stage & Screen,1930,3595,Andrew Lloyd Webber,Stage & Screen,1960
1122,798662,Ennio Morricone,Stage & Screen,1950,16574,Alpha,Electronic,1990
