,influencer_id,influencer_name,influencer_main_genre,influencer_active_start,follower_id,follower_name,follower_main_genre,follower_active_start
38659,750519,Terry Riley,Avant-Garde,1960,920101,The United States of America,Pop/Rock,1960
31627,496525,Moondog,Avant-Garde,1950,757335,John Adams,Classical,1960
31628,750519,Terry Riley,Avant-Garde,1960,757335,John Adams,Classical,1960
30672,750519,Terry Riley,Avant-Garde,1960,746731,Spiritualized,Pop/Rock,1990
27950,785773,Laurie Anderson,Avant-Garde,1970,631667,YACHT,Pop/Rock,2000
21507,496525,Moondog,Avant-Garde,1950,414016,Nina Hagen,Pop/Rock,1970
40354,496525,Moondog,Avant-Garde,1950,954592,Man Man,Pop/Rock,2000
6933,496525,Moondog,Avant-Garde,1950,104714,Kraftwerk,Electronic,1970
13383,186927,Harold Budd,Avant-Garde,1960,207290,DeVotchKa,Pop/Rock,1990
6934,750519,Terry Riley,Avant-Garde,1960,104714,Kraftwerk,Electronic,1970
30673,785773,Laurie Anderson,Avant-Garde,1970,746731,Spiritualized,Pop/Rock,1990
27305,496525,Moondog,Avant-Garde,1950,615119,Tom Waits,Pop/Rock,1970
39617,186927,Harold Budd,Avant-Garde,1960,936521,Mychael Danna,Stage & Screen,1980
34995,186927,Harold Budd,Avant-Garde,1960,807294,JÃ³hann JÃ³hannsson,Electronic,1990
34997,750519,Terry Riley,Avant-Garde,1960,807294,JÃ³hann JÃ³hannsson,Electronic,1990
14922,750519,Terry Riley,Avant-Garde,1960,238440,Robert Fripp,Pop/Rock,1960
41238,186927,Harold Budd,Avant-Garde,1960,1098849,Nils Frahm,Avant-Garde,2000
17954,750519,Terry Riley,Avant-Garde,1960,308762,Penguin Cafe Orchestra,New Age,1970
17265,496525,Moondog,Avant-Garde,1950,292915,Robert Wyatt,Pop/Rock,1960
27589,186927,Harold Budd,Avant-Garde,1960,621959,Seefeel,Electronic,1990
31245,750519,Terry Riley,Avant-Garde,1960,753685,Soft Machine,Pop/Rock,1960
2902,186927,Harold Budd,Avant-Garde,1960,40501,Steve Roach,New Age,1970
38053,186927,Harold Budd,Avant-Garde,1960,891575,The Orb,Electronic,1980
36610,750519,Terry Riley,Avant-Garde,1960,842351,Pete Townshend,Pop/Rock,1960
17619,496525,Moondog,Avant-Garde,1950,300024,Prefab Sprout,Pop/Rock,1970
22953,475362,Arthur Russell,Avant-Garde,1970,487038,The Rapture,Electronic,1990
36672,750519,Terry Riley,Avant-Garde,1960,843607,Peter Hammill,Pop/Rock,1960
28559,475362,Arthur Russell,Avant-Garde,1970,657062,Hercules & Love Affair,Electronic,2000
39271,750519,Terry Riley,Avant-Garde,1960,930204,The Art of Noise,Pop/Rock,1980
36669,496525,Moondog,Avant-Garde,1950,843607,Peter Hammill,Pop/Rock,1960
32544,406733,Meredith Monk,Avant-Garde,1960,769444,BjÃ¶rk,Pop/Rock,1970
22330,496525,Moondog,Avant-Garde,1950,475362,Arthur Russell,Avant-Garde,1970
1855,750519,Terry Riley,Avant-Garde,1960,26520,Stereolab,Pop/Rock,1990
22334,750519,Terry Riley,Avant-Garde,1960,475362,Arthur Russell,Avant-Garde,1970
11167,750519,Terry Riley,Avant-Garde,1960,174132,Tuxedomoon,Pop/Rock,1970
42145,475362,Arthur Russell,Avant-Garde,1970,2872922,Mac DeMarco,Pop/Rock,2000
2988,186927,Harold Budd,Avant-Garde,1960,42234,Steven Halpern,New Age,1970
18791,750519,Terry Riley,Avant-Garde,1960,333539,Jim Brickman,New Age,1990
31889,186927,Harold Budd,Avant-Garde,1960,759998,Autechre,Electronic,1990
13433,785773,Laurie Anderson,Avant-Garde,1970,208303,Jane Siberry,Pop/Rock,1980
8240,750519,Terry Riley,Avant-Garde,1960,129308,The Durutti Column,Pop/Rock,1970
6241,785773,Laurie Anderson,Avant-Garde,1970,94792,Imogen Heap,Pop/Rock,1990
31445,496525,Moondog,Avant-Garde,1950,755494,Silver Apples,Pop/Rock,1960
26549,750519,Terry Riley,Avant-Garde,1960,590441,Young Marble Giants,Pop/Rock,1980
24376,750519,Terry Riley,Avant-Garde,1960,521704,Yoko Ono,Pop/Rock,1960
28649,750519,Terry Riley,Avant-Garde,1960,660507,Giorgio Moroder,Pop/Rock,1960
27374,750519,Terry Riley,Avant-Garde,1960,617196,Brian Eno,Pop/Rock,1970
32132,496525,Moondog,Avant-Garde,1950,763301,The Fugs,Pop/Rock,1960
116,750519,Terry Riley,Avant-Garde,1960,2411,Tangerine Dream,Electronic,1960
20696,750519,Terry Riley,Avant-Garde,1960,387815,Neu!,Electronic,1970
40228,750519,Terry Riley,Avant-Garde,1960,949619,Gong,Pop/Rock,1960
36857,496525,Moondog,Avant-Garde,1950,849672,Philip Glass,Classical,1960
33126,475362,Arthur Russell,Avant-Garde,1970,780005,LCD Soundsystem,Pop/Rock,2000
23456,186927,Harold Budd,Avant-Garde,1960,493848,Aphex Twin,Electronic,1990
14351,750519,Terry Riley,Avant-Garde,1960,224638,John Cale,Pop/Rock,1960
814,186927,Harold Budd,Avant-Garde,1960,13101,Patrick O'Hearn,New Age,1980
8006,475362,Arthur Russell,Avant-Garde,1970,126731,The Disco Biscuits,Pop/Rock,1990
9403,750519,Terry Riley,Avant-Garde,1960,147638,Edgar Froese,Electronic,1960
7630,475362,Arthur Russell,Avant-Garde,1970,118798,Chromatics,Pop/Rock,2000
14349,496525,Moondog,Avant-Garde,1950,224638,John Cale,Pop/Rock,1960
12191,750519,Terry Riley,Avant-Garde,1960,186927,Harold Budd,Avant-Garde,1960
12189,496525,Moondog,Avant-Garde,1950,186927,Harold Budd,Avant-Garde,1960
10036,467749,Peggy Lee,Avant-Garde,1990,159214,Dusty Springfield,Pop/Rock,1950
33424,750519,Terry Riley,Avant-Garde,1960,784811,Joanna Newsom,Pop/Rock,2000
35037,475362,Arthur Russell,Avant-Garde,1970,807949,Underworld,Electronic,1980
41266,496525,Moondog,Avant-Garde,1950,1352264,Louis and Bebe Barron,Classical,1950
33518,750519,Terry Riley,Avant-Garde,1960,785773,Laurie Anderson,Avant-Garde,1970
33514,406733,Meredith Monk,Avant-Garde,1960,785773,Laurie Anderson,Avant-Garde,1970
11491,750519,Terry Riley,Avant-Garde,1960,177588,Jon Hassell,New Age,1970
8232,186927,Harold Budd,Avant-Garde,1960,129308,The Durutti Column,Pop/Rock,1970
23464,750519,Terry Riley,Avant-Garde,1960,493848,Aphex Twin,Electronic,1990
20297,406733,Meredith Monk,Avant-Garde,1960,377581,Mary Margaret O'Hara,Pop/Rock,1980
32824,750519,Terry Riley,Avant-Garde,1960,775212,Kronos Quartet,Classical,1970
4883,750519,Terry Riley,Avant-Garde,1960,74853,The KLF,Electronic,1980
40802,750519,Terry Riley,Avant-Garde,1960,988471,Enya,New Age,1980
41835,3214680,Boyzone,Avant-Garde,2000,2517606,Olly Murs,Pop/Rock,2000
31387,785773,Laurie Anderson,Avant-Garde,1970,754251,Suzanne Vega,Pop/Rock,1980
29696,750519,Terry Riley,Avant-Garde,1960,683750,Yellow Magic Orchestra,Electronic,1970
21671,496525,Moondog,Avant-Garde,1950,420539,The Residents,Pop/Rock,1970
