,influencer_id,influencer_name,influencer_main_genre,influencer_active_start,follower_id,follower_name,follower_main_genre,follower_active_start
21494,815039,John Lee Hooker,Blues,1940,413683,Otis Taylor,Blues,1970
36070,59156,B.B. King,Blues,1940,830425,Robert Cray,Blues,1970
21495,825208,Lightnin' Hopkins,Blues,1930,413683,Otis Taylor,Blues,1970
21496,942529,Buddy Guy,Blues,1950,413683,Otis Taylor,Blues,1970
20276,191429,Magic Sam,Blues,1950,376739,Koko Taylor,Blues,1960
20275,176936,Elmore James,Blues,1930,376739,Koko Taylor,Blues,1960
20274,59156,B.B. King,Blues,1940,376739,Koko Taylor,Blues,1960
35887,898331,Mississippi Fred McDowell,Blues,1950,825208,Lightnin' Hopkins,Blues,1930
20365,76881,Jimmy Reed,Blues,1940,379125,Neil Young,Pop/Rock,1960
36048,654490,Guitar Slim,Blues,1950,830028,"Huey ""Piano"" Smith",R&B;,1950
20271,806542,Etta James,Blues,1950,376608,The Marvelettes,R&B;,1960
1517,337631,Rory Gallagher,Blues,1960,21009,Slash,Pop/Rock,1980
16463,819894,Johnny Otis,Blues,1940,271029,Esther Phillips,R&B;,1940
11555,135378,James Booker,Blues,1950,178536,Edgar Winter,Pop/Rock,1970
11556,276085,Howlin' Wolf,Blues,1930,178536,Edgar Winter,Pop/Rock,1970
21522,242473,Johnny Adams,Blues,1950,414251,Otis Redding,R&B;,1960
11558,825208,Lightnin' Hopkins,Blues,1930,178536,Edgar Winter,Pop/Rock,1970
27750,959770,Willie Dixon,Blues,1940,625739,Stevie Ray Vaughan,Pop/Rock,1970
11560,337631,Rory Gallagher,Blues,1960,178549,The Edge,Pop/Rock,1970
21493,806542,Etta James,Blues,1950,413683,Otis Taylor,Blues,1970
21492,753094,Son House,Blues,1930,413683,Otis Taylor,Blues,1970
26040,617844,Albert King,Blues,1950,578744,William Bell,R&B;,1950
35696,3829,T-Bone Walker,Blues,1930,819894,Johnny Otis,Blues,1940
35842,762288,Big Mama Thornton,Blues,1940,824022,Little Richard,Pop/Rock,1950
20282,959770,Willie Dixon,Blues,1940,376739,Koko Taylor,Blues,1960
35701,59156,B.B. King,Blues,1940,819983,Johnny Winter,Blues,1960
38909,608701,Muddy Waters,Blues,1940,923618,The Standells,Pop/Rock,1960
35843,819894,Johnny Otis,Blues,1940,824022,Little Richard,Pop/Rock,1950
35844,825208,Lightnin' Hopkins,Blues,1930,824022,Little Richard,Pop/Rock,1950
20279,762288,Big Mama Thornton,Blues,1940,376739,Koko Taylor,Blues,1960
32031,486305,Junior Parker,Blues,1950,762288,Big Mama Thornton,Blues,1940
20278,608701,Muddy Waters,Blues,1940,376739,Koko Taylor,Blues,1960
35699,3829,T-Bone Walker,Blues,1930,819983,Johnny Winter,Blues,1960
35849,64817,Big Walter Horton,Blues,1930,824599,Little Walter,Blues,1940
11660,76881,Jimmy Reed,Blues,1940,179730,Charlie Rich,Country,1950
35850,1006782,Sonny Boy Williamson I,Blues,1930,824599,Little Walter,Blues,1940
16297,76881,Jimmy Reed,Blues,1940,265456,Dion,Pop/Rock,1950
16295,898331,Mississippi Fred McDowell,Blues,1950,265440,Jorma Kaukonen,Pop/Rock,1960
16294,753094,Son House,Blues,1930,265440,Jorma Kaukonen,Pop/Rock,1960
21524,806542,Etta James,Blues,1950,414251,Otis Redding,R&B;,1960
21487,129547,"Clarence ""Gatemouth"" Brown",Blues,1940,413683,Otis Taylor,Blues,1970
20277,276085,Howlin' Wolf,Blues,1930,376739,Koko Taylor,Blues,1960
21490,527379,Bukka White,Blues,1930,413683,Otis Taylor,Blues,1970
21491,608701,Muddy Waters,Blues,1940,413683,Otis Taylor,Blues,1970
27958,76881,Jimmy Reed,Blues,1940,631774,The Byrds,Pop/Rock,1960
24312,959770,Willie Dixon,Blues,1940,520215,Cactus,Pop/Rock,1970
25903,28166,Slim Harpo,Blues,1950,575051,Herman's Hermits,Pop/Rock,1960
36049,748773,Amos Milburn,Blues,1940,830028,"Huey ""Piano"" Smith",R&B;,1950
21515,81194,"Bobby ""Blue"" Bland",Blues,1950,414251,Otis Redding,R&B;,1960
27737,617844,Albert King,Blues,1950,625739,Stevie Ray Vaughan,Pop/Rock,1970
3936,959770,Willie Dixon,Blues,1940,58372,Faces,Pop/Rock,1960
21518,138837,Joe Liggins,Blues,1940,414251,Otis Redding,R&B;,1960
27736,611102,Albert Collins,Blues,1950,625739,Stevie Ray Vaughan,Pop/Rock,1970
11629,59156,B.B. King,Blues,1940,179335,Flaco Jim̩nez,Latin,1950
21521,239638,Johnny Jenkins,Blues,1950,414251,Otis Redding,R&B;,1960
3948,76881,Jimmy Reed,Blues,1940,58438,Betty Davis,R&B;,1960
32414,59156,B.B. King,Blues,1940,767068,Keith Richards,Pop/Rock,1960
3964,115733,J.B. Lenoir,Blues,1950,58549,Elvis Costello,Pop/Rock,1970
32415,76881,Jimmy Reed,Blues,1940,767068,Keith Richards,Pop/Rock,1960
3954,608701,Muddy Waters,Blues,1940,58438,Betty Davis,R&B;,1960
32417,176936,Elmore James,Blues,1930,767068,Keith Richards,Pop/Rock,1960
32419,276085,Howlin' Wolf,Blues,1930,767068,Keith Richards,Pop/Rock,1960
36036,584695,Willie Johnson,Blues,1940,829643,Hubert Sumlin,Blues,1950
3956,815039,John Lee Hooker,Blues,1940,58438,Betty Davis,R&B;,1960
36045,197040,Champion Jack Dupree,Blues,1940,830028,"Huey ""Piano"" Smith",R&B;,1950
32423,608701,Muddy Waters,Blues,1940,767068,Keith Richards,Pop/Rock,1960
36046,369270,Professor Longhair,Blues,1930,830028,"Huey ""Piano"" Smith",R&B;,1950
32425,654490,Guitar Slim,Blues,1950,767068,Keith Richards,Pop/Rock,1960
36035,276085,Howlin' Wolf,Blues,1930,829643,Hubert Sumlin,Blues,1950
25905,76881,Jimmy Reed,Blues,1940,575051,Herman's Hermits,Pop/Rock,1960
27738,654490,Guitar Slim,Blues,1950,625739,Stevie Ray Vaughan,Pop/Rock,1970
3931,608701,Muddy Waters,Blues,1940,58372,Faces,Pop/Rock,1960
36069,32807,Son Seals,Blues,1960,830425,Robert Cray,Blues,1970
25902,959770,Willie Dixon,Blues,1940,574772,AC/DC,Pop/Rock,1970
27749,942529,Buddy Guy,Blues,1950,625739,Stevie Ray Vaughan,Pop/Rock,1970
7188,617844,Albert King,Blues,1950,109263,Chris Duarte,Pop/Rock,1990
27748,894956,Otis Rush,Blues,1950,625739,Stevie Ray Vaughan,Pop/Rock,1970
7187,611102,Albert Collins,Blues,1950,109263,Chris Duarte,Pop/Rock,1990
35840,748773,Amos Milburn,Blues,1940,824022,Little Richard,Pop/Rock,1950
7185,44994,Sonny Landreth,Blues,1970,109263,Chris Duarte,Pop/Rock,1990
7505,825208,Lightnin' Hopkins,Blues,1930,117490,Chris Smither,Pop/Rock,1970
3933,827367,Long John Baldry,Blues,1950,58372,Faces,Pop/Rock,1960
36068,3829,T-Bone Walker,Blues,1930,830425,Robert Cray,Blues,1970
31909,825208,Lightnin' Hopkins,Blues,1930,760154,Blind Faith,Pop/Rock,1960
24306,276085,Howlin' Wolf,Blues,1930,520215,Cactus,Pop/Rock,1970
27734,274822,Lonnie Mack,Blues,1950,625739,Stevie Ray Vaughan,Pop/Rock,1970
3926,238495,John Mayall,Blues,1950,58372,Faces,Pop/Rock,1960
31904,276085,Howlin' Wolf,Blues,1930,760154,Blind Faith,Pop/Rock,1960
31903,186734,Freddie King,Blues,1950,760154,Blind Faith,Pop/Rock,1960
27745,829643,Hubert Sumlin,Blues,1950,625739,Stevie Ray Vaughan,Pop/Rock,1970
3927,276085,Howlin' Wolf,Blues,1930,58372,Faces,Pop/Rock,1960
27743,819983,Johnny Winter,Blues,1960,625739,Stevie Ray Vaughan,Pop/Rock,1970
31911,942529,Buddy Guy,Blues,1950,760154,Blind Faith,Pop/Rock,1960
16387,898331,Mississippi Fred McDowell,Blues,1950,268871,Hot Tuna,Pop/Rock,1970
11449,376739,Koko Taylor,Blues,1960,177060,Janis Joplin,Pop/Rock,1960
35831,815039,John Lee Hooker,Blues,1940,823165,Levon Helm,Pop/Rock,1950
35739,76881,Jimmy Reed,Blues,1940,820232,Dick Dale,Pop/Rock,1950
7392,617844,Albert King,Blues,1950,113082,Colin James,Pop/Rock,1980
7389,341137,Roy Buchanan,Blues,1950,113082,Colin James,Pop/Rock,1980
11325,176936,Elmore James,Blues,1930,175708,Ry Cooder,Pop/Rock,1960
1690,825208,Lightnin' Hopkins,Blues,1930,24329,Amon Tobin,Electronic,1990
11327,204714,Johnny Shines,Blues,1930,175708,Ry Cooder,Pop/Rock,1960
11328,276085,Howlin' Wolf,Blues,1930,175708,Ry Cooder,Pop/Rock,1960
7434,959770,Willie Dixon,Blues,1940,114342,The Doors,Pop/Rock,1960
11333,753094,Son House,Blues,1930,175708,Ry Cooder,Pop/Rock,1960
11339,898331,Mississippi Fred McDowell,Blues,1950,175708,Ry Cooder,Pop/Rock,1960
35744,608701,Muddy Waters,Blues,1940,820232,Dick Dale,Pop/Rock,1950
7386,59156,B.B. King,Blues,1940,113082,Colin James,Pop/Rock,1980
7385,44994,Sonny Landreth,Blues,1970,113082,Colin James,Pop/Rock,1980
25992,76881,Jimmy Reed,Blues,1940,577627,The Who,Pop/Rock,1960
35748,829643,Hubert Sumlin,Blues,1950,820232,Dick Dale,Pop/Rock,1950
25989,28166,Slim Harpo,Blues,1950,577627,The Who,Pop/Rock,1960
25981,527379,Bukka White,Blues,1930,577235,The Staple Singers,R&B;,1940
25977,115733,J.B. Lenoir,Blues,1950,577235,The Staple Singers,R&B;,1940
7435,276085,Howlin' Wolf,Blues,1930,115079,Joe Hill Louis,Blues,1940
7359,959770,Willie Dixon,Blues,1940,112462,Cream,Pop/Rock,1960
7358,942529,Buddy Guy,Blues,1950,112462,Cream,Pop/Rock,1960
1647,276085,Howlin' Wolf,Blues,1930,22928,Steppenwolf,Pop/Rock,1960
3803,825208,Lightnin' Hopkins,Blues,1930,52900,The Lovin' Spoonful,Folk,1960
27821,608701,Muddy Waters,Blues,1940,627026,Amy Winehouse,R&B;,2000
3802,815039,John Lee Hooker,Blues,1940,52900,The Lovin' Spoonful,Folk,1960
35715,815039,John Lee Hooker,Blues,1940,819983,Johnny Winter,Blues,1960
35716,824599,Little Walter,Blues,1940,819983,Johnny Winter,Blues,1960
35717,825208,Lightnin' Hopkins,Blues,1930,819983,Johnny Winter,Blues,1960
7430,815039,John Lee Hooker,Blues,1940,114342,The Doors,Pop/Rock,1960
7429,608701,Muddy Waters,Blues,1940,114342,The Doors,Pop/Rock,1960
35718,829643,Hubert Sumlin,Blues,1950,819983,Johnny Winter,Blues,1960
7427,276085,Howlin' Wolf,Blues,1930,114342,The Doors,Pop/Rock,1960
35719,894956,Otis Rush,Blues,1950,819983,Johnny Winter,Blues,1960
35720,942529,Buddy Guy,Blues,1950,819983,Johnny Winter,Blues,1960
27823,806542,Etta James,Blues,1950,627026,Amy Winehouse,R&B;,2000
7357,894956,Otis Rush,Blues,1950,112462,Cream,Pop/Rock,1960
1675,608701,Muddy Waters,Blues,1940,24139,Paul Rodgers,Pop/Rock,1960
16386,825208,Lightnin' Hopkins,Blues,1930,268871,Hot Tuna,Pop/Rock,1970
35721,959770,Willie Dixon,Blues,1940,819983,Johnny Winter,Blues,1960
16380,49806,Blind Boy Fuller,Blues,1930,268871,Hot Tuna,Pop/Rock,1970
16379,942529,Buddy Guy,Blues,1950,268700,Jonny Lang,Pop/Rock,1990
16377,830425,Robert Cray,Blues,1970,268700,Jonny Lang,Pop/Rock,1990
16376,819983,Johnny Winter,Blues,1960,268700,Jonny Lang,Pop/Rock,1990
16375,815236,Delbert McClinton,Blues,1970,268700,Jonny Lang,Pop/Rock,1990
1654,608701,Muddy Waters,Blues,1940,22928,Steppenwolf,Pop/Rock,1960
11321,49806,Blind Boy Fuller,Blues,1930,175708,Ry Cooder,Pop/Rock,1960
7395,815039,John Lee Hooker,Blues,1940,113082,Colin James,Pop/Rock,1980
1674,276085,Howlin' Wolf,Blues,1930,24139,Paul Rodgers,Pop/Rock,1960
11454,806542,Etta James,Blues,1950,177060,Janis Joplin,Pop/Rock,1960
7355,617844,Albert King,Blues,1950,112462,Cream,Pop/Rock,1960
35713,611102,Albert Collins,Blues,1950,819983,Johnny Winter,Blues,1960
7326,819983,Johnny Winter,Blues,1960,111963,Chris Whitley,Pop/Rock,1980
7325,815039,John Lee Hooker,Blues,1940,111963,Chris Whitley,Pop/Rock,1980
35709,242511,"Johnny ""Guitar"" Watson",Blues,1950,819983,Johnny Winter,Blues,1960
7324,608701,Muddy Waters,Blues,1940,111963,Chris Whitley,Pop/Rock,1980
35708,191429,Magic Sam,Blues,1950,819983,Johnny Winter,Blues,1960
7322,276085,Howlin' Wolf,Blues,1930,111963,Chris Whitley,Pop/Rock,1980
11439,3829,T-Bone Walker,Blues,1930,176936,Elmore James,Blues,1930
35707,186734,Freddie King,Blues,1950,819983,Johnny Winter,Blues,1960
35706,176936,Elmore James,Blues,1930,819983,Johnny Winter,Blues,1960
11440,204714,Johnny Shines,Blues,1930,176936,Elmore James,Blues,1930
11441,527379,Bukka White,Blues,1930,176936,Elmore James,Blues,1930
11442,753094,Son House,Blues,1930,176936,Elmore James,Blues,1930
39000,608701,Muddy Waters,Blues,1940,925181,Them,Pop/Rock,1960
35705,169856,Luther Allison,Blues,1960,819983,Johnny Winter,Blues,1960
35704,115733,J.B. Lenoir,Blues,1950,819983,Johnny Winter,Blues,1960
35703,81194,"Bobby ""Blue"" Bland",Blues,1950,819983,Johnny Winter,Blues,1960
38998,276085,Howlin' Wolf,Blues,1930,925181,Them,Pop/Rock,1960
35702,76881,Jimmy Reed,Blues,1940,819983,Johnny Winter,Blues,1960
38997,76881,Jimmy Reed,Blues,1940,925181,Them,Pop/Rock,1960
11451,762288,Big Mama Thornton,Blues,1940,177060,Janis Joplin,Pop/Rock,1960
38992,28166,Slim Harpo,Blues,1950,925181,Them,Pop/Rock,1960
16333,815039,John Lee Hooker,Blues,1940,266255,Jonathan Richman,Pop/Rock,1970
39003,815039,John Lee Hooker,Blues,1940,925181,Them,Pop/Rock,1960
39005,959770,Willie Dixon,Blues,1940,925181,Them,Pop/Rock,1960
32143,276085,Howlin' Wolf,Blues,1930,763601,The Gories,Pop/Rock,1980
7354,608701,Muddy Waters,Blues,1940,112462,Cream,Pop/Rock,1960
7352,276085,Howlin' Wolf,Blues,1930,112462,Cream,Pop/Rock,1960
7351,238495,John Mayall,Blues,1950,112462,Cream,Pop/Rock,1960
7350,186734,Freddie King,Blues,1950,112462,Cream,Pop/Rock,1960
3837,76881,Jimmy Reed,Blues,1940,55128,Bo Diddley,Pop/Rock,1940
35712,608701,Muddy Waters,Blues,1940,819983,Johnny Winter,Blues,1960
3838,176936,Elmore James,Blues,1930,55128,Bo Diddley,Pop/Rock,1940
32151,276085,Howlin' Wolf,Blues,1930,763611,The Godz,Pop/Rock,1960
3839,276085,Howlin' Wolf,Blues,1930,55128,Bo Diddley,Pop/Rock,1940
7348,59156,B.B. King,Blues,1940,112462,Cream,Pop/Rock,1960
35714,654490,Guitar Slim,Blues,1950,819983,Johnny Winter,Blues,1960
35710,276085,Howlin' Wolf,Blues,1930,819983,Johnny Winter,Blues,1960
16363,44994,Sonny Landreth,Blues,1970,268700,Jonny Lang,Pop/Rock,1990
32147,815039,John Lee Hooker,Blues,1940,763601,The Gories,Pop/Rock,1980
21404,762288,Big Mama Thornton,Blues,1940,409670,Melanie,Pop/Rock,1960
7347,28166,Slim Harpo,Blues,1950,112462,Cream,Pop/Rock,1960
7444,825208,Lightnin' Hopkins,Blues,1930,115733,J.B. Lenoir,Blues,1950
3844,769616,Jimmy Rogers,Blues,1950,55128,Bo Diddley,Pop/Rock,1940
36072,169856,Luther Allison,Blues,1960,830425,Robert Cray,Blues,1970
3845,815039,John Lee Hooker,Blues,1940,55128,Bo Diddley,Pop/Rock,1940
3846,942529,Buddy Guy,Blues,1950,55128,Bo Diddley,Pop/Rock,1940
3847,959770,Willie Dixon,Blues,1940,55128,Bo Diddley,Pop/Rock,1940
3842,608701,Muddy Waters,Blues,1940,55128,Bo Diddley,Pop/Rock,1940
36073,186734,Freddie King,Blues,1950,830425,Robert Cray,Blues,1970
31812,942529,Buddy Guy,Blues,1950,758943,Big Brother & the Holding Company,Pop/Rock,1960
36078,242473,Johnny Adams,Blues,1950,830425,Robert Cray,Blues,1970
12227,276085,Howlin' Wolf,Blues,1930,187478,Eric Clapton,Pop/Rock,1960
12228,486775,Otis Spann,Blues,1950,187478,Eric Clapton,Pop/Rock,1960
12229,608701,Muddy Waters,Blues,1940,187478,Eric Clapton,Pop/Rock,1960
12230,611102,Albert Collins,Blues,1950,187478,Eric Clapton,Pop/Rock,1960
12231,617844,Albert King,Blues,1950,187478,Eric Clapton,Pop/Rock,1960
12233,769616,Jimmy Rogers,Blues,1950,187478,Eric Clapton,Pop/Rock,1960
12234,815039,John Lee Hooker,Blues,1940,187478,Eric Clapton,Pop/Rock,1960
12235,819894,Johnny Otis,Blues,1940,187478,Eric Clapton,Pop/Rock,1960
12236,894956,Otis Rush,Blues,1950,187478,Eric Clapton,Pop/Rock,1960
12237,942529,Buddy Guy,Blues,1950,187478,Eric Clapton,Pop/Rock,1960
12238,959770,Willie Dixon,Blues,1940,187478,Eric Clapton,Pop/Rock,1960
21683,959770,Willie Dixon,Blues,1940,420539,The Residents,Pop/Rock,1970
36466,276085,Howlin' Wolf,Blues,1930,838524,Savoy Brown,Pop/Rock,1960
12273,76881,Jimmy Reed,Blues,1940,188261,Eric Johnson,Pop/Rock,1960
36468,608701,Muddy Waters,Blues,1940,838524,Savoy Brown,Pop/Rock,1960
12276,176936,Elmore James,Blues,1930,188261,Eric Johnson,Pop/Rock,1960
18735,748773,Amos Milburn,Blues,1940,332141,Jerry Lee Lewis,Pop/Rock,1950
1124,608701,Muddy Waters,Blues,1940,16835,The Paul Butterfield Blues Band,Blues,1960
1123,131841,James Cotton,Blues,1950,16835,The Paul Butterfield Blues Band,Blues,1960
12284,819983,Johnny Winter,Blues,1960,188261,Eric Johnson,Pop/Rock,1960
36471,942529,Buddy Guy,Blues,1950,838524,Savoy Brown,Pop/Rock,1960
41571,312062,Marvin Sease,Blues,1960,2059306,Sir Charles Jones,R&B;,2000
38751,819983,Johnny Winter,Blues,1960,921710,The White Stripes,Pop/Rock,1990
38748,753094,Son House,Blues,1930,921710,The White Stripes,Pop/Rock,1990
12270,3829,T-Bone Walker,Blues,1930,188261,Eric Johnson,Pop/Rock,1960
12226,238495,John Mayall,Blues,1950,187478,Eric Clapton,Pop/Rock,1960
36465,238495,John Mayall,Blues,1950,838524,Savoy Brown,Pop/Rock,1960
12224,186734,Freddie King,Blues,1950,187478,Eric Clapton,Pop/Rock,1960
31493,370703,Keb' Mo',Blues,1980,755918,The Black Keys,Pop/Rock,2000
31491,306446,Junior Kimbrough,Blues,1950,755918,The Black Keys,Pop/Rock,2000
31489,239638,Johnny Jenkins,Blues,1950,755918,The Black Keys,Pop/Rock,2000
