influencer_name,follower_name
Louis Jordan,Roy Brown
Quincy Jones,MFSB
Donald Byrd,MFSB
Nat King Cole,Roy Brown
Cab Calloway,Roy Brown
Ornette Coleman,Philip Glass
B̩la Fleck,Dave Matthews
Herbie Hancock,UNKLE
Bud Powell,Marcus Roberts
Thelonious Monk,Marcus Roberts
Erroll Garner,Marcus Roberts
Marian McPartland,Marcus Roberts
Herbie Hancock,Marcus Roberts
Raymond Scott,Philip Glass
Sun Ra,Yo La Tengo
Chuck Rainey,Marcus Miller
Rahsaan Roland Kirk,Jethro Tull
Clifford Brown,Woody Shaw
Weather Report,Living Colour
Joe Pass,Larry Carlton
Eric Dolphy,John Handy
Percy Heath,Charlie Haden
Wilbur Ware,Charlie Haden
Joe Lovano,Charlie Haden
Stanley Clarke,Living Colour
Thelonious Monk,Bobby Hutcherson
Kenny Burrell,Peter Frampton
Milt Jackson,Bobby Hutcherson
Ornette Coleman,Bobby Hutcherson
Miles Davis,Bobby Hutcherson
Dexter Gordon,Bobby Hutcherson
Stan Getz,The Free Design
John Coltrane,Bobby Hutcherson
Miles Davis,Chicago
Stan Kenton,Chicago
Rahsaan Roland Kirk,Bob Moses
Paul Bley,Charlie Haden
Kenny Dorham,Woody Shaw
Cannonball Adderley,John Handy
Erroll Garner,Ramsey Lewis
Jimmy Smith,"Richard ""Groove"" Holmes"
"Grover Washington, Jr.",Kenny G
Louis Jordan,King Tubby
Hugh Masekela,Poncho Sanchez
Freddie Hubbard,Poncho Sanchez
Stanley Clarke,Primus
Narada Michael Walden,Kenny G
Charlie Parker,Wardell Gray
Ron Carter,Marcus Miller
Tal Farlow,Chet Atkins
Bud Powell,Ramsey Lewis
Oscar Peterson,Ramsey Lewis
John Lewis,Ramsey Lewis
Bud Powell,Ray Brown
Les McCann,Ramsey Lewis
St̩phane Grappelli,Ray Brown
Scott LaFaro,Charlie Haden
Ahmad Jamal,Ramsey Lewis
Jimmy Smith,John Mayall
Tom Scott,Kenny G
Stan Getz,Kenny G
Hank Crawford,Kenny G
Ron Carter,"Richard ""Groove"" Holmes"
Miles Davis,UNKLE
Lester Young,Wardell Gray
The Jazz Crusaders,Poncho Sanchez
Ahmad Jamal,Marcus Roberts
Erroll Garner,Bob James
Vince Guaraldi,Bob James
Ahmad Jamal,Bob James
Jaco Pastorius,Marcus Miller
John Scofield,Kaki King
Sonny Rollins,Jimmy Giuffre
Stanley Jordan,Kaki King
Jeff Lorber,Kenny G
John Klemmer,Kenny G
George Benson,Kenny G
Cal Tjader,Poncho Sanchez
Lee Ritenour,Kenny G
George Duke,Kenny G
Bill Frisell,Kaki King
George Benson,Peter Frampton
Thelonious Monk,Jamie Cullum
Ray Brown,Charlie Haden
Illinois Jacquet,The J.B.'s
Hank Jones,McCoy Tyner
Dave Koz,Jamie Cullum
Erskine Hawkins,Charlie Parker
Erskine Hawkins,Sun Ra
John Lewis,McCoy Tyner
Gerry Mulligan,Sun Ra
Louis Jordan,Hank Crawford
Bud Powell,Tommy Flanagan
Erroll Garner,Tommy Flanagan
Charlie Parker,Hank Crawford
Sonny Stitt,Hank Crawford
Oscar Peterson,McCoy Tyner
Dizzy Gillespie,Jackie Wilson
Louis Jordan,Jackie Wilson
Les Brown,Brian Setzer
Louis Jordan,Brian Setzer
"Grover Washington, Jr.",Wayman Tisdale
Thelonious Monk,McCoy Tyner
Weather Report,Return to Forever
Stanley Clarke,Wayman Tisdale
Stan Kenton,The Four Freshmen
Dizzy Gillespie,The J.B.'s
Nat King Cole,The Five Keys
