influencer_name,follower_name
Funkadelic,Soundgarden
Ohio Players,Soundgarden
TLC,Total
En Vogue,Total
Janet Jackson,Total
Mariah Carey,Total
R. Kelly,Total
Mary J. Blige,Total
Chaka Khan,Total
Whitney Houston,Total
Joe,Tank
R. Kelly,Tank
Screamin' Jay Hawkins,Southern Culture on the Skids
Janet Jackson,Selena
Donna Summer,Selena
Syreeta,Alicia Keys
TLC,Alicia Keys
Natalie Cole,Alicia Keys
Isaac Hayes,Alicia Keys
D'Angelo,Alicia Keys
Faith Evans,Alicia Keys
Dionne Warwick,Alicia Keys
Erykah Badu,Alicia Keys
Janet Jackson,Alicia Keys
Sade,Alicia Keys
Roberta Flack,Alicia Keys
Marvin Gaye,Alicia Keys
Prince,Alicia Keys
Mary J. Blige,Alicia Keys
The Sweet Inspirations,Alicia Keys
Brenda Russell,Alicia Keys
Stevie Wonder,Alicia Keys
Maxwell,Alicia Keys
Aretha Franklin,Alicia Keys
Allen Toussaint,Alicia Keys
Screamin' Jay Hawkins,Alice Cooper
Stephanie Mills,Alicia Myers
Deniece Williams,Alicia Myers
The Jones Girls,Alicia Myers
Ray Charles,Ali Farka TourÃ©
Smokey Robinson,Brian May
The Five Satins,The Delfonics
The Five Keys,The Delfonics
The Impressions,The Delfonics
The Drifters,The Delfonics
Curtis Mayfield,The Delfonics
The Dells,The Delfonics
Gene Chandler,The Delfonics
Marvin Gaye,The Delfonics
Jerry Butler,The Delfonics
Brook Benton,The Delfonics
The Platters,The Delfonics
Pebbles,TLC
Betty Wright,TLC
Klymaxx,TLC
Labelle,TLC
Janet Jackson,TLC
Prince,TLC
The Supremes,TLC
Minnie Riperton,TLC
Atlantic Starr,TLC
The Tams,TLC
The Three Degrees,TLC
Diana Ross,TLC
Donna Summer,TLC
Gloria Gaynor,TLC
Sister Sledge,TLC
Chaka Khan,TLC
New Edition,TLC
The Pointer Sisters,TLC
Chubby Checker,The Trashmen
The Rivingtons,The Trashmen
Tower of Power,Sharon Jones & the Dap-Kings
The Mar-Keys,Sharon Jones & the Dap-Kings
Ike & Tina Turner,Sharon Jones & the Dap-Kings
James Brown,Sharon Jones & the Dap-Kings
Barbara Lynn,Sharon Jones & the Dap-Kings
Carla Thomas,Sharon Jones & the Dap-Kings
Fontella Bass,Sharon Jones & the Dap-Kings
Otis Redding,Sharon Jones & the Dap-Kings
The Memphis Horns,Sharon Jones & the Dap-Kings
Candi Staton,Sharon Jones & the Dap-Kings
The Sweet Inspirations,Sharon Jones & the Dap-Kings
Gladys Knight & the Pips,Sharon Jones & the Dap-Kings
Steve Cropper,Sharon Jones & the Dap-Kings
Irma Thomas,Sharon Jones & the Dap-Kings
Lyn Collins,Sharon Jones & the Dap-Kings
Otis Clay,Sharon Jones & the Dap-Kings
Aretha Franklin,Sharon Jones & the Dap-Kings
Jody Watley,Spice Girls
En Vogue,Spice Girls
Janet Jackson,Spice Girls
Lisa Stansfield,Spice Girls
The Supremes,Spice Girls
The Velvelettes,Spice Girls
Shalamar,Spice Girls
Whitney Houston,Spice Girls
The Stylistics,Tracey Thorn
Tower of Power,Spin Doctors
Bootsy Collins,Spin Doctors
James Brown,Spin Doctors
War,Spin Doctors
Graham Central Station,Spin Doctors
Chic,Spandau Ballet
Sam Cooke,Spandau Ballet
Marvin Gaye,Spandau Ballet
Gloria Gaynor,Spandau Ballet
Teena Marie,Tara Kemp
Ray Charles,Steely Dan
Dionne Warwick,Sheena Easton
Donna Summer,Sheena Easton
The Delfonics,All-4-One
Bell Biv DeVoe,All-4-One
Little Anthony & the Imperials,All-4-One
The Tymes,All-4-One
Atlantic Starr,All-4-One
Guy,All-4-One
The Chi-Lites,All-4-One
Keith Sweat,All-4-One
New Edition,All-4-One
Ray Charles,Traffic
Donna Summer,Taylor Dayne
Gloria Gaynor,Taylor Dayne
Sister Sledge,Taylor Dayne
The Blues Brothers,Spinal Tap
Funkadelic,TV on the Radio
The J.B.'s,Stanton Moore
Solomon Burke,Tower of Power
The Mar-Keys,Tower of Power
James Brown,Tower of Power
Marvin Gaye,Tower of Power
Otis Redding,Tower of Power
