Name,Genre
Funkadelic,R&B;
Ohio Players,R&B;
TLC,R&B;
En Vogue,R&B;
Janet Jackson,R&B;
Mariah Carey,R&B;
R. Kelly,R&B;
Mary J. Blige,R&B;
Chaka Khan,R&B;
Whitney Houston,R&B;
Joe,R&B;
Screamin' Jay Hawkins,R&B;
Donna Summer,R&B;
Syreeta,R&B;
Natalie Cole,R&B;
Isaac Hayes,R&B;
D'Angelo,R&B;
Faith Evans,R&B;
Dionne Warwick,R&B;
Erykah Badu,R&B;
Sade,R&B;
Roberta Flack,R&B;
Marvin Gaye,R&B;
Prince,R&B;
The Sweet Inspirations,R&B;
Brenda Russell,R&B;
Stevie Wonder,R&B;
Maxwell,R&B;
Aretha Franklin,R&B;
Allen Toussaint,R&B;
Stephanie Mills,R&B;
Deniece Williams,R&B;
The Jones Girls,R&B;
Ray Charles,R&B;
Smokey Robinson,R&B;
The Five Satins,R&B;
The Five Keys,R&B;
The Impressions,R&B;
The Drifters,R&B;
Curtis Mayfield,R&B;
The Dells,R&B;
Gene Chandler,R&B;
Jerry Butler,R&B;
Brook Benton,R&B;
The Platters,R&B;
Pebbles,R&B;
Betty Wright,R&B;
Klymaxx,R&B;
Labelle,R&B;
The Supremes,R&B;
Minnie Riperton,R&B;
Atlantic Starr,R&B;
The Tams,R&B;
The Three Degrees,R&B;
Diana Ross,R&B;
Gloria Gaynor,R&B;
Sister Sledge,R&B;
New Edition,R&B;
The Pointer Sisters,R&B;
Chubby Checker,R&B;
The Rivingtons,R&B;
Tower of Power,R&B;
The Mar-Keys,R&B;
Ike & Tina Turner,R&B;
James Brown,R&B;
Barbara Lynn,R&B;
Carla Thomas,R&B;
Fontella Bass,R&B;
Otis Redding,R&B;
The Memphis Horns,R&B;
Candi Staton,R&B;
Gladys Knight & the Pips,R&B;
Steve Cropper,R&B;
Irma Thomas,R&B;
Lyn Collins,R&B;
Otis Clay,R&B;
Jody Watley,R&B;
Lisa Stansfield,R&B;
The Velvelettes,R&B;
Shalamar,R&B;
The Stylistics,R&B;
Bootsy Collins,R&B;
War,R&B;
Graham Central Station,R&B;
Chic,R&B;
Sam Cooke,R&B;
Teena Marie,R&B;
The Delfonics,R&B;
Bell Biv DeVoe,R&B;
Little Anthony & the Imperials,R&B;
The Tymes,R&B;
Guy,R&B;
The Chi-Lites,R&B;
Keith Sweat,R&B;
The Blues Brothers,R&B;
The J.B.'s,R&B;
Solomon Burke,R&B;
Wilson Pickett,R&B;
The Isley Brothers,R&B;
Booker T. Jones,R&B;
Lee Dorsey,R&B;
Blackstreet,R&B;
