Name,Genre
Chantal Kreviazuk,Easy Listening
Henry Mancini,Easy Listening
Arthur Lyman,Easy Listening
Yma Sumac,Easy Listening
Martin Denny,Easy Listening
Mason Williams,Easy Listening
Les Baxter,Easy Listening
Liberace,Easy Listening
Sergio Mendes,Easy Listening
Mitch Miller,Easy Listening
Nelson Riddle,Easy Listening
Percy Faith,Easy Listening
Herb Alpert,Easy Listening
Ray Conniff,Easy Listening
AndrÃ© Kostelanetz,Easy Listening
Jackie Gleason,Easy Listening
Bert Kaempfert,Easy Listening
Aly & AJ,Pop/Rock
Milton Nascimento,Latin
Pink Martini,Pop/Rock
"Harry Connick, Jr.",Vocal
Meredith Monk,Avant-Garde
Eden Ahbez,Easy Listening
Mannheim Steamroller,New Age
Stereolab,Pop/Rock
Ferrante & Teicher,Easy Listening
David Byrne,Pop/Rock
JosÃ© Feliciano,Vocal
Tim Buckley,Pop/Rock
Jon Hassell,New Age
Steve Roach,New Age
Julee Cruise,Pop/Rock
Yoko Ono,Pop/Rock
Herb Alpert & the Tijuana Brass,Easy Listening
Phil Ramone,Pop/Rock
Quincy Jones,Jazz
Randy Newman,Pop/Rock
Barry Manilow,Pop/Rock
Steven Halpern,New Age
Carpenters,Pop/Rock
Paul Mauriat,Easy Listening
Brian Setzer,Pop/Rock
Chuck Mangione,Jazz
Shirley Bassey,Vocal
El Guincho,Pop/Rock
Lalo Schifrin,Jazz
John Barry,Stage & Screen
Danny Elfman,Stage & Screen
James Horner,Stage & Screen
Gilberto Gil,International
Elton John,Pop/Rock
Queen,Pop/Rock
Howard Shore,Stage & Screen
George Martin,Pop/Rock
Wayne Newton,Vocal
Burt Bacharach,Pop/Rock
Chris Montez,Pop/Rock
Squirrel Nut Zippers,Pop/Rock
The Lounge Lizards,Jazz
John Williams,Stage & Screen
Chris Botti,Jazz
Gheorghe Zamfir,Easy Listening
Duane Eddy,Pop/Rock
Luiz BonfÃ¡,Latin
JoÃ£o Donato,Latin
David Sanborn,Jazz
Dave Grusin,Jazz
The Lightning Seeds,Pop/Rock
Freddie Mercury,Pop/Rock
