Name,Genre
Flying Lotus,Electronic
Aphex Twin,Electronic
Todd Edwards,Electronic
Kraftwerk,Electronic
M/A/R/R/S,Electronic
Larry Heard,Electronic
Moby,Electronic
Vangelis,Electronic
Yellow Magic Orchestra,Electronic
Steve Angello,Electronic
The Prodigy,Electronic
Deadmau5,Electronic
Tangerine Dream,Electronic
Kaskade,Electronic
Lorn,Electronic
Neu!,Electronic
Fatboy Slim,Electronic
The Orb,Electronic
MÃºm,Electronic
Swedish House Mafia,Electronic
Cash Cash,Electronic
M People,Electronic
The Streets,Electronic
Death in Vegas,Electronic
The Chemical Brothers,Electronic
Thievery Corporation,Electronic
William Orbit,Electronic
DJ Shadow,Electronic
Popol Vuh,Electronic
Todd Terry,Electronic
Frankie Knuckles,Electronic
Daft Punk,Electronic
Paul Oakenfold,Electronic
Boards of Canada,Electronic
Cluster,Electronic
Basement Jaxx,Electronic
Casino Versus Japan,Electronic
Peaches,Electronic
Tricky,Electronic
Massive Attack,Electronic
Zero 7,Electronic
Utah Saints,Electronic
Calvin Harris,Electronic
Air,Electronic
Nosaj Thing,Electronic
Seefeel,Electronic
The Avalanches,Electronic
Underworld,Electronic
808 State,Electronic
Paul van Dyk,Electronic
TiÃ«sto,Electronic
Armin van Buuren,Electronic
Felix da Housecat,Electronic
Nicky Romero,Electronic
Morcheeba,Electronic
Lamb,Electronic
Kruder & Dorfmeister,Electronic
Enigma,Electronic
Shep Pettibone,Electronic
MK,Electronic
Orbital,Electronic
Autechre,Electronic
James Blake,Electronic
Hudson Mohawke,Electronic
UNKLE,Electronic
The KLF,Electronic
Squarepusher,Electronic
Avicii,Electronic
Timmy Regisford,Electronic
Tool,Electronic
Kid Koala,Electronic
Goldie,Electronic
Yello,Electronic
Zedd,Electronic
A Guy Called Gerald,Electronic
Four Tet,Electronic
LFO,Electronic
The Crystal Method,Electronic
Ryuichi Sakamoto,Electronic
Gas,Electronic
The Future Sound of London,Electronic
Jean-Jacques Perrey,Electronic
Edgar Froese,Electronic
Hula,Electronic
Robert Miles,Electronic
Technotronic,Electronic
Armand Van Helden,Electronic
M.I.A.,Electronic
Groove Armada,Electronic
Skrillex,Electronic
The Rapture,Electronic
TrentemÃ¸ller,Electronic
Nightmares on Wax,Electronic
ATB,Electronic
Marc Almond,Electronic
Man Parrish,Electronic
Justice,Electronic
Laidback Luke,Electronic
Messiah,Electronic
Soulwax,Electronic
Cybotron,Electronic
A*Teens,Electronic
Freestyle,Electronic
Fila Brazillia,Electronic
Junior Vasquez,Electronic
Jamie Principle,Electronic
Inner City,Electronic
Adamski,Electronic
Patrick Cowley,Electronic
Speedy,Electronic
Bonobo,Electronic
Flosstradamus,Electronic
Diplo,Electronic
Bob Sinclar,Electronic
David Morales,Electronic
Roger Sanchez,Electronic
Cassius,Electronic
Black Box,Electronic
Mr. Fingers,Electronic
Broadcast,Electronic
Faithless,Electronic
Benny Benassi,Electronic
Eric Prydz,Electronic
Moodymann,Electronic
Fat Freddy's Drop,Electronic
The Shamen,Electronic
Alpha,Electronic
Ladytron,Electronic
Mndsgn,Electronic
Girl Talk,Electronic
Disclosure,Electronic
Blondie,Pop/Rock
Beck,Pop/Rock
Gary Numan,Pop/Rock
Kitaro,New Age
3LAU,Electronic
Feed Me,Electronic
Pet Shop Boys,Pop/Rock
Pham,Electronic
Tom Tom Club,Pop/Rock
Biosphere,Electronic
Hot Chelle Rae,Pop/Rock
Cheat Codes,Electronic
Dido,Pop/Rock
Lily Allen,Pop/Rock
Simple Minds,Pop/Rock
Hot Chip,Pop/Rock
Quantic,Electronic
Beth Orton,Pop/Rock
Young Marble Giants,Pop/Rock
The Durutti Column,Pop/Rock
The Human League,Pop/Rock
Bag Raiders,Electronic
Tycho,Electronic
Killing Joke,Pop/Rock
Santigold,Pop/Rock
The Beta Band,Pop/Rock
Mychael Danna,Stage & Screen
Basshunter,Pop/Rock
Black Moth Super Rainbow,Pop/Rock
Eurythmics,Pop/Rock
El Guincho,Pop/Rock
STRFKR,Pop/Rock
Crookers,Electronic
Robyn,Pop/Rock
CSS,Pop/Rock
Carla Bruni,Pop/Rock
Wire,Pop/Rock
Little Dragon,Electronic
Radiohead,Pop/Rock
Madonna,Pop/Rock
Kodomo,Electronic
Corinne Bailey Rae,R&B;
a-ha,Pop/Rock
Lemon Jelly,Electronic
Linkin Park,Pop/Rock
Crystal Castles,Electronic
Lorde,Pop/Rock
Cashmere Cat,Electronic
The Go! Team,Pop/Rock
Scooter,Electronic
Caribou,Pop/Rock
Labradford,Pop/Rock
Heaven 17,Pop/Rock
FKA twigs,Pop/Rock
Jack Off Jill,Pop/Rock
Mark Ronson,Pop/Rock
Burial,Electronic
Scissor Sisters,Pop/Rock
George Clinton,R&B;
Washed Out,Pop/Rock
Cornelius,Pop/Rock
Sneaker Pimps,Pop/Rock
Gnarls Barkley,R&B;
Hawkwind,Pop/Rock
Tame Impala,Pop/Rock
Deerhunter,Pop/Rock
Thom Yorke,Pop/Rock
Fever Ray,Electronic
Black Grape,Pop/Rock
Software,New Age
YACHT,Pop/Rock
The Art of Noise,Pop/Rock
PJ Harvey,Pop/Rock
Gorillaz,Pop/Rock
Mannheim Steamroller,New Age
Neurosis,Pop/Rock
Tim Hecker,Electronic
Skinny Puppy,Pop/Rock
Spiritualized,Pop/Rock
Dub Pistols,Electronic
Patrick O'Hearn,New Age
George Winston,New Age
Talking Heads,Pop/Rock
Ultravox,Pop/Rock
Spice Girls,Pop/Rock
La Roux,Pop/Rock
Susumu Yokota,Electronic
TÃ©lÃ©popmusik,Electronic
Stereo MC's,Electronic
Passion Pit,Pop/Rock
Fischerspooner,Electronic
Tortoise,Pop/Rock
Craig David,R&B;
Ida Maria,Pop/Rock
M83,Pop/Rock
Frankie Goes to Hollywood,Pop/Rock
Julian Cope,Pop/Rock
EDEN,Electronic
Big Black,Pop/Rock
Cabaret Voltaire,Pop/Rock
Blancmange,Pop/Rock
John Legend,R&B;
Matt and Kim,Pop/Rock
