influencer_name,follower_name
Ramblin' Jack Elliott,Hot Tuna
Woody Guthrie,Roy Rogers
Arlo Guthrie,John Gorka
John Fahey,Michael Hedges
Arlo Guthrie,Patty Griffin
Woody Guthrie,Merle Haggard
Steve Goodman,King Missile
John Renbourn,Michael Hedges
Doc Watson,Michael Hedges
Leo Kottke,Michael Hedges
Woody Guthrie,David Crosby
Steeleye Span,Enya
Odetta,Joan Baez
Woody Guthrie,Joan Baez
Arlo Guthrie,Dar Williams
John Jacob Niles,Joan Baez
Peggy Seeger,Joan Baez
Stan Rogers,John Gorka
Davy Graham,Nick Drake
Woody Guthrie,The Smothers Brothers
Pete Seeger,The Smothers Brothers
Doc Watson,Gillian Welch
Jean Ritchie,Gillian Welch
Shirley Collins,Maddy Prior
The Kingston Trio,The Smothers Brothers
The Kingston Trio,The Limeliters
Joan Baez,Bob Weir
Joan Baez,Maddy Prior
Elizabeth Cotten,Ry Cooder
Pete Seeger,David Crosby
Pete Seeger,Joan Baez
Pete Seeger,Bert Jansch
Bert Jansch,JosÃ© GonzÃ¡lez
Elizabeth Cotten,Fred Neil
Davy Graham,Bert Jansch
John Fahey,Hot Tuna
Tom Paxton,John Gorka
Ian & Sylvia,Leonard Cohen
The New Christy Minstrels,The 5th Dimension
Joan Baez,Leonard Cohen
Odetta,Fred Neil
Ewan MacColl,Joan Baez
Karen Dalton,The Moldy Peaches
The Roches,Suzanne Vega
Richie Havens,Bill Withers
Jean Ritchie,Maddy Prior
Steve Goodman,Jill Sobule
Roscoe Holcomb,The Jordanaires
Pete Seeger,The Byrds
Ewan MacColl,Maddy Prior
Townes Van Zandt,Dave Alvin
Ewan MacColl,Renaissance
Malvina Reynolds,The Wailin' Jennys
Kate & Anna McGarrigle,k.d. lang
Carolyn Hester,Maddy Prior
The Roches,Feist
Bert Jansch,Mumford & Sons
Arlo Guthrie,Suzanne Vega
The Kingston Trio,The Byrds
Pete Seeger,The Limeliters
John Gorka,Bob Schneider
Odetta,The Limeliters
Pete Seeger,Don McLean
Dave Van Ronk,Joan Baez
Burl Ives,Joan Baez
Dave Van Ronk,Don McLean
Karen Dalton,Linda Ronstadt
Judy Henske,Linda Ronstadt
Peggy Seeger,Maddy Prior
Odetta,Janis Joplin
Steve Goodman,Jimmy Buffett
Malvina Reynolds,Pete Seeger
Pete Seeger,Bob Dylan
Joan Baez,Anne Murray
Judy Collins,CÃ©line Dion
Phil Ochs,Joan Baez
Ian & Sylvia,Anne Murray
The Incredible String Band,Fleet Foxes
Woody Guthrie,Avail
John Martyn,David Sylvian
The Kingston Trio,The Lettermen
Elizabeth Cotten,Pete Seeger
Dave Van Ronk,Stephen Stills
Michael Hurley,Beth Orton
Pete Seeger,Terry Callier
Roscoe Holcomb,Bob Dylan
Ramblin' Jack Elliott,Bob Dylan
Joan Baez,Kate Wolf
Jean Ritchie,Joan Baez
Davy Graham,Jimmy Page
Pete Seeger,Ian & Sylvia
Woody Guthrie,The Limeliters
John Martyn,Phil Collins
Tom Rush,John Gorka
Theodore Bikel,Allan Sherman
Woody Guthrie,Loudon Wainwright III
Tom Paxton,Loudon Wainwright III
Dar Williams,Jewel
The New Lost City Ramblers,Gillian Welch
Jackson C. Frank,Richard Thompson
Tom Paxton,Dar Williams
Davy Graham,Maddy Prior
Burl Ives,Don McLean
Ramblin' Jack Elliott,Don McLean
John Fahey,Kaki King
Richie Havens,James Morrison
Dave Van Ronk,Hot Tuna
Phil Ochs,John Gorka
Elizabeth Cotten,Hot Tuna
Leo Kottke,Kaki King
Richie Havens,Ted Hawkins
The Incredible String Band,Van der Graaf Generator
Townes Van Zandt,Colter Wall
Jackson C. Frank,Ian Matthews
Ian & Sylvia,Ian Matthews
Gordon Lightfoot,John Gorka
Leo Kottke,Xavier Rudd
The Lovin' Spoonful,Paul Collins
Townes Van Zandt,Eric Church
Pete Seeger,Odetta
Woody Guthrie,Odetta
Fred Neil,Harry Nilsson
Davy Graham,Hot Tuna
Woody Guthrie,Fred Neil
Steeleye Span,The Waterboys
Cisco Houston,Joan Baez
Robert Earl Keen,Wade Bowen
Karen Dalton,Laura Nyro
Judy Collins,Laura Nyro
Townes Van Zandt,Shooter Jennings
Robert Earl Keen,Shooter Jennings
Joan Baez,Laura Nyro
Damien Rice,John Newman
John Martyn,The Blue Nile
Robert Earl Keen,Bleu Edmondson
Townes Van Zandt,Songs: Ohia
Ramblin' Jack Elliott,Donovan
Phil Ochs,Donovan
Tom Paxton,Al Stewart
Shirley Collins,Donovan
Pete Seeger,Carolyn Hester
Woody Guthrie,Carolyn Hester
Odetta,Carolyn Hester
Burl Ives,Judy Collins
Dave Van Ronk,Judy Collins
Tom Rush,Judy Collins
Pete Seeger,Judy Collins
Joan Baez,Donovan
Fred Neil,Donovan
"Peter, Paul and Mary",The Free Design
Jean Ritchie,Judy Collins
The New Christy Minstrels,The Free Design
The Kingston Trio,Judy Collins
Phil Ochs,Gene Clark
Davy Graham,Donovan
Bert Jansch,Donovan
The Incredible String Band,Barclay James Harvest
Sandy Denny,Kate Wolf
Victor Jara,Devendra Banhart
"Peter, Paul and Mary",Bread
John Martyn,Everything But the Girl
Burl Ives,Ewan MacColl
Woody Guthrie,Ewan MacColl
Damien Rice,Paolo Nutini
Alan Lomax,Ewan MacColl
Gordon Lightfoot,Bread
John Renbourn,Devendra Banhart
Shel Silverstein,Brad Paisley
John Martyn,Devendra Banhart
Ralph McTell,David Gray
Burl Ives,Brenda Lee
Gordon Lightfoot,Michael W. Smith
Fred Neil,Nick Cave
Richie Havens,Darius Rucker
Sandy Denny,Sarah McLachlan
Townes Van Zandt,Darius Rucker
Tom Paxton,Damien Rice
Fred Neil,Tim Buckley
Shirley Collins,Mary Black
Sandy Denny,Mary Black
John Martyn,Talk Talk
The New Christy Minstrels,Gene Clark
The Kingston Trio,Gene Clark
Lucinda Williams,Chuck Prophet
Woody Guthrie,Donovan
Townes Van Zandt,Steve Earle
Joan Baez,Judy Collins
Pete Seeger,Donovan
Tom Paxton,Gene Clark
Greg Brown,Dierks Bentley
Tom Paxton,John Denver
Odetta,Maria Muldaur
Gordon Lightfoot,John Denver
"Peter, Paul and Mary",John Denver
Pete Seeger,John Denver
Fred Neil,John Denver
The Kingston Trio,John Denver
The Limeliters,John Denver
Steeleye Span,Marillion
The Lovin' Spoonful,John Denver
Fred Neil,Greg Brown
Gordon Lightfoot,Greg Brown
Alan Lomax,Michael Hurley
Cisco Houston,Tom Paxton
Fred Neil,Gram Parsons
Shirley Collins,Richard & Linda Thompson
Elizabeth Cotten,Bob Dylan
Roscoe Holcomb,Flatt & Scruggs
Woody Guthrie,Ry Cooder
Greg Brown,Willie Nile
Jackson C. Frank,Bert Jansch
Hazel Dickens,The Judds
Bert Jansch,Michael Hedges
Davy Graham,Michael Hedges
