Name,Genre
Ramblin' Jack Elliott,Folk
Woody Guthrie,Folk
Arlo Guthrie,Folk
John Fahey,Folk
Steve Goodman,Folk
John Renbourn,Folk
Doc Watson,Folk
Leo Kottke,Folk
Steeleye Span,Folk
Odetta,Folk
John Jacob Niles,Folk
Peggy Seeger,Folk
Stan Rogers,Folk
Davy Graham,Folk
Pete Seeger,Folk
Jean Ritchie,Folk
Shirley Collins,Folk
The Kingston Trio,Folk
Joan Baez,Folk
Elizabeth Cotten,Folk
Bert Jansch,Folk
Tom Paxton,Folk
Ian & Sylvia,Folk
The New Christy Minstrels,Folk
Ewan MacColl,Folk
Karen Dalton,Folk
The Roches,Folk
Richie Havens,Folk
Roscoe Holcomb,Folk
Townes Van Zandt,Folk
Malvina Reynolds,Folk
Kate & Anna McGarrigle,Folk
Carolyn Hester,Folk
John Gorka,Folk
Dave Van Ronk,Folk
Burl Ives,Folk
Judy Henske,Folk
Judy Collins,Folk
Phil Ochs,Folk
The Incredible String Band,Folk
John Martyn,Folk
Michael Hurley,Folk
Tom Rush,Folk
Theodore Bikel,Folk
Dar Williams,Folk
The New Lost City Ramblers,Folk
Jackson C. Frank,Folk
Gordon Lightfoot,Folk
The Lovin' Spoonful,Folk
Fred Neil,Folk
Cisco Houston,Folk
Robert Earl Keen,Folk
Damien Rice,Folk
"Peter, Paul and Mary",Folk
Sandy Denny,Folk
Victor Jara,Folk
Alan Lomax,Folk
Shel Silverstein,Folk
Ralph McTell,Folk
Lucinda Williams,Folk
Greg Brown,Folk
The Limeliters,Folk
Hazel Dickens,Folk
Pentangle,Folk
Loudon Wainwright III,Folk
Buffy Sainte-Marie,Folk
Loreena McKennitt,Folk
Michael Chapman,Folk
Gillian Welch,Folk
Cousin Emmy,Folk
Vashti Bunyan,Folk
Spirit of the West,Folk
John Stewart,Folk
June Tabor,Folk
Pete Steele,Folk
Nic Jones,Folk
Mike Seeger,Folk
Linda Perhacs,Folk
David Wilcox,Folk
Oscar Brand,Folk
The Easy Riders,Folk
Kate Wolf,Folk
Hot Tuna,Pop/Rock
Roy Rogers,Country
Michael Hedges,New Age
Patty Griffin,Pop/Rock
Merle Haggard,Country
King Missile,Pop/Rock
David Crosby,Pop/Rock
Enya,New Age
Nick Drake,Pop/Rock
The Smothers Brothers,Comedy/Spoken
Maddy Prior,International
Bob Weir,Pop/Rock
Ry Cooder,Pop/Rock
JosÃ© GonzÃ¡lez,Pop/Rock
Leonard Cohen,Pop/Rock
The 5th Dimension,Pop/Rock
The Moldy Peaches,Pop/Rock
Suzanne Vega,Pop/Rock
Bill Withers,R&B;
Jill Sobule,Pop/Rock
The Jordanaires,Country
The Byrds,Pop/Rock
Dave Alvin,Pop/Rock
Renaissance,Pop/Rock
The Wailin' Jennys,Pop/Rock
k.d. lang,Pop/Rock
Feist,Pop/Rock
Mumford & Sons,Pop/Rock
Bob Schneider,Pop/Rock
Don McLean,Pop/Rock
Linda Ronstadt,Pop/Rock
Janis Joplin,Pop/Rock
Jimmy Buffett,Pop/Rock
Bob Dylan,Pop/Rock
Anne Murray,Country
CÃ©line Dion,Pop/Rock
Fleet Foxes,Pop/Rock
Avail,Pop/Rock
David Sylvian,Pop/Rock
The Lettermen,Vocal
Stephen Stills,Pop/Rock
Beth Orton,Pop/Rock
Terry Callier,R&B;
Jimmy Page,Pop/Rock
Phil Collins,Pop/Rock
Allan Sherman,Comedy/Spoken
Jewel,Pop/Rock
Richard Thompson,Pop/Rock
Kaki King,Pop/Rock
James Morrison,Pop/Rock
Ted Hawkins,Blues
Van der Graaf Generator,Pop/Rock
Colter Wall,Country
Ian Matthews,Pop/Rock
Xavier Rudd,Pop/Rock
Paul Collins,Pop/Rock
Eric Church,Country
Harry Nilsson,Pop/Rock
The Waterboys,Pop/Rock
Wade Bowen,Country
Laura Nyro,Pop/Rock
Shooter Jennings,Country
John Newman,R&B;
The Blue Nile,Pop/Rock
Bleu Edmondson,Country
Songs: Ohia,Pop/Rock
Donovan,Pop/Rock
Al Stewart,Pop/Rock
The Free Design,Pop/Rock
Gene Clark,Pop/Rock
Barclay James Harvest,Pop/Rock
Devendra Banhart,Pop/Rock
Bread,Pop/Rock
Everything But the Girl,Pop/Rock
Paolo Nutini,Pop/Rock
Brad Paisley,Country
David Gray,Pop/Rock
Brenda Lee,Country
Michael W. Smith,Religious
Nick Cave,Pop/Rock
Darius Rucker,Country
Sarah McLachlan,Pop/Rock
Tim Buckley,Pop/Rock
Mary Black,International
Talk Talk,Pop/Rock
Chuck Prophet,Pop/Rock
Steve Earle,Country
Dierks Bentley,Country
John Denver,Pop/Rock
Maria Muldaur,Pop/Rock
Marillion,Pop/Rock
Gram Parsons,Pop/Rock
Richard & Linda Thompson,Pop/Rock
Flatt & Scruggs,Country
Willie Nile,Pop/Rock
The Judds,Country
Planxty,International
Harry Belafonte,Vocal
Rhonda Vincent,Country
Dan Bern,Pop/Rock
Faces,Pop/Rock
Taj Mahal,Blues
Joe Ely,Country
Janis Ian,Pop/Rock
The Boomtown Rats,Pop/Rock
Daniel Lanois,Pop/Rock
Madeleine Peyroux,Vocal
James Taylor,Pop/Rock
Cat Power,Pop/Rock
Kimya Dawson,Pop/Rock
Cheryl Wheeler,Folk
Crystal Shawanda,Country
Joni Mitchell,Pop/Rock
Boards of Canada,Electronic
The Corrs,Pop/Rock
Guy Clark,Country
Ronnie Lane,Pop/Rock
Celtic Woman,International
Ben Lee,Pop/Rock
Patty Loveless,Country
Lyle Lovett,Pop/Rock
Kenny Rogers,Country
Billy Bragg,Pop/Rock
Flamin' Groovies,Pop/Rock
The Hooters,Pop/Rock
Tom Morello,Pop/Rock
Roy Harper,Pop/Rock
Rodriguez,Pop/Rock
Dolly Parton,Country
Melanie,Pop/Rock
Glenn Jones,Pop/Rock
Will Ackerman,New Age
Kirsty MacColl,Pop/Rock
Grateful Dead,Pop/Rock
The Wreckers,Country
America,Pop/Rock
Todd Snider,Pop/Rock
Noah and the Whale,Pop/Rock
The Innocence Mission,Pop/Rock
Ian Tyson,Country
Elliott Smith,Pop/Rock
Mike Oldfield,New Age
Jethro Tull,Pop/Rock
David Bromberg,Folk
Alex de Grassi,New Age
Justin Townes Earle,Country
The Association,Pop/Rock
Joe Strummer,Pop/Rock
Bobby Darin,Pop/Rock
Mary Youngblood,New Age
Badfinger,Pop/Rock
Jim & Jesse,Country
The Clash,Pop/Rock
Cate Le Bon,Pop/Rock
Blaze Foley,Country
Eva Cassidy,Pop/Rock
Paul Weller,Pop/Rock
Iron and Wine,Pop/Rock
Brett Dennen,Pop/Rock
Bruce Cockburn,Pop/Rock
Hank Williams,Country
Josh Ritter,Pop/Rock
Michael Martin Murphey,Country
Riders in the Sky,Country
The Handsome Family,Pop/Rock
Dan Fogelberg,Pop/Rock
Mary Chapin Carpenter,Country
Hayes Carll,Pop/Rock
The dB's,Pop/Rock
The Proclaimers,Pop/Rock
Terry Allen,Country
Bill Monroe,Country
Alejandro Escovedo,Pop/Rock
Robert Mirabal,International
Kevin Ayers,Pop/Rock
The Postal Service,Pop/Rock
Bill Fay,Pop/Rock
David Allan Coe,Country
Hoyt Axton,Country
Sonic Youth,Pop/Rock
Uncle Tupelo,Pop/Rock
Stephen Malkmus,Pop/Rock
Jorma Kaukonen,Pop/Rock
Rufus Wainwright,Pop/Rock
The Fugs,Pop/Rock
Moby,Electronic
Jim Croce,Pop/Rock
Marc Cohn,Pop/Rock
Iris DeMent,Country
Harry Chapin,Pop/Rock
Bruce Springsteen,Pop/Rock
Pink Floyd,Pop/Rock
"Bonnie ""Prince"" Billy",Pop/Rock
The Pogues,Pop/Rock
Meat Puppets,Pop/Rock
The Turtles,Pop/Rock
Charlie Robison,Country
The Cave Singers,Pop/Rock
Ryan Bingham,Country
Yes,Pop/Rock
Roy Clark,Country
The Avett Brothers,Pop/Rock
Acoustic Alchemy,New Age
The Maddox Brothers & Rose,Country
Nanci Griffith,Country
Jackson Browne,Pop/Rock
Charlie Hunter,Jazz
Dixie Chicks,Country
Sweet Honey in the Rock,Religious
Violent Femmes,Pop/Rock
Bonnie Raitt,Pop/Rock
Tony Trischka,Country
Peter Gabriel,Pop/Rock
Crazy Horse,Pop/Rock
John Mayer,Pop/Rock
"Crosby, Stills & Nash",Pop/Rock
Animal Collective,Pop/Rock
Joel Rafael,Folk
Mazzy Star,Pop/Rock
Cass McCombs,Pop/Rock
Jerry Jeff Walker,Country
Bon Iver,Pop/Rock
Tony Rice,Country
The Dodos,Pop/Rock
The Brothers Four,Folk
Sunny Sweeney,Country
Wilco,Pop/Rock
Tommy Makem,International
Paul Simon,Pop/Rock
Smog,Pop/Rock
Sam Bush,Country
The Clancy Brothers,International
Tim Hardin,Pop/Rock
Norman Blake,Country
Clannad,International
Jefferson Airplane,Pop/Rock
The Durutti Column,Pop/Rock
Stevie Nicks,Pop/Rock
Brandon Heath,Religious
Martha Wainwright,Pop/Rock
The Weepies,Pop/Rock
BoySetsFire,Pop/Rock
Emmylou Harris,Country
Angela McCluskey,Pop/Rock
Lindsey Buckingham,Pop/Rock
June Carter Cash,Country
Kathryn Williams,Pop/Rock
The Be Good Tanyas,Pop/Rock
Jack Ingram,Country
Art Garfunkel,Pop/Rock
Of Montreal,Pop/Rock
New Model Army,Pop/Rock
The Six Parts Seven,Pop/Rock
M. Ward,Pop/Rock
The Mamas & the Papas,Pop/Rock
Country Joe & the Fish,Pop/Rock
Ani DiFranco,Pop/Rock
Jerry Garcia,Pop/Rock
New Riders of the Purple Sage,Pop/Rock
Natalie Merchant,Pop/Rock
Joanna Newsom,Pop/Rock
Judee Sill,Pop/Rock
Sara Bareilles,Pop/Rock
ABBA,Pop/Rock
Ryan Adams,Pop/Rock
Pat Green,Country
Joan Armatrading,Pop/Rock
Van Dyke Parks,Pop/Rock
Roberta Flack,R&B;
Buffalo Springfield,Pop/Rock
Jeff Buckley,Pop/Rock
The Beautiful South,Pop/Rock
The Move,Pop/Rock
Ed Sheeran,Pop/Rock
James McMurtry,Pop/Rock
Fairport Convention,Pop/Rock
Tracy Chapman,Pop/Rock
The Partridge Family,Pop/Rock
Ben Folds,Pop/Rock
Cross Canadian Ragweed,Country
Whiskeytown,Pop/Rock
Phoebe Snow,Pop/Rock
Christy Moore,International
Bill Evans,Country
Tom Petty,Pop/Rock
Discharge,Pop/Rock
Jane Siberry,Pop/Rock
George Ezra,Pop/Rock
The Spencer Davis Group,Pop/Rock
George Winston,New Age
John Prine,Pop/Rock
Johnny Cash,Country
Comus,Pop/Rock
Cocteau Twins,Pop/Rock
Warren Zevon,Pop/Rock
Shawn Colvin,Pop/Rock
Vetiver,Pop/Rock
John Sebastian,Pop/Rock
Neko Case,Pop/Rock
Charlie Parr,Folk
Neil Young,Pop/Rock
The Dubliners,International
The Head and the Heart,Pop/Rock
Poco,Pop/Rock
CocoRosie,Pop/Rock
Lacy J. Dalton,Country
Barenaked Ladies,Pop/Rock
Gerry Rafferty,Pop/Rock
The Fall,Pop/Rock
Cowboy Junkies,Pop/Rock
Alison Krauss,Country
Led Zeppelin,Pop/Rock
Graham Nash,Pop/Rock
David Grisman,Country
Old Crow Medicine Show,Pop/Rock
Lori McKenna,Folk
The Dillards,Country
Mason Jennings,Pop/Rock
Johnny Horton,Country
Freedy Johnston,Pop/Rock
Indigo Girls,Pop/Rock
Marianne Faithfull,Pop/Rock
Roger McGuinn,Pop/Rock
Tindersticks,Pop/Rock
St. Vincent,Pop/Rock
Steve Forbert,Pop/Rock
The Mountain Goats,Pop/Rock
Aimee Mann,Pop/Rock
The Decemberists,Pop/Rock
Dropkick Murphys,Pop/Rock
The Beta Band,Pop/Rock
The Beach Boys,Pop/Rock
Robert Plant,Pop/Rock
Ghost,Pop/Rock
Simon & Garfunkel,Pop/Rock
Chris Smither,Pop/Rock
Old & In the Way,Country
fIREHOSE,Pop/Rock
Charlotte Church,Classical
Tom T. Hall,Country
George Jones,Country
Grace Slick,Pop/Rock
Gil Scott-Heron,R&B;
Carly Simon,Pop/Rock
Adam Sandler,Comedy/Spoken
Love,Pop/Rock
Company,Pop/Rock
Jenny Lewis,Pop/Rock
Gong,Pop/Rock
Mark Lanegan,Pop/Rock
"10,000 Maniacs",Pop/Rock
Deva Premal,New Age
Rhiannon Giddens,Country
Calexico,Pop/Rock
Grizzly Bear,Pop/Rock
Amy Millan,Pop/Rock
Carpenters,Pop/Rock
Ben Harper,Pop/Rock
Wayne Hancock,Country
The Lumineers,Pop/Rock
Tommy Collins,Country
Brandi Carlile,Pop/Rock
Tom Russell,Folk
Tift Merritt,Country
Sufjan Stevens,Pop/Rock
Gigi Masin,Electronic
Gretchen Wilson,Country
Spanky & Our Gang,Pop/Rock
Beck,Pop/Rock
EmilÃ­ana Torrini,Pop/Rock
NRBQ,Pop/Rock
Janie Fricke,Country
The Stanley Brothers,Country
Rick Wakeman,Pop/Rock
Gomez,Pop/Rock
Slint,Pop/Rock
The Alarm,Pop/Rock
Silvio RodrÃ­guez,Latin
Spirit,Pop/Rock
Gary Allan,Country
