year,Genre,popularity
1966,Pop/Rock,19
1965,Pop/Rock,20
1966,Pop/Rock,17
1965,Pop/Rock,15
1966,Pop/Rock,17
1966,Pop/Rock,16
1966,Pop/Rock,16
1966,Pop/Rock,54
1964,Pop/Rock,43
1966,Pop/Rock,25
1966,Pop/Rock,24
2002,Pop/Rock,35
1997,Pop/Rock,38
2005,Pop/Rock,44
2009,Pop/Rock,44
1997,Pop/Rock,49
2005,Pop/Rock,54
1997,Pop/Rock,40
2000,Pop/Rock,39
1997,Pop/Rock,37
1997,Pop/Rock,37
2001,Pop/Rock,43
2001,Pop/Rock,39
2000,Pop/Rock,35
1997,Pop/Rock,33
2001,Pop/Rock,38
1997,Pop/Rock,32
1997,Pop/Rock,63
2000,Pop/Rock,71
2000,Pop/Rock,67
2000,Pop/Rock,70
1997,Pop/Rock,54
2001,Pop/Rock,55
1997,Pop/Rock,45
1997,Pop/Rock,45
2001,Pop/Rock,52
1998,Pop/Rock,44
2000,Pop/Rock,47
2001,Pop/Rock,49
2005,Pop/Rock,53
2005,Pop/Rock,58
1997,Pop/Rock,43
2000,Pop/Rock,45
2000,Pop/Rock,44
2000,Pop/Rock,42
2000,Pop/Rock,42
1998,Pop/Rock,39
2000,Pop/Rock,41
1997,Pop/Rock,39
2000,Pop/Rock,39
2010,Pop/Rock,48
2005,Pop/Rock,42
2008,Pop/Rock,43
2005,Pop/Rock,40
2005,Pop/Rock,38
2005,Pop/Rock,63
2010,Pop/Rock,59
2008,Pop/Rock,49
1987,Pop/Rock,33
1987,Pop/Rock,31
1987,Pop/Rock,28
1987,Pop/Rock,28
1987,Pop/Rock,28
1992,Pop/Rock,32
1992,Pop/Rock,32
1987,Pop/Rock,26
1987,Pop/Rock,26
1992,Pop/Rock,30
1993,Pop/Rock,32
1993,Pop/Rock,32
1992,Pop/Rock,55
1993,Pop/Rock,61
1987,Pop/Rock,44
1989,Pop/Rock,46
1987,Pop/Rock,41
1987,Pop/Rock,40
1987,Pop/Rock,37
1992,Pop/Rock,39
1993,Pop/Rock,39
1997,Pop/Rock,49
1976,Pop/Rock,42
1977,Pop/Rock,31
1974,Pop/Rock,28
1976,Pop/Rock,37
1977,Pop/Rock,32
1978,Pop/Rock,32
1975,Pop/Rock,33
1978,Pop/Rock,30
2002,Pop/Rock,39
1975,Pop/Rock,36
1974,Pop/Rock,35
1975,Pop/Rock,30
1977,Pop/Rock,31
1977,Pop/Rock,31
1975,Pop/Rock,70
1977,Pop/Rock,64
1978,Pop/Rock,67
2002,Pop/Rock,61
1977,Pop/Rock,44
1973,Pop/Rock,47
1977,Pop/Rock,45
1996,R&B;,37
1997,R&B;,37
2001,R&B;,44
1998,R&B;,45
2005,R&B;,48
1996,R&B;,34
1998,R&B;,35
1998,R&B;,32
1996,R&B;,63
1996,R&B;,62
1996,R&B;,60
2001,R&B;,66
1997,R&B;,61
1998,R&B;,54
2001,R&B;,62
2001,R&B;,60
2005,R&B;,56
2005,R&B;,53
1996,R&B;,44
1998,R&B;,43
1998,R&B;,45
2001,R&B;,51
1996,R&B;,41
2004,R&B;,50
1998,R&B;,40
2002,Pop/Rock,46
2007,Pop/Rock,46
2007,Pop/Rock,45
2007,Pop/Rock,57
2007,Pop/Rock,52
2010,Pop/Rock,56
1969,Pop/Rock,27
1962,Pop/Rock,7
1968,Pop/Rock,31
1968,Pop/Rock,34
1994,Pop/Rock,62
1979,Pop/Rock,24
2018,R&B;,75
2000,Pop/Rock,43
2002,Pop/Rock,44
2002,Pop/Rock,44
2005,Pop/Rock,42
2005,Pop/Rock,42
2000,Pop/Rock,38
2008,Pop/Rock,40
2012,Pop/Rock,58
2000,Pop/Rock,37
2000,Pop/Rock,37
2002,Pop/Rock,40
2011,Pop/Rock,49
2000,Pop/Rock,77
2002,Pop/Rock,75
2002,Pop/Rock,69
2008,Pop/Rock,62
2000,Pop/Rock,58
2000,Pop/Rock,59
2002,Pop/Rock,55
2004,Pop/Rock,49
2008,Pop/Rock,51
2007,Pop/Rock,50
2008,Pop/Rock,50
2012,Pop/Rock,53
2002,Pop/Rock,48
2000,Pop/Rock,44
2000,Pop/Rock,43
2000,Pop/Rock,42
2004,Pop/Rock,46
1993,Pop/Rock,34
2005,Pop/Rock,44
2014,Pop/Rock,50
1993,Pop/Rock,33
1997,Pop/Rock,37
1999,Pop/Rock,38
2001,Pop/Rock,41
2004,Pop/Rock,41
1997,Pop/Rock,37
1999,Pop/Rock,38
2003,Pop/Rock,40
1993,Pop/Rock,31
1993,Pop/Rock,31
1993,Pop/Rock,31
1993,Pop/Rock,31
1993,Pop/Rock,31
1995,Pop/Rock,34
2001,Pop/Rock,38
1993,Pop/Rock,29
1993,Pop/Rock,29
1995,Pop/Rock,33
1997,Pop/Rock,34
2001,Pop/Rock,37
1993,Pop/Rock,29
1995,Pop/Rock,32
1999,Pop/Rock,35
1993,Pop/Rock,28
1995,Pop/Rock,31
2001,Pop/Rock,36
1994,Pop/Rock,30
1995,Pop/Rock,31
1997,Pop/Rock,32
1995,Pop/Rock,61
1995,Pop/Rock,58
1997,Pop/Rock,61
2001,Pop/Rock,61
2004,Pop/Rock,66
2004,Pop/Rock,59
2001,Pop/Rock,54
2011,Pop/Rock,53
1994,Pop/Rock,42
2001,Pop/Rock,47
2004,Pop/Rock,48
1995,Pop/Rock,41
1995,Pop/Rock,41
1997,Pop/Rock,42
2004,Pop/Rock,47
1994,Pop/Rock,40
1994,Pop/Rock,40
1995,Pop/Rock,40
1997,Pop/Rock,41
1997,Pop/Rock,40
2004,Pop/Rock,45
2005,Pop/Rock,47
1994,Pop/Rock,38
1995,Pop/Rock,38
1994,Pop/Rock,37
1999,Pop/Rock,41
1999,Pop/Rock,41
1999,Pop/Rock,42
2004,Pop/Rock,43
2014,Electronic,52
2019,Electronic,64
2000,Pop/Rock,38
2000,Pop/Rock,56
2000,Pop/Rock,48
2008,Pop/Rock,45
2008,Pop/Rock,45
2008,Pop/Rock,43
2008,Pop/Rock,70
2009,Pop/Rock,61
2009,Pop/Rock,57
2010,Pop/Rock,52
2010,Pop/Rock,51
1992,Pop/Rock,43
1992,Pop/Rock,42
1992,Pop/Rock,39
1992,Pop/Rock,38
1992,Pop/Rock,78
1992,Pop/Rock,48
1983,Pop/Rock,28
1983,Pop/Rock,24
1983,Pop/Rock,31
1990,Religious,32
1992,Religious,29
2000,Religious,37
2014,Pop/Rock,52
2018,Pop/Rock,68
2014,Pop/Rock,57
2014,Pop/Rock,50
2014,Pop/Rock,50
2014,Pop/Rock,49
2020,Pop/Rock,68
2014,Pop/Rock,49
2014,Pop/Rock,49
2020,Pop/Rock,68
2020,Pop/Rock,69
2020,Pop/Rock,67
2014,Pop/Rock,53
2020,Pop/Rock,67
2014,Pop/Rock,48
2014,Pop/Rock,54
2015,Pop/Rock,57
2014,Pop/Rock,48
2015,Pop/Rock,56
2014,Pop/Rock,49
2015,Pop/Rock,56
2015,Pop/Rock,55
2018,Pop/Rock,65
2019,Pop/Rock,71
2020,Pop/Rock,67
2020,Pop/Rock,67
2014,Pop/Rock,53
2014,Pop/Rock,69
2014,Pop/Rock,68
2018,Pop/Rock,83
2015,Pop/Rock,66
2019,Pop/Rock,79
2019,Pop/Rock,78
2014,Pop/Rock,58
2018,Pop/Rock,76
2018,Pop/Rock,77
2018,Pop/Rock,74
2020,Pop/Rock,78
2014,Pop/Rock,57
2014,Pop/Rock,56
2020,Pop/Rock,75
2014,Pop/Rock,53
2014,Pop/Rock,61
2018,Pop/Rock,71
2020,Pop/Rock,72
2014,Pop/Rock,52
2014,Pop/Rock,58
2015,Pop/Rock,61
1986,Pop/Rock,45
1989,Pop/Rock,30
1998,Electronic,46
1989,Electronic,45
1978,Pop/Rock,33
1980,Pop/Rock,30
1978,Pop/Rock,37
1982,Pop/Rock,24
1982,Pop/Rock,33
2011,Pop/Rock,55
2013,Pop/Rock,52
2005,Pop/Rock,42
2011,Pop/Rock,49
2011,Pop/Rock,49
2013,Pop/Rock,52
2009,Pop/Rock,45
2010,Pop/Rock,47
2009,Pop/Rock,46
2019,Pop/Rock,65
2019,Pop/Rock,63
2008,Pop/Rock,43
2009,Pop/Rock,44
2008,Pop/Rock,43
2008,Pop/Rock,43
2008,Pop/Rock,42
2009,Pop/Rock,44
2005,Pop/Rock,38
2008,Pop/Rock,41
2008,Pop/Rock,41
2013,Pop/Rock,48
2009,Pop/Rock,68
2009,Pop/Rock,67
2009,Pop/Rock,62
2009,Pop/Rock,62
2011,Pop/Rock,67
2011,Pop/Rock,65
2008,Pop/Rock,61
2009,Pop/Rock,59
2008,Pop/Rock,56
2010,Pop/Rock,57
2011,Pop/Rock,58
2011,Pop/Rock,57
2008,Pop/Rock,53
2008,Pop/Rock,52
2009,Pop/Rock,54
2011,Pop/Rock,56
2011,Pop/Rock,54
2013,Pop/Rock,57
2013,Pop/Rock,57
2016,Pop/Rock,64
2008,Pop/Rock,50
2009,Pop/Rock,51
2008,Pop/Rock,50
2013,Pop/Rock,54
2009,Pop/Rock,49
2011,Pop/Rock,51
2013,Pop/Rock,55
2019,Pop/Rock,67
2020,Pop/Rock,68
2009,Pop/Rock,48
2009,Pop/Rock,48
2009,Pop/Rock,48
2011,Pop/Rock,50
1983,Pop/Rock,43
1986,Pop/Rock,40
2008,Pop/Rock,48
1982,Pop/Rock,31
2007,Pop/Rock,49
2010,Pop/Rock,56
1982,Pop/Rock,28
2008,Pop/Rock,50
1981,Pop/Rock,24
1982,Pop/Rock,26
1982,Pop/Rock,26
1982,Pop/Rock,25
1981,Pop/Rock,52
2002,Pop/Rock,59
1981,Pop/Rock,51
1982,Pop/Rock,60
1981,Pop/Rock,42
1981,Pop/Rock,40
2009,Pop/Rock,52
1982,Pop/Rock,48
2015,Pop/Rock,56
2014,Pop/Rock,59
1988,Electronic,46
2000,Pop/Rock,43
2000,Pop/Rock,43
2003,Pop/Rock,44
2003,Pop/Rock,44
2003,Pop/Rock,44
2004,Pop/Rock,44
2000,Pop/Rock,39
2004,Pop/Rock,43
2003,Pop/Rock,41
2003,Pop/Rock,41
2004,Pop/Rock,43
2000,Pop/Rock,65
2000,Pop/Rock,60
2003,Pop/Rock,62
2000,Pop/Rock,54
2003,Pop/Rock,57
2003,Pop/Rock,56
2003,Pop/Rock,55
2004,Pop/Rock,57
2000,Pop/Rock,50
2000,Pop/Rock,49
2003,Pop/Rock,52
2003,Pop/Rock,52
2004,Pop/Rock,51
2000,Pop/Rock,47
2000,Pop/Rock,47
2000,Pop/Rock,46
2004,Pop/Rock,51
2000,Pop/Rock,45
2003,Pop/Rock,46
2008,Pop/Rock,42
2008,Pop/Rock,43
2008,Pop/Rock,41
2011,Pop/Rock,52
2008,Pop/Rock,48
2002,R&B;,44
2002,R&B;,38
1978,R&B;,49
2006,R&B;,51
2011,Pop/Rock,45
1985,Pop/Rock,42
1986,Pop/Rock,47
1988,Pop/Rock,50
1985,Pop/Rock,38
1986,Pop/Rock,38
1988,Pop/Rock,43
1985,Pop/Rock,37
1986,Pop/Rock,44
1986,Pop/Rock,37
1985,Pop/Rock,31
1985,Pop/Rock,36
1985,Pop/Rock,36
1985,Pop/Rock,33
1985,Pop/Rock,83
1985,Pop/Rock,61
1990,Pop/Rock,63
1985,Pop/Rock,62
1985,Pop/Rock,50
1988,Pop/Rock,58
1986,Pop/Rock,53
1988,Pop/Rock,56
1985,Pop/Rock,44
1985,Pop/Rock,44
1980,Blues,32
1989,Pop/Rock,26
2006,International,58
1994,International,53
2005,International,55
2011,International,62
1998,International,53
2013,Pop/Rock,61
1999,Electronic,35
2002,Electronic,48
2001,Electronic,50
1998,R&B;,37
2019,R&B;,64
1994,R&B;,34
1994,R&B;,34
1996,R&B;,39
1999,R&B;,40
1994,R&B;,31
1994,R&B;,31
1994,R&B;,64
1999,R&B;,60
1994,R&B;,51
1994,R&B;,42
1994,R&B;,40
1994,R&B;,38
2000,Pop/Rock,39
2000,Pop/Rock,38
2000,Pop/Rock,50
2000,Pop/Rock,41
1991,R&B;,31
1993,R&B;,34
1993,R&B;,31
2009,R&B;,47
2000,R&B;,53
1991,R&B;,39
2009,R&B;,56
2007,R&B;,51
1994,Country,34
1992,Country,32
1991,Country,28
1991,Country,59
2000,Country,55
1992,Country,49
2002,Country,50
1992,Country,43
1993,Country,39
1995,Country,41
2000,Country,43
1976,Pop/Rock,29
1976,Pop/Rock,30
1977,Pop/Rock,29
1977,Pop/Rock,28
1979,Pop/Rock,28
1977,Pop/Rock,27
1980,Pop/Rock,27
1981,Pop/Rock,27
1981,Pop/Rock,36
1973,Pop/Rock,40
1975,Pop/Rock,26
1979,Pop/Rock,27
1980,Pop/Rock,26
1981,Pop/Rock,26
2008,Pop/Rock,50
1974,Pop/Rock,23
1981,Pop/Rock,36
1981,Pop/Rock,36
1980,Pop/Rock,24
1981,Pop/Rock,35
1973,Pop/Rock,33
1974,Pop/Rock,21
1977,Pop/Rock,23
1981,Pop/Rock,33
1981,Pop/Rock,34
2008,Pop/Rock,48
1974,Pop/Rock,29
1975,Pop/Rock,22
1975,Pop/Rock,22
1981,Pop/Rock,34
1981,Pop/Rock,23
1974,Pop/Rock,19
1974,Pop/Rock,19
1974,Pop/Rock,31
1975,Pop/Rock,22
1981,Pop/Rock,32
2008,Pop/Rock,47
2008,Pop/Rock,46
2008,Pop/Rock,48
2012,Pop/Rock,55
1973,Pop/Rock,27
1974,Pop/Rock,18
1975,Pop/Rock,20
1977,Pop/Rock,21
1981,Pop/Rock,21
1981,Pop/Rock,20
2008,Pop/Rock,47
2008,Pop/Rock,47
2008,Pop/Rock,48
1974,Pop/Rock,59
1975,Pop/Rock,64
1976,Pop/Rock,72
1976,Pop/Rock,57
1977,Pop/Rock,63
1979,Pop/Rock,64
1979,Pop/Rock,57
1980,Pop/Rock,60
1980,Pop/Rock,60
1980,Pop/Rock,53
1974,Pop/Rock,49
1975,Pop/Rock,50
1976,Pop/Rock,53
1977,Pop/Rock,49
1977,Pop/Rock,47
1979,Pop/Rock,54
1979,Pop/Rock,50
1981,Pop/Rock,59
2008,Pop/Rock,65
1974,Pop/Rock,42
1974,Pop/Rock,52
1975,Pop/Rock,46
1976,Pop/Rock,47
1976,Pop/Rock,46
1979,Pop/Rock,46
1979,Pop/Rock,45
1980,Pop/Rock,45
1981,Pop/Rock,59
1981,Pop/Rock,42
2008,Pop/Rock,64
1973,Pop/Rock,55
1974,Pop/Rock,37
1975,Pop/Rock,39
1975,Pop/Rock,39
1976,Pop/Rock,43
1976,Pop/Rock,41
1979,Pop/Rock,42
1980,Pop/Rock,41
1980,Pop/Rock,41
1980,Pop/Rock,40
1980,Pop/Rock,39
1981,Pop/Rock,41
1981,Pop/Rock,40
2008,Pop/Rock,63
1975,Pop/Rock,38
1976,Pop/Rock,40
1976,Pop/Rock,39
1977,Pop/Rock,39
1977,Pop/Rock,38
1981,Pop/Rock,38
1973,Pop/Rock,48
1973,Pop/Rock,47
1981,Pop/Rock,54
1981,Pop/Rock,53
1975,Pop/Rock,33
1979,Pop/Rock,34
1979,Pop/Rock,34
1979,Pop/Rock,33
1981,Pop/Rock,51
1981,Pop/Rock,51
1993,Pop/Rock,40
2008,Pop/Rock,59
2008,Pop/Rock,59
1974,Pop/Rock,29
1974,Pop/Rock,36
1981,Pop/Rock,49
2008,Pop/Rock,58
1979,Pop/Rock,31
1976,Pop/Rock,30
1980,Pop/Rock,29
1993,Pop/Rock,48
2012,Pop/Rock,61
1957,Vocal,39
2000,Pop/Rock,38
1982,Pop/Rock,35
1982,Pop/Rock,35
1982,Pop/Rock,32
1982,Pop/Rock,61
1982,Pop/Rock,53
1985,Pop/Rock,43
1987,Pop/Rock,43
1982,Pop/Rock,52
1985,Pop/Rock,30
2017,Pop/Rock,74
1978,Pop/Rock,37
1983,Pop/Rock,35
1990,Pop/Rock,41
2014,Pop/Rock,64
1978,Pop/Rock,36
1978,Pop/Rock,36
1983,Pop/Rock,35
1983,Pop/Rock,35
1992,Pop/Rock,44
1978,Pop/Rock,35
1983,Pop/Rock,34
1985,Pop/Rock,35
2010,Pop/Rock,50
1985,Pop/Rock,34
1985,Pop/Rock,35
2010,Pop/Rock,54
1983,Pop/Rock,32
1985,Pop/Rock,33
1992,Pop/Rock,42
1988,Pop/Rock,36
1992,Pop/Rock,40
1992,Pop/Rock,41
1992,Pop/Rock,40
2000,Pop/Rock,48
1992,Pop/Rock,39
1992,Pop/Rock,40
1992,Pop/Rock,40
1988,Pop/Rock,34
1995,Pop/Rock,43
1995,Pop/Rock,42
2008,Pop/Rock,51
1988,Pop/Rock,33
1992,Pop/Rock,39
1976,Pop/Rock,77
1976,Pop/Rock,73
1976,Pop/Rock,70
1976,Pop/Rock,58
1977,Pop/Rock,65
1977,Pop/Rock,62
1979,Pop/Rock,83
1979,Pop/Rock,62
1979,Pop/Rock,62
1979,Pop/Rock,61
1980,Pop/Rock,82
1980,Pop/Rock,79
1980,Pop/Rock,72
1980,Pop/Rock,72
1980,Pop/Rock,62
1980,Pop/Rock,61
1981,Pop/Rock,64
1984,Pop/Rock,62
1986,Pop/Rock,70
1986,Pop/Rock,62
1986,Pop/Rock,55
1990,Pop/Rock,81
1990,Pop/Rock,64
1990,Pop/Rock,64
1976,Pop/Rock,60
1976,Pop/Rock,57
1976,Pop/Rock,55
1977,Pop/Rock,57
1977,Pop/Rock,55
1977,Pop/Rock,54
1978,Pop/Rock,56
1978,Pop/Rock,56
1978,Pop/Rock,56
1979,Pop/Rock,55
1979,Pop/Rock,57
1979,Pop/Rock,54
1980,Pop/Rock,55
1980,Pop/Rock,53
1980,Pop/Rock,54
1986,Pop/Rock,55
1988,Pop/Rock,57
1990,Pop/Rock,59
2008,Pop/Rock,69
1976,Pop/Rock,54
1976,Pop/Rock,52
1979,Pop/Rock,50
1980,Pop/Rock,52
1981,Pop/Rock,46
1983,Pop/Rock,54
1985,Pop/Rock,54
1985,Pop/Rock,53
1995,Pop/Rock,62
2000,Pop/Rock,61
1976,Pop/Rock,49
1976,Pop/Rock,47
1976,Pop/Rock,48
1978,Pop/Rock,48
1979,Pop/Rock,50
1979,Pop/Rock,48
1990,Pop/Rock,50
1995,Pop/Rock,56
1976,Pop/Rock,45
1976,Pop/Rock,45
1976,Pop/Rock,43
1978,Pop/Rock,44
1978,Pop/Rock,43
1981,Pop/Rock,42
1985,Pop/Rock,44
2010,Pop/Rock,63
1976,Pop/Rock,43
1976,Pop/Rock,42
1976,Pop/Rock,42
1977,Pop/Rock,43
1977,Pop/Rock,43
1977,Pop/Rock,42
1978,Pop/Rock,42
1978,Pop/Rock,41
1981,Pop/Rock,42
1981,Pop/Rock,40
1981,Pop/Rock,39
1983,Pop/Rock,42
1985,Pop/Rock,42
1986,Pop/Rock,43
2008,Pop/Rock,59
1978,Pop/Rock,42
1978,Pop/Rock,41
1983,Pop/Rock,41
1985,Pop/Rock,42
1986,Pop/Rock,42
1986,Pop/Rock,41
1986,Pop/Rock,40
1986,Pop/Rock,40
1990,Pop/Rock,44
2009,Pop/Rock,59
2010,Pop/Rock,60
1978,Pop/Rock,39
1981,Pop/Rock,38
1981,Pop/Rock,39
1981,Pop/Rock,38
1984,Pop/Rock,42
1984,Pop/Rock,40
1990,Pop/Rock,44
1990,Pop/Rock,44
1978,Pop/Rock,39
1978,Pop/Rock,39
1981,Pop/Rock,36
1983,Pop/Rock,40
1988,Pop/Rock,44
1990,Pop/Rock,44
1978,Pop/Rock,38
1978,Pop/Rock,37
1983,Pop/Rock,36
1984,Pop/Rock,39
1984,Pop/Rock,39
1985,Pop/Rock,38
1990,Pop/Rock,42
1990,Pop/Rock,41
1983,Pop/Rock,35
1983,Pop/Rock,36
1985,Pop/Rock,33
1983,Pop/Rock,32
1983,Pop/Rock,31
1983,Pop/Rock,31
1981,Pop/Rock,37
1983,Pop/Rock,29
1981,Pop/Rock,36
1983,Pop/Rock,29
1982,Pop/Rock,28
1985,Pop/Rock,30
1983,Pop/Rock,28
1983,Pop/Rock,60
1982,Pop/Rock,47
1982,Pop/Rock,47
1982,Pop/Rock,39
1985,Pop/Rock,44
2005,Pop/Rock,41
2005,Pop/Rock,50
1978,Pop/Rock,31
1978,Pop/Rock,29
1987,Pop/Rock,32
1978,Pop/Rock,29
1989,Pop/Rock,31
1978,Pop/Rock,27
1978,Pop/Rock,27
1978,Pop/Rock,26
1989,Pop/Rock,31
1978,Pop/Rock,60
1987,Pop/Rock,42
1978,Pop/Rock,37
1978,Pop/Rock,34
1993,Pop/Rock,45
1998,Pop/Rock,45
1992,Pop/Rock,48
1992,Pop/Rock,46
1998,Pop/Rock,54
1993,Pop/Rock,38
1993,Pop/Rock,43
1993,Pop/Rock,39
1992,Pop/Rock,69
1993,Pop/Rock,68
1995,Pop/Rock,63
1993,Pop/Rock,64
1993,Pop/Rock,55
2008,Pop/Rock,55
1974,Pop/Rock,21
1974,Pop/Rock,60
