year,danceability
1966,0.63
1965,0.425
1966,0.659
1965,0.588
1966,0.657
1966,0.776
1966,0.608
1966,0.65
1964,0.681
1966,0.646
1966,0.616
2002,0.255
1997,0.539
2005,0.73
2009,0.435
1997,0.666
2005,0.576
1997,0.426
2000,0.492
1997,0.692
1997,0.594
2001,0.552
2001,0.75
2000,0.7
1997,0.689
2001,0.656
1997,0.738
1997,0.686
2000,0.61
2000,0.636
2000,0.55
1997,0.758
2001,0.706
1997,0.495
1997,0.6
2001,0.704
1998,0.587
2000,0.81
2001,0.748
2005,0.754
2005,0.468
1997,0.753
2000,0.665
2000,0.809
2000,0.707
2000,0.52
1998,0.642
2000,0.382
1997,0.733
2000,0.643
2010,0.468
2005,0.307
2008,0.414
2005,0.297
2005,0.352
2005,0.409
2010,0.448
2008,0.499
1987,0.501
1987,0.639
1987,0.614
1987,0.605
1987,0.765
1992,0.635
1992,0.275
1987,0.434
1987,0.679
1992,0.561
1993,0.518
1993,0.604
1992,0.611
1993,0.408
1987,0.77
1989,0.861
1987,0.586
1987,0.616
1987,0.367
1992,0.622
1993,0.498
1997,0.623
1976,0.426
1977,0.684
1974,0.64
1976,0.646
1977,0.565
1978,0.541
1975,0.378
1978,0.608
2002,0.437
1975,0.574
1974,0.486
1975,0.451
1977,0.385
1977,0.492
1975,0.404
1977,0.637
1978,0.837
2002,0.394
1977,0.7
1973,0.548
1977,0.737
1996,0.492
1997,0.691
2001,0.372
1998,0.603
2005,0.867
1996,0.571
1998,0.532
1998,0.67
1996,0.685
1996,0.764
1996,0.778
2001,0.677
1997,0.637
1998,0.592
2001,0.66
2001,0.912
2005,0.706
2005,0.694
1996,0.673
1998,0.654
1998,0.764
2001,0.833
1996,0.701
2004,0.754
1998,0.653
2002,0.531
2007,0.443
2007,0.435
2007,0.2
2007,0.262
2010,0.444
1969,0.748
1962,0.762
1968,0.718
1968,0.8
1994,0.701
1979,0.458
2018,0.536
2000,0.463
2002,0.27
2002,0.574
2005,0.591
2005,0.572
2000,0.461
2008,0.446
2012,0.469
2000,0.379
2000,0.429
2002,0.471
2011,0.462
2000,0.545
2002,0.557
2002,0.53
2008,0.532
2000,0.493
2000,0.487
2002,0.541
2004,0.547
2008,0.631
2007,0.544
2008,0.496
2012,0.48
2002,0.467
2000,0.582
2000,0.527
2000,0.524
2004,0.367
1993,0.622
2005,0.621
2014,0.44
1993,0.747
1997,0.634
1999,0.393
2001,0.493
2004,0.533
1997,0.559
1999,0.676
2003,0.519
1993,0.775
1993,0.733
1993,0.585
1993,0.783
1993,0.64
1995,0.716
2001,0.487
1993,0.71
1993,0.505
1995,0.703
1997,0.67
2001,0.562
1993,0.801
1995,0.701
1999,0.526
1993,0.58
1995,0.663
2001,0.632
1994,0.684
1995,0.604
1997,0.727
1995,0.76
1995,0.441
1997,0.576
2001,0.663
2004,0.659
2004,0.625
2001,0.66
2011,0.502
1994,0.736
2001,0.638
2004,0.637
1995,0.647
1995,0.476
1997,0.621
2004,0.654
1994,0.67
1994,0.61
