year,popularity,Genre
1927,0.0,R&B
1932,0.0,R&B
1936,3.0,R&B
1941,3.0,R&B
1942,15.0,R&B
1947,3.5,R&B
1949,1.0,R&B
1950,5.111111111111111,R&B
1951,4.714285714285714,R&B
1952,7.384615384615384,R&B
1953,4.25,R&B
1954,15.666666666666664,R&B
1955,0.0,R&B
1956,17.181818181818183,R&B
1957,22.5,R&B
1958,20.176470588235293,R&B
1959,23.431818181818183,R&B
1960,19.312056737588648,R&B
1961,20.246835443037973,R&B
1962,21.00507614213198,R&B
1963,24.84137931034483,R&B
1964,27.303482587064675,R&B
1965,26.894179894179892,R&B
1966,28.14857142857143,R&B
1967,32.605633802816904,R&B
1968,31.5929203539823,R&B
1969,32.821839080459775,R&B
1970,32.980769230769226,R&B
1971,35.27622377622377,R&B
1972,34.07619047619048,R&B
1973,36.20264317180617,R&B
1974,32.01015228426396,R&B
1975,34.86075949367089,R&B
1976,35.591304347826096,R&B
1977,34.633136094674555,R&B
1978,34.25789473684211,R&B
1979,38.374301675977655,R&B
1980,35.02139037433155,R&B
1981,34.737226277372265,R&B
1982,37.64324324324324,R&B
1983,36.29166666666666,R&B
1984,41.040650406504064,R&B
1985,37.04635761589404,R&B
1986,37.38509316770186,R&B
1987,41.86713286713287,R&B
1988,38.96261682242991,R&B
1989,39.19166666666667,R&B
1990,38.56603773584906,R&B
1991,42.20454545454545,R&B
1992,43.65771812080537,R&B
1993,42.467455621301774,R&B
1994,44.62,R&B
1995,45.91538461538462,R&B
1996,44.3953488372093,R&B
1997,44.884146341463406,R&B
1998,45.32558139534883,R&B
1999,48.9672131147541,R&B
2000,45.661111111111104,R&B
2001,49.32544378698225,R&B
2002,47.72388059701493,R&B
2003,47.81506849315068,R&B
2004,49.684615384615384,R&B
2005,51.29341317365271,R&B
2006,52.94262295081968,R&B
2007,52.58333333333334,R&B
2008,49.72388059701493,R&B
2009,52.12121212121213,R&B
2010,53.98901098901097,R&B
2011,54.86904761904761,R&B
2012,54.1875,R&B
2013,56.25806451612904,R&B
2014,58.39130434782609,R&B
2015,59.633027522935784,R&B
2016,63.4375,R&B
2017,64.40579710144928,R&B
2018,68.15625,R&B
2019,69.1896551724138,R&B
2020,66.4390243902439,R&B
